报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.29,0.27,0.33,0.33,0.15,0.12,--,--,
每股净资产(元),--,--,--,1.77,1.43,1.28,1.17,0.91,
每股经营活动产生的现金流量净额(元),--,--,--,0.37,0.22,0.17,0.15,0.09,
主营业务收入(万元),82496,64968,55003,44281,29091,24510,17980,12584,
主营业务利润(万元),25135,18924,17050,13571,9001,7712,6158,4608,
营业利润(万元),6439,5495,7126,5172,1959,831,886,-387,
投资收益(万元),313,-274,-158,-36,213,7,--,--,
营业外收支净额(万元),58,604,-1,1254,720,1199,1245,1242,
利润总额(万元),6497,6099,7126,6426,2679,2030,2131,855,
净利润(万元),6419,5881,6403,5494,2384,1909,1856,753,
净利润(扣除非经常性损益后)(万元),3376,4424,5067,4417,1470,932,818,-319,
经营活动产生的现金流量净额(万元),9463,513,3962,6139,3664,2746,2391,1381,
现金及现金等价物净增加额(万元),-25678,36571,6245,3548,959,383,-108,312,
总资产(万元),146564,144415,88061,64690,53117,52622,40723,33113,
流动资产(万元),82390,90249,43980,30631,21846,19426,16217,13362,
总负债(万元),77540,82828,31266,35740,29669,31025,20880,19507,
流动负债(万元),66850,78150,18968,24218,18730,18309,18805,18381,
股东权益不含少数股东权益(万元),68263,61346,56499,28970,23460,21075,19167,13330,
净资产收益率加权(%),9.95,9.98,14.98,20.96,10.71,9.49,12.67,6.15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
