报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.15,0.37,0.26,-0.42,0.09,-0.41,0.3,0.6,0.57,0.2,0.28,0.4,1.01,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.21,3.74,3.4,3.27,4.57,5.11,4.58,4.07,3.67,3.22,2.83,2.83,5.32,4.26,4.82,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.64,0.35,0.42,0.79,1.47,1.44,1.05,1.41,0.72,0.53,0.53,0.22,0.81,0.49,--,--,--,--,
主营业务收入(万元),292913,263992,252800,237006,392827,476901,576790,650659,524666,336556,366317,343589,205320,136376,112311,92968,79227,51424,37547,33830,28842,20985,15065,17699,10693,5466,
主营业务利润(万元),45985,66886,59877,21751,43850,21785,39454,58004,53548,24505,28697,41841,47060,39132,36311,31093,18978,11491,8506,9554,9265,7689,5651,--,--,--,
营业利润(万元),9758,25186,17169,-26536,5654,-23136,20079,37037,30506,9236,9253,22620,39083,28175,27245,23671,12909,8308,6312,7234,7249,6427,5651,--,--,--,
投资收益(万元),487,447,-4006,-1674,-460,-131,9698,2904,2125,-2065,478,3094,2514,983,-7,16,441,-211,-104,-76,0,0,2,--,--,--,
营业外收支净额(万元),332,-564,713,1726,1058,-599,276,-5296,2289,2044,37,-1994,--,-344,-1190,-1232,-93,696,-117,31,-48,--,0,--,--,--,
利润总额(万元),10090,24621,17882,-24810,6712,-23736,20355,31741,32795,11280,9289,20627,39136,30695,28276,22454,13740,9447,6925,7188,7201,6424,5980,--,--,--,
净利润(万元),8636,21960,15560,-25037,5544,-24450,17025,30171,28413,10060,13760,20147,31483,24910,23423,18329,11205,7996,5896,6110,6121,5461,5083,6025,2611,1265,
净利润(扣除非经常性损益后)(万元),7886,21880,14703,-26856,4264,-24548,9812,32792,26529,8468,14872,21879,30931,24487,24241,18284,10745,6848,5286,6110,6121,--,--,--,--,--,
经营活动产生的现金流量净额(万元),37397,44428,55360,30245,31280,-2890,16716,33551,32318,17319,21017,39627,45804,35483,25725,34596,17792,13036,11711,4857,8988,4828,--,--,--,--,
现金及现金等价物净增加额(万元),-4929,-2176,14720,-5615,17151,-47680,28976,816,-19101,58023,-22278,18418,970,33679,-7958,-1082,-5618,12728,2866,-7820,9570,-13671,--,--,--,--,
总资产(万元),382158,414908,437352,474203,508253,452513,482313,445369,385032,364758,289643,387978,249073,226036,162081,145209,129235,131095,79218,77679,68311,46286,46612,--,--,--,
流动资产(万元),125574,140941,140591,153275,195746,155316,188658,176317,160570,152441,87301,107816,64292,68297,25162,33844,30389,--,0,12635,23790,11368,25081,--,--,--,
总负债(万元),92172,125234,165827,217536,225524,176125,178640,217187,172985,175215,116545,206520,101690,98848,48372,44356,38963,52028,16394,14659,9178,4593,10379,--,--,--,
流动负债(万元),64418,83004,114411,162769,186886,130134,148957,110650,102370,105426,105422,134188,93978,68708,47772,33756,28963,--,0,9145,3666,1332,8259,--,--,--,
股东权益不含少数股东权益(万元),280132,279929,262293,246671,271536,266233,293836,231399,211265,186904,169905,163464,142698,125616,112473,100034,90272,79066,62824,63020,59133,41694,36233,13035,7010,5444,
净资产收益率加权(%),3.04,8.03,6.12,-9.66,2.06,-8.73,6.15,13.68,14.25,5.67,8.29,13.19,24.1,20.76,22.05,19.41,12.92,10.33,9.07,9.81,0,14.01,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
