报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.03,0.03,0.1,0.14,0.14,0.31,0.2,0.19,0.32,0.48,0.29,0.14,
每股净资产(元),--,--,--,--,--,4.77,4.56,4.46,4.34,1.5,1.18,1.07,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.61,0.6,0.26,0.04,0.52,1.06,-0.39,
主营业务收入(万元),113180,113650,93893,74608,68393,65366,51351,36150,31078,31955,24362,20367,
主营业务利润(万元),83954,84776,63481,48205,45998,43856,32806,21244,14219,14208,9893,7618,
营业利润(万元),-4112,-1480,2882,2371,3087,5165,4124,2511,4096,4799,3808,1410,
投资收益(万元),2084,-287,-397,1414,220,286,49,5,--,--,--,--,
营业外收支净额(万元),4301,2958,1246,2055,748,857,150,1349,122,977,129,415,
利润总额(万元),189,1477,4127,4426,3834,6022,4274,3860,4218,5776,3936,1825,
净利润(万元),530,724,2167,3015,2290,4100,2711,2580,3534,4798,2890,1304,
净利润(扣除非经常性损益后)(万元),-5940,-1364,325,623,2038,3575,2644,1477,3430,3968,2724,992,
经营活动产生的现金流量净额(万元),6963,3844,4010,4165,1544,8219,8058,3505,475,5203,10555,-3916,
现金及现金等价物净增加额(万元),-446,-93,-972,-5763,8157,2585,-19160,-9254,31209,-1521,8947,461,
总资产(万元),180203,149571,151859,143259,130843,118134,109037,82716,70256,28084,25951,22415,
流动资产(万元),64818,63486,60279,53397,49101,37004,30239,48713,53434,13893,15938,12317,
总负债(万元),86943,56447,54742,47774,43593,35817,32321,17599,12139,13125,14191,11745,
流动负债(万元),39321,39855,47625,32894,26263,23229,19282,15427,12139,13125,12191,7745,
股东权益不含少数股东权益(万元),81589,79909,81959,80866,78600,63762,61000,59627,58117,14959,11760,10670,
净资产收益率加权(%),0.65,0.9,2.67,3.79,3.4,6.6,4.5,4.39,11.81,35.92,25.77,12.27,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
