报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),-7.69,-3.33,0.44,0.58,0.51,0.85,0.68,1.08,0.76,1.3,0.77,0.75,0.74,
每股净资产(元),--,--,--,--,--,--,--,--,6.69,12.17,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.47,0.93,2.21,-0.56,1.34,
主营业务收入(万元),18324,47786,303136,255803,229679,193243,187800,152291,123495,102563,78431,70536,39786,
主营业务利润(万元),-53751,-39235,94742,90520,80003,64424,48853,37806,23854,16655,12163,10740,6991,
营业利润(万元),-782800,-389738,63775,59029,55459,46131,33552,22885,16157,9896,5250,4980,3308,
投资收益(万元),343516,-3,--,--,--,--,--,--,--,--,--,-168,-60,
营业外收支净额(万元),-151226,-13091,345,6651,1703,1318,834,957,450,1468,2349,370,2,
利润总额(万元),-934027,-402829,64120,65680,57162,47449,34385,23843,16607,11364,7599,5350,3311,
净利润(万元),-933988,-403969,52315,55028,47809,39783,28995,20205,14170,9338,5359,4169,2754,
净利润(扣除非经常性损益后)(万元),-825031,-387489,50424,49377,46407,38707,28314,19415,14103,9099,5181,4098,2870,
经营活动产生的现金流量净额(万元),-504,-24608,128132,70564,83946,73384,80525,55241,-8786,8699,15482,-3938,4703,
现金及现金等价物净增加额(万元),-1932,-8000,-17922,-13290,-219230,145281,52250,35868,-55730,78919,4181,-233,-448,
总资产(万元),295645,1229314,1522563,1208960,881983,670131,457685,359996,223092,178702,79959,65093,54142,
流动资产(万元),86884,80760,93653,129981,73875,288885,157758,146743,114555,117355,27398,16142,5258,
总负债(万元),833133,832266,723150,752404,498243,326497,148439,217589,97807,64779,51700,42193,47923,
流动负债(万元),581849,654972,516334,586294,358195,178941,110661,161296,57124,32399,20149,23865,20332,
股东权益不含少数股东权益(万元),-537458,397048,799414,456556,383740,343633,309246,142407,125285,113923,28259,22900,6219,
净资产收益率加权(%),--,-67.53,6.94,12.92,13.21,12.09,11.68,15.2,11.71,28.19,20.95,30.34,82.36,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
