报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),1.06,0.92,0.81,0.68,1.33,1.31,1.23,0.94,0.69,0.56,0.48,
每股净资产(元),--,--,--,--,--,--,5.36,4.13,3.2,2.51,1.47,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,1.17,0.81,0.52,0.55,0.31,
主营业务收入(万元),1047909,917627,775114,624934,532115,442841,354666,284214,221851,185017,145598,
主营业务利润(万元),400273,364782,315568,253935,220411,176596,138139,106619,84886,67936,52196,
营业利润(万元),73922,68433,50742,39258,37901,34443,26434,19889,15633,12395,10978,
投资收益(万元),2331,2400,200,280,810,50,48,21,40,5,44,
营业外收支净额(万元),983,735,3944,1680,1111,92,561,593,158,191,-501,
利润总额(万元),74905,69168,54686,40938,39013,34534,26995,20482,15790,12586,10477,
净利润(万元),60392,52107,42271,35338,34644,29731,24085,18255,13471,10295,8485,
净利润(扣除非经常性损益后)(万元),59066,50824,38876,33721,33016,29653,23608,17748,13310,10860,8912,
经营活动产生的现金流量净额(万元),98292,63577,39116,19263,18576,17622,22822,15767,10155,10690,5534,
现金及现金等价物净增加额(万元),2283,-97836,54829,44913,-11091,53194,13437,-48,796,16195,9029,
总资产(万元),796281,735588,714660,601322,418626,294144,207285,152436,130831,110468,68540,
流动资产(万元),560778,505684,499620,439339,301364,239886,162502,119226,105344,91657,60023,
总负债(万元),336664,330636,345266,351509,191327,85871,102272,71359,67951,60725,42262,
流动负债(万元),282647,328916,264250,271081,190689,85574,101952,71139,67425,60196,41579,
股东权益不含少数股东权益(万元),459492,404556,369394,249637,227298,208272,104722,80637,62382,48947,25822,
净资产收益率加权(%),14,13.47,16.02,14.96,16.1,18.93,25.99,25.53,24.21,27.21,39.32,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
