报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),2.23,1.69,1.09,0.7,0.6,0.41,1.11,1.53,1.8,1.14,0.82,0.57,0.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.75,4.45,3.81,3.39,2.98,2.58,2.19,2.03,1.91,1.81,1.8,1.83,1.8,1.8,1.78,1.76,1.73,1.93,1.67,1.16,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,3.69,1.88,1.04,1.36,0.17,0.9,0.36,0.11,0.11,0.31,0.21,-0.01,0.04,0.03,--,--,--,--,--,--,--,--,
主营业务收入(万元),1188007,938194,603748,440495,412856,391607,608720,647876,448815,301663,214345,158452,184679,151864,107159,83726,62580,51524,43347,37247,30329,25002,45063,44119,32799,46591,59891,42203,32422,25392,
主营业务利润(万元),629099,441651,297865,215618,209901,205325,357944,376163,259947,179781,123650,96675,113701,83793,54469,40256,25450,18459,13885,10814,8278,6815,6029,6198,5648,11666,14589,11704,8967,7662,
营业利润(万元),284342,217702,138485,92966,77208,50884,148484,201514,136570,88933,67085,48602,68521,50328,27992,20836,8674,4268,3595,1708,591,485,6070,6205,5655,0,14594,11706,8968,7663,
投资收益(万元),-9780,100,90,-88,38,1,28,0,61,16,17,10,13,77,41,7,31,11,29,18,19,30,27,19,18,21,14,0,0,0,
营业外收支净额(万元),168,-260,-160,-960,-1223,-3147,-4420,-4938,-2821,-2256,-885,-4214,--,-675,-601,-1272,-1404,-252,7,3,4,0,0,0,0,338,--,--,--,--,
利润总额(万元),284510,217442,138324,92006,75985,47737,144064,196576,133750,86677,66200,44388,66771,49729,27433,19571,7301,4028,3630,1728,905,625,6065,5996,5491,11354,14212,11438,8791,7507,
净利润(万元),193851,146673,94410,60513,52060,35576,96042,132731,78055,49449,35499,24517,35956,26133,13229,8897,4219,1584,2871,1273,371,413,5170,5097,4668,9638,0,0,0,0,
净利润(扣除非经常性损益后)(万元),190925,146341,94265,60280,51907,36488,96741,133533,79155,50548,35707,27082,33926,25925,13461,10162,5534,1800,2513,950,77,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),307655,96592,89645,58592,42783,41626,-30593,103920,159675,81477,44837,58970,7550,39059,15375,4771,4912,13324,9003,-516,1518,1120,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),225775,-17058,8441,14183,25258,-19301,-151827,43441,93926,37352,16549,37008,-21345,24547,2704,752,-598,3702,3467,206,302,104,--,--,--,--,--,--,--,--,
总资产(万元),1606777,1182896,893979,741663,670663,578610,581669,611215,491175,345581,250860,211536,188648,165696,133458,120412,107069,102768,110393,113864,110956,111866,112855,113712,115170,105757,94609,49371,--,--,
流动资产(万元),1264241,901619,624350,478692,426408,380661,409793,494028,401354,283456,197638,157962,142693,123942,92475,81930,69119,0,--,0,0,59754,58597,54318,55656,52672,66598,30538,--,--,
总负债(万元),844318,534735,360107,257959,221137,185039,194052,248755,233044,139619,71645,52795,48441,45115,33759,29509,22871,24067,32304,34739,33197,33883,35784,37521,46047,33059,31587,24628,--,--,
流动负债(万元),838866,530949,358393,256895,220946,185039,194052,248755,233044,139619,71645,52795,48441,45115,33759,29509,22871,0,--,0,0,33471,35384,37121,45645,29659,31187,23221,--,--,
股东权益不含少数股东权益(万元),744695,621416,523618,476007,442473,389186,382885,355228,249070,192662,164859,146677,129087,111857,94646,87909,82622,78434,78047,79084,77719,77943,77031,76191,69124,72698,63022,24743,--,--,
净资产收益率加权(%),27.42,25.08,19.04,13.24,12.52,9.28,25.62,44.11,34.5,27.55,23,17.86,30.16,25.32,14.49,10.5,5.21,2.01,3.62,1.62,0,0.53,--,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
