报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.46,0.23,0.12,0.07,0.02,-0.1,0.19,0.29,0.4,0.37,0.26,0.33,0.36,0.27,0.23,
每股净资产(元),--,--,--,--,--,--,--,--,2.68,2.29,2.03,2.97,1.2,1.06,0.99,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.23,0.31,0.41,0.16,0.46,0.18,0.37,
主营业务收入(万元),214951,136920,122437,105663,102097,106279,113560,105641,92945,71404,58569,57375,47475,37144,30690,
主营业务利润(万元),73171,29246,24878,19364,16106,13259,21576,22043,22299,18215,14309,11750,10643,7929,6594,
营业利润(万元),65156,10084,6514,2867,408,-4564,6246,7406,10014,9923,6924,4707,4580,3433,2851,
投资收益(万元),19526,-8,125,47,109,383,261,2,--,--,--,--,0,3,--,
营业外收支净额(万元),-255,-287,-553,1091,1177,434,685,1132,1708,903,324,--,--,124,145,
利润总额(万元),64902,9797,5961,3958,1585,-4130,6931,8538,11722,10827,7249,5182,4684,3557,2996,
净利润(万元),53645,8210,4224,2628,764,-3636,6107,7532,10275,9670,6783,4735,4405,3276,2742,
净利润(扣除非经常性损益后)(万元),13362,6906,3539,1454,-498,-2831,5352,6566,8620,8770,6325,4332,0,--,--,
经营活动产生的现金流量净额(万元),55507,7742,6042,19929,13754,10229,12647,9517,5846,8047,10477,2583,5548,2147,4435,
现金及现金等价物净增加额(万元),42447,-2212,-9537,15601,-9904,-12391,18805,6282,-4378,-2751,-8896,17409,587,-1215,2245,
总资产(万元),862680,198721,191064,180988,175663,195128,202981,138873,113842,80335,65714,69927,43499,31607,21620,
流动资产(万元),368584,88402,83917,70914,59548,74780,99216,71932,54542,39492,32895,42588,18507,16217,11831,
总负债(万元),285967,36252,35140,28410,26320,47117,50360,61238,42731,21326,13278,22016,28993,18780,9666,
流动负债(万元),143502,31155,30374,23865,21915,42866,45676,57637,39905,20977,12728,21716,28693,18396,9266,
股东权益不含少数股东权益(万元),486715,155277,149644,147245,144617,143853,148584,74225,69274,58999,52426,47901,14416,12727,11822,
净资产收益率加权(%),11.66,5.34,2.85,1.8,0.53,-2.49,4.97,10.5,16.02,17.44,13.5,14.22,29.31,24.11,24.85,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
