报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.39,0.49,0.31,0.61,0.55,0.63,0.56,0.51,0.25,
每股净资产(元),--,--,--,--,--,3.52,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.48,-0.2,0.14,0.29,
主营业务收入(万元),693612,652102,462537,333589,218493,181180,167579,131728,109575,
主营业务利润(万元),88479,92968,61222,32383,22389,18662,16186,13863,13313,
营业利润(万元),33398,35749,19678,7857,10055,9647,8179,6943,3804,
投资收益(万元),462,310,423,37,36,-181,-57,--,--,
营业外收支净额(万元),1597,324,435,3529,800,844,1042,1315,1518,
利润总额(万元),34995,36073,20113,11386,10855,10491,9221,8258,5322,
净利润(万元),20862,26048,16476,10039,8253,7501,6696,6170,2997,
净利润(扣除非经常性损益后)(万元),18706,25454,15658,6642,7373,6861,5910,5183,5630,
经营活动产生的现金流量净额(万元),24120,19227,-27901,-29048,-468,-5801,-2372,1637,3463,
现金及现金等价物净增加额(万元),16011,9175,-12759,29241,2485,8195,-5100,1978,986,
总资产(万元),967481,811816,530738,395627,241466,164001,116121,99785,86691,
流动资产(万元),853109,708915,435345,339177,191758,150287,108049,92193,79120,
总负债(万元),719520,618037,360074,250793,154783,121643,81478,72003,65079,
流动负债(万元),718290,580232,336110,243435,148067,118928,81478,72003,65079,
股东权益不含少数股东权益(万元),213811,182233,160656,143037,84927,41979,34478,27782,21612,
净资产收益率加权(%),10.59,15.09,10.9,9.89,11.35,19.62,21.51,24.98,15.55,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
