报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.23,0.12,0.23,0.4,0.46,0.84,--,--,--,
每股净资产(元),--,--,--,4.47,4.05,3.59,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0.56,0.78,0.69,--,--,--,
主营业务收入(万元),277898,220295,151964,183587,231940,268551,220375,167762,90889,
主营业务利润(万元),40494,33608,28221,32015,36831,51672,52348,41196,27691,
营业利润(万元),4307,3215,5471,7980,10240,18316,16136,24255,17134,
投资收益(万元),-56,-11,-2,--,--,--,--,12,75,
营业外收支净额(万元),28,-460,0,465,658,172,62,102,18,
利润总额(万元),4335,2755,5472,8445,10898,18489,16198,24357,17152,
净利润(万元),5628,2933,5178,7219,8237,15200,11537,20352,12619,
净利润(扣除非经常性损益后)(万元),5092,2881,4668,6828,6694,15052,24649,18809,12658,
经营活动产生的现金流量净额(万元),29221,20229,-13860,10073,14046,12477,32728,22411,15261,
现金及现金等价物净增加额(万元),2638,-14406,7381,1196,-220,3684,-2562,6863,12466,
总资产(万元),275190,251469,197825,164321,179894,167705,121101,103976,58019,
流动资产(万元),173436,159986,141171,113055,127527,128516,88997,78850,44884,
总负债(万元),146724,134409,77727,82720,105718,102276,71401,59234,33930,
流动负债(万元),140294,125346,77103,79968,99731,99282,69293,59234,33930,
股东权益不含少数股东权益(万元),129788,116651,119384,80451,72910,64587,49134,44452,24088,
净资产收益率加权(%),4.49,2.43,4.76,9.41,11.99,26.73,30.02,59.39,70.98,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
