报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.24,0.12,0.11,0.1,0.41,0.23,--,
每股净资产(元),--,3.46,3.41,3.45,--,--,--,
每股经营活动产生的现金流量净额(元),--,-2.39,-0.45,0.38,--,--,--,
主营业务收入(万元),206573,120143,111422,97566,192985,121460,--,
主营业务利润(万元),112668,51511,48855,41329,127307,64383,--,
营业利润(万元),112668,51511,48855,41329,127307,64383,--,
投资收益(万元),153221,41592,18061,5836,62573,57208,--,
营业外收支净额(万元),-128,-4,-204,526,536,-23,--,
利润总额(万元),112540,51507,48651,41855,127843,64360,25185,
净利润(万元),83754,38646,36308,33283,100761,47550,--,
净利润(扣除非经常性损益后)(万元),83716,35338,36358,32778,--,--,--,
经营活动产生的现金流量净额(万元),-706258,-780993,-148474,125184,-141292,87358,--,
现金及现金等价物净增加额(万元),340042,-126854,-201660,-23102,356101,69363,--,
总资产(万元),4546095,2738443,1432711,1540896,1798990,1121773,1009094,
流动资产(万元),--,--,--,--,--,--,--,
总负债(万元),3184116,1584644,317858,413514,646396,498315,--,
流动负债(万元),--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),1337795,1130610,1092505,1115497,1142755,613848,572746,
净资产收益率加权(%),6.78,3.48,3.32,2.99,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
