报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),-1.01,0.06,0.32,0.29,0.24,0.3,0.65,0.93,0.91,0.93,0.62,
每股净资产(元),--,--,--,--,--,--,--,--,3.84,3.33,2.4,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.84,0.54,0.78,
主营业务收入(万元),148122,151144,136651,98704,79981,69022,66281,56109,55326,44762,31653,
主营业务利润(万元),36298,40012,44480,33878,27361,24081,23532,19344,17489,14514,10121,
营业利润(万元),-53088,-458,17719,15347,12804,10826,10517,8345,7246,7428,5097,
投资收益(万元),110,118,195,122,--,--,--,--,0,9,19,
营业外收支净额(万元),2142,694,1697,1983,694,200,484,718,160,111,132,
利润总额(万元),-50946,236,19416,17331,13499,11026,11002,9063,7406,7539,5230,
净利润(万元),-44451,2573,14053,11985,9620,8243,8790,7408,6205,6305,4201,
净利润(扣除非经常性损益后)(万元),-50972,2121,12986,10320,9084,8083,8407,6799,6086,6221,4097,
经营活动产生的现金流量净额(万元),19350,1463,3018,18329,9006,11140,8118,5571,5719,3697,5290,
现金及现金等价物净增加额(万元),-16472,16162,-6112,4310,5695,-11942,-8996,26733,-812,2870,-619,
总资产(万元),308183,372209,258425,166632,141418,116604,94996,90405,47553,45487,30831,
流动资产(万元),141890,173492,125607,89051,74410,63243,61440,63697,28377,33949,19097,
总负债(万元),179792,188198,90262,54708,46380,32021,19598,22595,21317,22777,14482,
流动负债(万元),154719,150386,75044,52139,46029,30037,17802,22322,19767,21227,14482,
股东权益不含少数股东权益(万元),100807,150271,150675,96690,85986,78409,72206,64958,26143,22658,16353,
净资产收益率加权(%),-34.81,1.71,10.02,13.15,11.66,10.95,12.86,16.4,26.16,32.32,24.76,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
