报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.09,3.79,1.08,-0.92,1.7,-1.43,0.08,-1.03,0.04,1.67,0.51,1,0.88,0.56,
每股净资产(元),--,--,--,--,--,--,--,--,--,7.73,8.18,2.87,2.12,1.32,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,1.75,1.05,1.31,1.07,1.47,
主营业务收入(万元),175104,358353,147312,65640,161113,60429,84192,50288,60142,77038,45899,36548,33234,29340,
主营业务利润(万元),23290,233929,54314,-8385,72215,-22739,7725,-17115,8915,30945,10755,12569,11038,6783,
营业利润(万元),10678,218675,36449,-31813,56573,-40664,-4948,-32993,793,23399,4204,7887,6769,4076,
投资收益(万元),1685,7383,-475,-4046,-1224,-3303,235,-301,-49,--,--,0,0,15,
营业外收支净额(万元),-740,-740,-502,517,-515,317,7305,4083,285,39,577,202,--,--,
利润总额(万元),9937,217935,35947,-31297,56058,-40347,2357,-28910,1078,23438,4781,8090,7097,4551,
净利润(万元),9199,217604,36284,-31037,56216,-40064,2351,-28873,1116,23406,4744,8116,7090,4563,
净利润(扣除非经常性损益后)(万元),3885,217521,36357,-32063,56727,-40379,-4912,-33138,832,23367,4205,7947,6760,4072,
经营活动产生的现金流量净额(万元),5817,213474,42880,-14099,57126,-26150,7003,-9829,7189,24616,11314,10645,8644,11893,
现金及现金等价物净增加额(万元),-106082,123557,3071,6113,2753,-12692,6447,-25147,-2210,-12949,44496,2382,1148,-1140,
总资产(万元),466848,414086,231062,214439,193706,175480,182451,156319,152591,127114,122224,54522,35218,23186,
流动资产(万元),103406,171032,48145,41724,36840,22572,35874,25616,48457,51702,63653,13938,7885,5265,
总负债(万元),145166,53360,70576,91916,46263,143335,111730,89046,56819,18368,33651,31263,18035,12483,
流动负债(万元),126247,48833,62941,76462,40606,129800,100323,86034,54548,16673,24969,15658,14188,11572,
股东权益不含少数股东权益(万元),313802,360073,159517,121244,147144,32131,70394,67083,95716,108543,88377,23091,16975,10486,
净资产收益率加权(%),2.82,83.18,25.82,-23.13,49.32,-78.41,3.43,-35.47,1.13,23.9,9.36,40.18,52.4,47.95,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
