报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),-0.15,0.13,1.9,2.3,1.43,0.49,0.22,
每股净资产(元),--,--,--,5.69,3.39,1.95,1.47,
每股经营活动产生的现金流量净额(元),--,--,--,0.26,0.65,0.53,0.25,
主营业务收入(万元),28942,30719,38050,38878,25583,9348,5947,
主营业务利润(万元),9004,11236,15176,16535,11650,5088,3121,
营业利润(万元),-4760,1179,9272,8954,5697,1784,572,
投资收益(万元),129,42,89,--,430,--,--,
营业外收支净额(万元),1438,483,487,2367,1261,547,480,
利润总额(万元),-3322,1662,9759,11321,6958,2331,1052,
净利润(万元),-2143,1201,8423,9769,6058,2091,935,
净利润(扣除非经常性损益后)(万元),-3739,735,7934,9751,6222,1958,899,
经营活动产生的现金流量净额(万元),5712,-465,72,1104,2749,2249,1065,
现金及现金等价物净增加额(万元),9851,-16885,15586,536,4202,-228,-471,
总资产(万元),98687,98469,90884,34843,29066,11651,8377,
流动资产(万元),70548,82173,85602,32509,26925,9729,6291,
总负债(万元),25836,23005,19798,10681,14672,3347,2113,
流动负债(万元),25438,22661,19798,10681,14672,3347,1963,
股东权益不含少数股东权益(万元),69613,71756,71086,24163,14394,8304,6263,
净资产收益率加权(%),-3.09,1.68,24.21,50.68,53.38,28.71,16.14,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
