报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.52,0.61,0.6,0.48,0.34,0.63,0.54,0.46,1.23,1.19,0.9,0.95,0.43,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,9.16,8.45,4.75,4.44,3.89,3.62,3.42,1.84,1.44,1.2,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.63,1.06,0.87,0.36,0.52,0.24,0.53,0.81,0.56,0.53,
主营业务收入(万元),1128749,1083599,958124,676921,616082,582391,527417,382635,418689,311307,204039,244397,80742,59536,49371,36413,21314,13352,
主营业务利润(万元),324833,301183,291154,193586,171810,158945,129304,92335,96767,77657,55554,53711,14674,11788,11217,10460,7301,4510,
营业利润(万元),166399,154632,147229,92570,68795,58551,35511,32185,50452,44856,33121,31393,8026,6732,6038,5119,3383,2393,
投资收益(万元),2534,4851,3798,3381,-758,1488,-892,1943,-2572,1030,2054,1322,162,-60,0,0,0,0,
营业外收支净额(万元),-92,-702,432,9309,4042,2524,4668,3342,2970,1123,548,1578,0,-148,-133,-39,-0,0,
利润总额(万元),166307,153930,147662,101879,72837,61075,40178,35527,53423,45979,33669,32971,7814,6632,5909,5080,3398,2337,
净利润(万元),142120,129235,123595,85746,60541,48772,32335,27130,36588,31541,23785,25130,4912,4458,4476,4207,2771,1646,
净利润(扣除非经常性损益后)(万元),135134,129477,108528,77751,54729,47174,31215,22666,34723,29177,21952,7099,4975,4295,4563,0,0,0,
经营活动产生的现金流量净额(万元),190016,128760,64872,131023,81913,57750,27791,31253,48361,31479,23090,9561,5893,2671,5941,6723,0,0,
现金及现金等价物净增加额(万元),138924,-19310,-21516,40253,58507,-18257,-7096,-71750,5130,106189,-9179,-22130,4260,-4253,17654,-57,0,0,
总资产(万元),1479019,1393217,1234797,839864,803948,702070,658853,493496,483716,446950,244097,229247,84006,71243,59602,35128,28440,19428,
流动资产(万元),1005119,968706,878352,554611,525754,453803,401381,308511,377293,367210,186418,172352,64528,51731,44305,21534,17055,10137,
总负债(万元),542477,523210,442272,303220,335186,346932,343353,200430,181376,175454,103010,101273,40046,30363,20920,19839,16528,9467,
流动负债(万元),470828,479285,375483,258020,250706,324635,275225,159485,160695,162374,90955,101120,40046,30363,20850,19813,16528,8456,
股东权益不含少数股东权益(万元),929163,861484,787537,532265,465199,353253,314021,289421,272343,251202,125360,117170,43959,40880,38682,15289,11912,9960,
净资产收益率加权(%),16.08,15.65,19.12,17.24,15.2,14.64,10.75,9.74,14.05,22.66,19.83,23.34,11.57,11.26,22.22,31.41,25.51,18.02,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
