报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.15,0.09,0.08,-0.22,0.47,-0.36,1.68,-0.34,5.25,0.01,-0.71,-1.74,0.05,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,-1.15,-6.39,-6.41,-5.7,-3.95,-4,2.3,2.21,2.15,1.96,1.91,3,2.98,2.56,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.21,0.01,0.01,-0.08,0.15,-0.65,-0.22,0.47,0.31,0.37,0.36,0.54,0.4,0.27,--,--,--,
主营业务收入(万元),23441,14560,35005,43540,34852,40947,7170,37881,107208,101245,75382,121916,165294,143793,207555,198702,152197,120113,111341,105241,86448,55378,49699,33470,28218,
主营业务利润(万元),26537,1972,2943,6672,738,875,310,-2000,3732,4833,-3578,4105,16641,14658,27796,25270,22750,20870,18998,19403,17458,10859,10195,7404,3149,
营业利润(万元),44473,23824,19995,-14341,22095,-14707,-16849,-14026,-5614,-3705,-28993,-65625,-5565,-138046,7168,8420,5941,9458,10251,11020,10949,5973,6583,3320,3286,
投资收益(万元),92573,75638,58553,14599,34567,12,--,2,--,18,3024,28685,600,-5543,-2498,-1522,-160,37,39,41,-13,-11,0,0,0,
营业外收支净额(万元),620,590,479,600,1278,-472,86199,169,222134,4289,-442,-15412,--,-24339,7,-220,-16,22,-345,-62,374,0,--,--,--,
利润总额(万元),45094,24413,20473,-13741,23373,-15178,69350,-13857,216520,584,-29435,-81037,873,-167916,4677,6687,5798,9547,9965,10999,13287,6780,6601,3317,3265,
净利润(万元),26042,14946,13092,-14212,22572,-14730,69364,-13832,216535,587,-29364,-71778,2102,-166204,4135,6200,6160,6208,7207,8289,8567,5853,5580,2830,2873,
净利润(扣除非经常性损益后)(万元),44116,15529,12371,-14915,-13652,-14219,-14264,-14001,-5110,-3698,-28954,-60781,-4567,-141877,3815,6072,6133,6115,7191,8310,8165,--,--,--,--,
经营活动产生的现金流量净额(万元),36184,-149658,-371732,-736476,-2771,-11840,-80178,-1849,-8607,388,292,-3122,6180,-26753,-8909,19296,12932,15165,14753,14711,8071,5388,--,--,--,
现金及现金等价物净增加额(万元),76394,91894,-190843,782371,5150,5041,10059,-5356,1184,5154,291,119,-455,-51616,-7691,3296,-6528,11425,-2038,11399,-113,2972,--,--,--,
总资产(万元),4461163,4034512,3838883,2990787,67567,189445,179773,68340,77050,84701,76255,97582,228677,229125,289870,251536,219938,228396,205456,179568,140498,108170,53555,46576,32701,
流动资产(万元),3447628,3049455,2741525,2515037,47510,178517,162455,11339,26196,22741,13828,11900,63198,57982,106876,93720,82911,0,0,0,0,42702,25268,22157,14197,
总负债(万元),2959284,2514214,2315464,1473942,31006,174592,169258,129664,124518,348436,340462,331894,383584,384811,184786,150015,122227,125168,102779,77787,65632,46056,31485,30956,20141,
流动负债(万元),2051281,1938064,1900963,1339899,29341,174580,169219,129452,107842,320445,224569,131455,346348,366821,155116,103788,92107,0,0,0,0,31004,24944,21962,13818,
股东权益不含少数股东权益(万元),1496050,1487102,1490909,1482536,35385,12813,8026,-61299,-47468,-263749,-264225,-235225,-162857,-164959,94851,91293,88651,80895,78805,82422,59545,51124,21035,14650,11665,
净资产收益率加权(%),1.73,1,0.88,-6.69,93.66,-2228.37,--,--,--,--,--,--,0,0,4.47,6.91,7.22,7.58,9.07,13.02,0,16.22,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
