报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),-1.79,0.28,0.39,1.66,0.12,0.09,0.28,0.01,0.02,0.03,0.31,0.25,0.35,--,--,0.03,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.17,2.27,2.24,1.88,1.62,1.33,1.45,1.71,1.68,1.93,2.06,3.7,0.33,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.27,-0.39,-0.25,0.15,0.08,0.49,-0.09,-0.21,0.52,-0.11,-0.15,-0.1,0.35,--,--,
主营业务收入(万元),179224,220400,211617,129646,103123,15767,72926,8490,10511,7892,36247,49329,25034,22428,40538,49682,14425,3579,14387,29286,29497,29922,24668,
主营业务利润(万元),31779,67434,65549,32301,19703,2098,16626,2670,3166,3459,14032,12536,7617,-66,1241,3348,2145,380,1309,6169,5306,4480,4063,
营业利润(万元),-135872,16504,23422,103664,6587,2794,12626,652,1312,1597,12705,11452,5344,1864,-2105,1787,-8416,-3290,-372,4646,4404,3949,3261,
投资收益(万元),-719,2437,538,104496,7903,6492,1282,-97,--,--,-2,-0,0,-5966,-6895,-872,-403,135,745,45,0,0,0,
营业外收支净额(万元),-11754,3132,-226,-783,185,364,-273,75,23,-80,575,--,9550,-95,-486,288,-317,0,-137,354,--,--,--,
利润总额(万元),-147626,19636,23197,102881,6772,3159,12352,726,1335,1518,13280,11572,14894,-4198,-9470,1225,-9136,-5677,266,5045,4404,3949,3261,
净利润(万元),-157223,17742,17433,74439,5161,2982,9190,233,788,998,10029,8201,11334,-4014,-9389,1038,-9283,-5499,180,3981,3620,3217,2621,
净利润(扣除非经常性损益后)(万元),-180014,13700,17027,76988,5502,2690,9347,181,986,1073,9433,8091,3004,-9434,-8850,227,84,-5499,-458,3582,--,--,--,
经营活动产生的现金流量净额(万元),15736,37274,4298,-56586,37681,-12369,-79893,-52,8678,-12648,-8217,4730,2667,15721,-2872,-6904,16717,-3693,-4797,-1773,8579,--,--,
现金及现金等价物净增加额(万元),4451,-19768,-114317,113470,31259,-10034,9668,1045,35,-11362,-14360,4635,14519,5520,-2892,-6779,-13621,3909,18485,10778,3813,--,--,
总资产(万元),595188,827417,762029,719999,454964,252772,271615,165547,149004,103142,111400,121887,108803,52773,58970,62760,60852,65757,69814,76680,33380,30615,26745,
流动资产(万元),235898,287093,283151,328891,350902,241060,240382,134721,118598,97726,110133,120174,107938,29627,30235,25725,31600,0,0,60039,--,13202,13161,
总负债(万元),503977,575248,524619,468956,286635,170137,191962,95084,78774,29461,38717,58513,53983,7988,10771,5162,4521,1637,1227,8920,19995,19063,18864,
流动负债(万元),401759,432669,397767,343402,138929,157873,67769,75621,61512,10208,26451,46390,41716,7974,10771,5162,4521,0,0,8031,--,8357,9971,
股东权益不含少数股东权益(万元),79761,241219,227805,241991,167554,82635,79653,70463,70230,73681,72683,60829,52628,43088,47102,55510,54448,62542,66818,66607,12420,11000,7462,
净资产收益率加权(%),-91.57,7.55,7.08,36.35,3.33,3.68,12.24,0.33,0.99,1.36,14.66,14.46,24.15,-8.9,-18.3,1.89,-15.74,-8.79,0.27,11.03,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
