报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.43,1.38,1.07,0.74,1.01,0.82,0.5,0.44,--,--,
每股净资产(元),--,--,--,--,--,4.6,3.79,3.27,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.9,0.38,0.2,--,--,
主营业务收入(万元),248279,197831,148775,114241,80831,60473,48813,40391,31994,26181,
主营业务利润(万元),66029,57064,45546,34675,21470,15834,11803,10289,7699,5558,
营业利润(万元),34293,28753,23052,15284,10141,8369,4958,4387,3596,2250,
投资收益(万元),0,41,536,127,-323,-30,-140,5,3,61,
营业外收支净额(万元),-690,409,-628,-896,400,345,256,230,507,122,
利润总额(万元),33603,29162,22424,14387,10541,8714,5214,4617,4103,2372,
净利润(万元),29299,26231,19307,13050,9058,7368,4513,4003,3520,1972,
净利润(扣除非经常性损益后)(万元),28871,24673,18609,12529,8711,7067,4334,3842,3087,1839,
经营活动产生的现金流量净额(万元),18698,16597,3500,3140,2400,8072,3405,1769,1109,1666,
现金及现金等价物净增加额(万元),-6415,-8852,10311,11588,1936,5257,-1696,928,2167,106,
总资产(万元),381325,315014,201739,149076,90296,64569,55922,51349,42122,30825,
流动资产(万元),162379,137611,117260,90278,57379,39451,32337,30000,21311,16585,
总负债(万元),163309,121213,91822,56952,39839,23143,21774,21886,16609,12460,
流动负债(万元),122494,97456,83326,49111,37922,21097,19617,20436,15980,12460,
股东权益不含少数股东权益(万元),215542,190977,107119,89617,50451,41426,34136,29430,25420,18338,
净资产收益率加权(%),14.39,18.24,19.63,16.01,19.72,19.48,14.24,14.61,15.53,12.31,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
