报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),-1.15,0.05,-1.42,-0.2,0.08,-0.6,0.03,-0.34,0.03,-0.56,0.04,-0.67,-0.3,0.16,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,1.22,1.78,1.74,2.41,3.03,2.86,2.64,2.64,2.64,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.5,0.72,0.2,1.03,0.64,-0.24,0.32,0,0,
主营业务收入(万元),2651,1533,2504,7802,3363,6035,70967,87008,109417,71083,81686,65676,72445,91696,94059,91068,80407,114507,
主营业务利润(万元),2384,744,837,2975,1210,-2434,749,1132,1618,-1190,4820,-150,7436,13221,13495,11938,10370,9827,
营业利润(万元),-19489,-1944,-24249,-2937,-5265,-11376,-4390,-5947,-7145,-14456,-7106,-11874,-5382,3566,3614,3450,3119,2921,
投资收益(万元),--,-239,44,-181,-65,-603,731,--,--,--,--,0,--,--,0,0,0,27,
营业外收支净额(万元),-273,2951,-737,-64,6896,836,5300,-0,7749,4562,7760,331,62,--,147,85,73,0,
利润总额(万元),-19762,1007,-24986,-3001,1631,-10540,910,-5947,605,-9895,654,-11543,-5320,3717,3762,3535,3191,3145,
净利润(万元),-20249,854,-25022,-3511,1436,-10590,459,-6043,508,-9895,654,-11728,-5320,2545,2616,2360,2241,2145,
净利润(扣除非经常性损益后)(万元),-19973,-2022,-24288,-3447,-5461,-11738,-7051,-6042,-7241,-14456,-7106,-12060,-5382,2444,2517,2303,2193,1994,
经营活动产生的现金流量净额(万元),630,34,-662,1204,-580,-2056,-3549,4464,11503,8729,12613,3545,18109,10174,-3817,2868,2821,7283,
现金及现金等价物净增加额(万元),994,222,42,-712,950,-321,-141,-760,-4919,5744,-316,-18781,9613,-849,5232,-262,2241,616,
总资产(万元),40306,60276,43433,68069,70013,71724,111629,106173,112606,107528,149321,149586,153768,139893,131478,80909,71014,64674,
流动资产(万元),17303,35751,40166,46799,46316,49246,78826,47754,49746,40672,64000,58915,65572,56201,59065,41630,36377,32764,
总负债(万元),57744,57481,62386,61701,60427,63573,92889,87892,89672,86126,118025,118944,111398,91409,85709,56570,49045,44946,
流动负债(万元),52793,52724,62386,61701,60427,63573,92889,85590,87459,77781,111824,112982,110909,78429,79453,42272,39534,36448,
股东权益不含少数股东权益(万元),-17890,2358,-18947,6075,9586,8150,18740,18281,22935,21401,31296,30642,42370,48484,45769,24339,21969,19728,
净资产收益率加权(%),0,-4.61,0,-44.84,16.19,-78.76,2.48,-30.34,2.3,-37.55,2.11,-32.13,-11.61,5.39,9,10.19,10.75,11.5,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
