_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt,sentence,subSentence,tinySentence,keyword,positionStart,positionEnd
5f665d91ade9005a1eea8ac8,李醒群,600345,0,52,1600544145361,本科,"李醒群,男,中共党员,大学本科学历。曾任冶金部武汉钢铁设计院结构室助理工程师,中共武汉市委政研室经济处副处长,武汉正信国有资产经营公司业务发展部经理、总经理助理,长江通信董事、光存储事业总监。2015年5月至今任武汉长江通信产业集团股份有限公司副总裁。",男,manager,,1,1527120000000,720000,0,长江通信,副总裁,1608514656423,"曾任冶金部武汉钢铁设计院结构室助理工程师,中共武汉市委政研室经济处副处长,武汉正信国有资产经营公司业务发展部经理、总经理助理,长江通信董事、光存储事业总监",中共武汉市委政研室经济处副处长,中共武汉市委政研室经济处副处长,中共,0,2
5f665d91ade9005a1eea8ac8,李醒群,600345,0,52,1600544145361,本科,"李醒群,男,中共党员,大学本科学历。曾任冶金部武汉钢铁设计院结构室助理工程师,中共武汉市委政研室经济处副处长,武汉正信国有资产经营公司业务发展部经理、总经理助理,长江通信董事、光存储事业总监。2015年5月至今任武汉长江通信产业集团股份有限公司副总裁。",男,manager,,1,1527120000000,720000,0,长江通信,副总裁,1608514656423,"曾任冶金部武汉钢铁设计院结构室助理工程师,中共武汉市委政研室经济处副处长,武汉正信国有资产经营公司业务发展部经理、总经理助理,长江通信董事、光存储事业总监",中共武汉市委政研室经济处副处长,中共武汉市委政研室经济处副处长,市委,4,6
5f665d91ade9005a1eea8abd,赖智敏,600345,0,51,1600544145275,本科,"赖智敏,51岁,中共党员,大学本科学历,高级会计师职称。赖智敏女士曾任烽火通信科技股份有限公司财务管理部总经理助理、副总经理,武汉邮电科学研究院财务管理部副主任。2013年4月至今任武汉长江通信产业集团股份有限公司财务总监,2015年5月至今任武汉长江通信产业集团股份有限公司副总裁。",女,manager,,1,1527120000000,860000,0,长江通信,"副总裁,财务总监",1608514656357,"赖智敏,51岁,中共党员,大学本科学历,高级会计师职称",中共党员,中共党员,中共,0,2
5f665d9bade9005a1eea8c48,范宏庆,600348,0,49,1600544155211,硕士,"范宏庆,男,汉族,1971年7月出生,河北新乐人,中共党员,硕士研究生学历,高级会计师。历任阳泉煤业(集团)有限责任公司二矿西丈八区经营主任,二矿升华公司经营经理,二矿审计科科长,阳泉煤业(集团)有限责任公司审计部主任审计师、三科科长,阳煤集团长沟煤矿有限责任公司副总经理,阳泉煤业(集团)有限责任公司财务部副部长。现任阳泉煤业(集团)股份有限公司党委委员、董事、财务总监兼财务部部长。",男,manager,,1,1596844800000,626000,0,阳泉煤业,财务总监,1608514663805,"范宏庆,男,汉族,1971年7月出生,河北新乐人,中共党员,硕士研究生学历,高级会计师",中共党员,中共党员,中共,0,2
5f665d9bade9005a1eea8c48,范宏庆,600348,0,49,1600544155211,硕士,"范宏庆,男,汉族,1971年7月出生,河北新乐人,中共党员,硕士研究生学历,高级会计师。历任阳泉煤业(集团)有限责任公司二矿西丈八区经营主任,二矿升华公司经营经理,二矿审计科科长,阳泉煤业(集团)有限责任公司审计部主任审计师、三科科长,阳煤集团长沟煤矿有限责任公司副总经理,阳泉煤业(集团)有限责任公司财务部副部长。现任阳泉煤业(集团)股份有限公司党委委员、董事、财务总监兼财务部部长。",男,manager,,1,1596844800000,626000,0,阳泉煤业,财务总监,1608514663805,现任阳泉煤业(集团)股份有限公司党委委员、董事、财务总监兼财务部部长,现任阳泉煤业(集团)股份有限公司党委委员、董事、财务总监兼财务部部长,现任阳泉煤业(集团)股份有限公司党委委员,党委,16,18
5f665d90ade9005a1eea8a85,周锡康,600345,0,53,1600544144873,硕士,"周锡康,男,1967年9月生,1993年参加工作,中共党员,硕士,高级工程师。曾任烽火网络公司副总经理、总经理,烽火通信公司宽带产品部总经理、网络产出线副总裁、公共研发部总经理,武汉邮科院企业管理部主任等职务。现任中国信科集团运营管理部主任。",男,supervisoryCommittee,,1,1550707200000,0,0,长江通信,监事会主席,1608514655984,"周锡康,男,1967年9月生,1993年参加工作,中共党员,硕士,高级工程师",中共党员,中共党员,中共,0,2
5f665d9cade9005a1eea8c90,刘志远,600348,0,57,1600544156840,博士,"刘志远,男,汉族,1963年8月出生,河北石家庄人,中共党员,经济学博士,会计学教授、博士生导师。历任南开大学会计系主任、商学院副院长,浙江中国小商品城集团股份有限公司独立董事,天津市房地产发展(集团)股份有限公司独立董事。现任南开大学教授、博士生导师,天津津滨发展股份有限公司、海信视像科技股份有限公司和河南凯旺电子科技股份有限公司独立董事。",男,board,,1,1596844800000,0,0,阳泉煤业,独立董事,1608514662694,"刘志远,男,汉族,1963年8月出生,河北石家庄人,中共党员,经济学博士,会计学教授、博士生导师",中共党员,中共党员,中共,0,2
5f665d91ade9005a1eea8aaf,梅勇,600345,0,45,1600544145172,本科,"梅勇,男,中共党员,大学本科学历,高级会计师职称。曾任武汉长江通信产业集团股份有限公司资产财务部会计、副部长、部长,武汉长江通信产业集团股份有限公司证券事务代表、总裁助理,2011年8月至今任武汉长江通信产业集团股份有限公司董事会秘书,2015年5月至今任武汉长江通信产业集团股份有限公司副总裁兼董事会秘书。",男,manager,,1,1527120000000,830000,0,长江通信,"董事会秘书,副总裁",1608514656294,"梅勇,男,中共党员,大学本科学历,高级会计师职称",中共党员,中共党员,中共,0,2
5f665db3ade9005a1eea92db,张锡海,600353,0,66,1600544179905,,"张锡海,男,1954年2月出生,汉族,中共党员,中山大学哲学系、中山大学法律系毕业。现任合伙人,高级律师,华南国际经济贸易仲裁委、广州仲裁委、肇庆仲裁委仲裁员,广东省共青团青少年基金委员会监事。1981年开始一直从事律师业务,律师管理工作,曾担任广东省司法厅律师管理处副处长,广东律师协会常务理事、副秘书长,广州律师协会战略发展委员会副主任,广东律师协会证券法律专业委员会副主任,广东对外经济律师事务所(现为广东法制盛邦律师事务所)副主任、主任职务。1993年首批被司法部、中国证监会授予从事证券业务资格。",男,board,,1,1527638400000,80000,0,旭光电子,独立董事,1608514678190,"张锡海,男,1954年2月出生,汉族,中共党员,中山大学哲学系、中山大学法律系毕业",中共党员,中共党员,中共,0,2
5f665dbeade9005a1eea9485,顾生明,600354,0,56,1600544190014,硕士,"顾生明,男,1964年出生,中共党员,研究生学历。1986年至1993年先后在金塔县企业局和金塔县政府办公室工作,曾任金塔县政府办公室副主任,金塔县政府驻兰州办事处主任,金塔县棉花公司副经理,酒泉敦煌种业棉蛋白油脂有限公司经理,敦煌种业办公室主任兼铁路发运协调办公室主任、敦煌种业董事会办公室主任。现任敦煌种业董事会秘书。",男,manager,,1,1596499200000,290100,0,*ST敦种,董事会秘书,1608514681914,"顾生明,男,1964年出生,中共党员,研究生学历",中共党员,中共党员,中共,0,2
