埃斯顿,002747,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,58519,35700,22820,39%,52.81%
国内,58748,38360,20388,34.7%,47.19%

埃斯顿,002747,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,28547,-- ,28547,--,20.08%
国内,113599,-- ,113599,--,79.92%

埃斯顿,002747,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国内,53730,34891,18839,35.06%,74.96%
国外,14417,8125,6292,43.64%,25.04%

埃斯顿,002747,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,28548,16384,12164,42.61%,23.14%
国内,117554,77142,40412,34.38%,76.86%

埃斯顿,002747,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,12474,7068,5406,43.34%,20.2%
国内,60025,38661,21364,35.59%,79.8%

埃斯顿,002747,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,12816,7350,5466,42.65%,15.19%
国内,94834,64306,30528,32.19%,84.81%

埃斯顿,002747,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),-- ,21,-21,--,-0.13%
国外,3188,-- ,3188,--,19.63%
国内,38750,25673,13077,33.75%,80.5%

埃斯顿,002747,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,2902,1618,1283,44.23%,5.98%
国内,64933,44749,20184,31.08%,94.02%

埃斯顿,002747,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,1451,816,635,43.78%,7.63%
国内,23008,15315,7693,33.44%,92.37%

埃斯顿,002747,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,23,20,3,11.58%,0.02%
国外,2530,1669,861,34.03%,5.14%
国内,45762,29884,15878,34.7%,94.84%

埃斯顿,002747,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国内,22333,14578,7755,34.72%,94.45%
其他（补充）,21,10,11,52.09%,0.13%
国外,1242,798,444,35.78%,5.41%

埃斯顿,002747,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国内,48055,32755,15300,31.84%,92.25%
国外,3091,1826,1266,40.94%,7.63%
其他（补充）,40,21,20,48.83%,0.12%

埃斯顿,002747,收入构成,报告日期,2014-09-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,26,14,11,43.48%,0.09%
国内,34669,23536,11133,32.11%,93.11%
国外,1974,1161,813,41.16%,6.8%

埃斯顿,002747,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,2017,1181,837,41.47%,5.68%
其他（补充）,52,22,30,57.58%,0.2%
国内,42943,29087,13856,32.27%,94.11%

埃斯顿,002747,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,38,21,17,43.94%,0.13%
国外,1970,1288,682,34.64%,5.37%
国内,37798,25801,11997,31.74%,94.49%

埃斯顿,002747,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,2631,1610,1022,38.83%,7.35%
国内,45572,32684,12888,28.28%,92.65%
其他（补充）,41,40,1,2.63%,0.01%

