东风股份,601515,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
东北地区,43034,28424,14610,33.95%,11.33%
华南地区,108921,70037,38884,35.7%,30.16%
其他（补充）,2138,1061,1077,50.36%,0.84%
华东地区,18165,14712,3453,19.01%,2.68%
减：合并抵销数,-79843,-79632,-211,0.26%,-0.16%
华北地区,24558,19100,5458,22.22%,4.23%
华中地区,49728,36313,13415,26.98%,10.41%
其他地区,16007,14659,1349,8.42%,1.05%
西北地区,32955,18930,14025,42.56%,10.88%
西南地区,101629,64781,36848,36.26%,28.58%

东风股份,601515,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,5879,4662,1217,20.7%,0.95%
华东地区,14216,10572,3644,25.63%,2.83%
减：合并抵销数,-71783,-72026,244,-0.34%,0.19%
华北地区,19228,12959,6269,32.6%,4.88%
华中地区,63379,44201,19179,30.26%,14.92%
其他地区,18800,18005,795,4.23%,0.62%
西北地区,30063,18106,11957,39.77%,9.3%
西南地区,91610,58004,33606,36.68%,26.14%
东北地区,53446,38802,14644,27.4%,11.39%
华南地区,107966,70959,37007,34.28%,28.79%

东风股份,601515,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华北地区,13889,10325,3564,25.66%,3.03%
华中地区,58012,41165,16847,29.04%,14.3%
减：合并抵消数,-69709,-70071,362,-0.52%,0.31%
其他（补充）,3499,2461,1038,29.66%,0.88%
华东地区,10770,8033,2737,25.41%,2.32%
华南地区,103216,66556,36661,35.52%,31.12%
东北地区,33502,23972,9530,28.45%,8.09%
其他地区,12803,12322,480,3.75%,0.41%
西南地区,73995,46215,27780,37.54%,23.58%
西北地区,40258,21455,18803,46.71%,15.96%

东风股份,601515,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,6161,5425,736,11.94%,0.7%
合并抵销数,-61769,-61782,13,-0.02%,0.01%
其他地区,14673,12001,2673,18.21%,2.55%
华东地区,6455,5117,1338,20.73%,1.28%
华北地区,8037,5614,2423,30.15%,2.31%
西北地区,26627,14370,12257,46.03%,11.69%
东北地区,63052,40852,22200,35.21%,21.17%
西南地区,78838,50060,28778,36.5%,27.45%
