保利地产,600048,收入构成,报告日期,2020-06-30,
中国重庆,144509,-- ,144509,--,7.16%
中国南京,178972,-- ,178972,--,8.87%
中国南昌,15048,-- ,15048,--,0.75%
中国青岛,49156,-- ,49156,--,2.44%
中国长春,71922,-- ,71922,--,3.56%

保利地产,600048,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国阳江,44146,-- ,44146,--,0.94%
中国青岛,77930,-- ,77930,--,1.66%
中国南昌,94193,-- ,94193,--,2%
中国杭州,141228,-- ,141228,--,3%
中国长春,183208,-- ,183208,--,3.9%
中国包头,197294,-- ,197294,--,4.19%
中国天津,222836,-- ,222836,--,4.74%
中国武汉,258389,-- ,258389,--,5.49%
中国沈阳(含丹东),307173,-- ,307173,--,6.53%
中国重庆,308956,-- ,308956,--,6.57%
中国长沙(含岳阳),316785,-- ,316785,--,6.74%
中国佛山,318280,-- ,318280,--,6.77%
中国上海,428107,-- ,428107,--,9.1%
中国成都,559919,-- ,559919,--,11.9%
中国北京,582136,-- ,582136,--,12.38%
中国广州,662614,-- ,662614,--,14.09%
其他(补充),428,62,365,85.39%,0.01%

保利地产,600048,收入构成,报告日期,2011-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),621,30,591,95.21%,0.04%
中国天津,55,-- ,55,--,0%
中国阳江,67,-- ,67,--,0%
中国南昌,2639,-- ,2639,--,0.17%
中国长沙,24723,-- ,24723,--,1.63%
中国青岛,27100,-- ,27100,--,1.78%
中国武汉,32019,-- ,32019,--,2.11%
中国长春,35586,-- ,35586,--,2.34%
中国杭州,37709,-- ,37709,--,2.48%
中国沈阳,39431,-- ,39431,--,2.6%
中国包头,45656,-- ,45656,--,3.01%
中国成都,84425,-- ,84425,--,5.56%
中国北京,161228,-- ,161228,--,10.61%
中国重庆,196762,-- ,196762,--,12.95%
中国佛山,232682,-- ,232682,--,15.32%
中国上海,292446,-- ,292446,--,19.25%
中国广州,305954,-- ,305954,--,20.14%

保利地产,600048,收入构成,报告日期,2010-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国阳江,35565,-- ,35565,--,0.99%
中国青岛,56919,-- ,56919,--,1.59%
中国杭州,201167,-- ,201167,--,5.61%
中国包头,92396,-- ,92396,--,2.57%
中国天津,109535,-- ,109535,--,3.05%
中国南昌,72623,-- ,72623,--,2.02%
中国长沙,148821,-- ,148821,--,4.15%
中国成都,220327,-- ,220327,--,6.14%
中国重庆,189297,-- ,189297,--,5.27%
中国武汉,237278,-- ,237278,--,6.61%
中国长春,73144,-- ,73144,--,2.04%
中国沈阳,230825,-- ,230825,--,6.43%
中国佛山,269743,-- ,269743,--,7.52%
中国上海,564188,-- ,564188,--,15.72%
中国北京,544850,-- ,544850,--,15.18%
中国广州,542368,-- ,542368,--,15.11%

保利地产,600048,收入构成,报告日期,2010-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国阳江,1,-- ,1,--,0%
中国青岛,35859,-- ,35859,--,3.2%
中国天津,8328,-- ,8328,--,0.74%
中国长春,11481,-- ,11481,--,1.02%
中国南昌,9605,-- ,9605,--,0.86%
中国包头,57173,-- ,57173,--,5.09%
中国上海,193600,-- ,193600,--,17.25%
中国成都,69236,-- ,69236,--,6.17%
中国重庆,65183,-- ,65183,--,5.81%
中国北京,123607,-- ,123607,--,11.01%
中国沈阳,37005,-- ,37005,--,3.3%
中国武汉,120014,-- ,120014,--,10.69%
中国长沙,10622,-- ,10622,--,0.95%
中国佛山,137016,-- ,137016,--,12.21%
中国广州,243569,-- ,243569,--,21.7%

保利地产,600048,收入构成,报告日期,2009-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国天津,52220,-- ,52220,--,2.27%
中国长春,120783,-- ,120783,--,5.26%
中国南昌,55964,-- ,55964,--,2.44%
中国包头,51958,-- ,51958,--,2.26%
中国上海,300233,-- ,300233,--,13.06%
中国成都,77880,-- ,77880,--,3.39%
中国重庆,88178,-- ,88178,--,3.84%
中国北京,403296,-- ,403296,--,17.55%
中国沈阳,152551,-- ,152551,--,6.64%
中国武汉,106873,-- ,106873,--,4.65%
中国长沙,74416,-- ,74416,--,3.24%
中国佛山,185048,-- ,185048,--,8.05%
中国广州,628892,-- ,628892,--,27.36%

保利地产,600048,收入构成,报告日期,2009-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国包头,122,-- ,122,--,0.01%
中国南昌,6829,-- ,6829,--,0.82%
中国上海,10807,-- ,10807,--,1.3%
中国长沙,23518,-- ,23518,--,2.84%
中国沈阳,42982,-- ,42982,--,5.19%
中国武汉,45302,-- ,45302,--,5.47%
中国重庆,79395,-- ,79395,--,9.58%
中国长春,92280,-- ,92280,--,11.13%
中国佛山,116072,-- ,116072,--,14%
中国北京,140812,-- ,140812,--,16.99%
中国广州,270827,-- ,270827,--,32.67%

保利地产,600048,收入构成,报告日期,2008-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国长春,35427,-- ,35427,--,2.28%
中国南昌,26792,-- ,26792,--,1.73%
