中信证券,600030,收入构成,报告日期,2020-06-30,
天津市,5720,4516,1204,21.05%,0.1%
江西省,2762,5068,-2307,-83.53%,-0.19%
浙江省,82684,80545,2139,2.59%,0.18%
吉林省,389,1159,-771,-198.25%,-0.06%
黑龙江省,289,814,-525,-181.47%,-0.04%
云南省,654,1257,-602,-92.11%,-0.05%
广西壮族自治区,366,922,-555,-151.64%,-0.05%
湖北省,6411,7916,-1505,-23.47%,-0.13%

中信证券,600030,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
宁夏回族自治区,136,312,-175,-128.79%,-0.02%
内蒙古自治区,312,679,-368,-117.93%,-0.05%
辽宁省,2528,4810,-2282,-90.26%,-0.31%
陕西省,1315,2135,-820,-62.32%,-0.11%
湖南省,1249,1584,-335,-26.85%,-0.05%
山东省,27866,24155,3711,13.32%,0.5%
安徽省,796,1206,-410,-51.45%,-0.06%
上海市,19401,20527,-1125,-5.8%,-0.15%
江苏省,8285,8496,-210,-2.54%,-0.03%
云南省,343,643,-300,-87.62%,-0.04%
广西壮族自治区,226,502,-276,-122.1%,-0.04%
境外,268984,220785,48199,17.92%,6.55%
新疆维吾尔自治区,20,145,-126,-640.73%,-0.02%
吉林省,238,576,-339,-142.43%,-0.05%
四川省,2087,2150,-64,-3.06%,-0.01%
重庆市,21,80,-59,-279.57%,-0.01%
贵州省,30,84,-54,-176.74%,-0.01%
天津市,2897,2515,383,13.21%,0.05%
山西省,801,1360,-559,-69.77%,-0.08%
北京市,33135,20224,12910,38.96%,1.75%
河南省,1347,1842,-496,-36.82%,-0.07%
浙江省,49081,47280,1801,3.67%,0.24%
河北省,1342,2162,-820,-61.09%,-0.11%
广东省,14057,14945,-887,-6.31%,-0.12%
福建省,1413,3004,-1591,-112.55%,-0.22%
湖北省,3823,4110,-288,-7.53%,-0.04%
江西省,1628,2859,-1231,-75.59%,-0.17%
海南省,308,394,-86,-27.91%,-0.01%
公司本部,1555324,872581,682744,43.9%,92.71%
甘肃省,86,276,-191,-222.35%,-0.03%
黑龙江省,175,423,-248,-141.92%,-0.03%

中信证券,600030,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
云南省,642,1153,-511,-79.59%,-0.03%
甘肃省,145,456,-310,-213.16%,-0.02%
黑龙江省,311,777,-467,-150.18%,-0.03%
吉林省,349,982,-632,-181.02%,-0.04%
河北省,2934,4088,-1154,-39.32%,-0.07%
河南省,2079,3069,-990,-47.63%,-0.06%
江苏省,19149,16565,2584,13.5%,0.16%
海南省,547,783,-236,-43.11%,-0.01%
山东省,63741,52079,11662,18.3%,0.72%
福建省,3243,7223,-3981,-122.75%,-0.24%
宁夏回族自治区,426,527,-101,-23.79%,-0.01%
江西省,3611,5747,-2137,-59.17%,-0.13%
浙江省,118122,86024,32098,27.17%,1.98%
重庆市,161,278,-117,-73%,-0.01%
湖北省,8999,8212,787,8.74%,0.05%
公司本部及境内子公司,3355680,1863886,1491794,44.46%,91.81%
安徽省,1956,2568,-613,-31.33%,-0.04%
上海市,61086,53445,7640,12.51%,0.47%
北京市,69759,38386,31373,44.97%,1.93%
境外业务,562037,498701,63336,11.27%,3.9%
贵州省,58,153,-95,-163.01%,-0.01%
内蒙古自治区,789,1133,-344,-43.62%,-0.02%
广西壮族自治区,472,1052,-579,-122.62%,-0.04%
湖南省,2617,3039,-422,-16.12%,-0.03%
陕西省,2871,4070,-1199,-41.77%,-0.07%
天津市,5770,4894,876,15.18%,0.05%
新疆维吾尔自治区,54,282,-228,-419.25%,-0.01%
四川省,3911,3509,402,10.28%,0.02%
广东省,30557,29355,1203,3.94%,0.07%
山西省,1680,2301,-621,-36.96%,-0.04%
辽宁省,5408,9594,-4185,-77.39%,-0.26%

中信证券,600030,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,281327,-- ,281327,--,8.14%
其中:公司本部,1391566,-- ,1391566,--,40.25%
其中:新疆维吾尔尔自治区,24,-- ,24,--,0%
其中:贵州省,32,-- ,32,--,0%
其中:甘肃省,63,-- ,63,--,0%
其中:重庆市,45,-- ,45,--,0%
其中:内蒙古自治治区,304,-- ,304,--,0.01%
其中:黑龙江省,117,-- ,117,--,0%
其中:宁夏回族自自治区,268,-- ,268,--,0.01%
其中:陕西省,1270,-- ,1270,--,0.04%
其中:云南省,275,-- ,275,--,0.01%
其中:四川省,1820,-- ,1820,--,0.05%
其中:海南省,263,-- ,263,--,0.01%
其中:广西壮族自自治区,207,-- ,207,--,0.01%
其中:广东省,14336,-- ,14336,--,0.41%
其中:湖南省,1111,-- ,1111,--,0.03%
其中:湖北省,4360,-- ,4360,--,0.13%
其中:河南省,1117,-- ,1117,--,0.03%
其中:山东省,29268,-- ,29268,--,0.85%
其中:江西省,1721,-- ,1721,--,0.05%
其中:福建省,1473,-- ,1473,--,0.04%
其中:安徽省,926,-- ,926,--,0.03%
其中:浙江省,57307,-- ,57307,--,1.66%
其中:江苏省,8594,-- ,8594,--,0.25%
其中:上海市,31270,-- ,31270,--,0.9%
其中:吉林省,146,-- ,146,--,0%
其中:辽宁省,2491,-- ,2491,--,0.07%
其中:山西省,752,-- ,752,--,0.02%
其中:河北省,1317,-- ,1317,--,0.04%
其中:天津市,2787,-- ,2787,--,0.08%
其中:北京市,32863,-- ,32863,--,0.95%
境内,1588093,-- ,1588093,--,45.93%

中信证券,600030,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,814009,716327,97683,12%,6.88%
公司本部,2485632,1301952,1183680,47.62%,83.35%
新疆,76,184,-108,-141.64%,-0.01%
贵州,31,122,-91,-297.6%,-0.01%
甘肃,158,382,-224,-141.7%,-0.02%
重庆,322,633,-310,-96.37%,-0.02%
内蒙古,508,741,-233,-45.9%,-0.02%
黑龙江,347,646,-299,-86.28%,-0.02%
宁夏,258,485,-227,-88.19%,-0.02%
陕西省,3420,3876,-456,-13.32%,-0.03%
云南,814,1121,-307,-37.69%,-0.02%
四川,4175,3357,818,19.59%,0.06%
海南,677,852,-175,-25.86%,-0.01%
广西,572,1069,-497,-86.98%,-0.04%
广东,36910,33490,3420,9.27%,0.24%
湖南,3105,2949,157,5.05%,0.01%
湖北,11163,9813,1350,12.09%,0.1%
河南,2776,3550,-774,-27.87%,-0.05%
山东,80043,57886,22157,27.68%,1.56%
江西,4713,6635,-1922,-40.79%,-0.14%
福建,3564,7119,-3554,-99.71%,-0.25%
安徽,2584,2628,-44,-1.72%,-0%
浙江,164305,89389,74916,45.6%,5.27%
江苏,25100,20125,4975,19.82%,0.35%
上海,58991,44799,14192,24.06%,1%
吉林,315,846,-531,-168.72%,-0.04%
辽宁,6659,10289,-3630,-54.51%,-0.26%
山西,2118,2500,-381,-18%,-0.03%
河北,3326,4242,-916,-27.54%,-0.06%
