中信证券,600030,收入构成,报告日期,2020-06-30,
湖南省,608,-- ,608,--,0.08%
湖北省,2054,-- ,2054,--,0.28%
江苏省,8878,-- ,8878,--,1.22%
广东省,9300,-- ,9300,--,1.28%
山东省,37174,-- ,37174,--,5.13%
浙江省,55720,-- ,55720,--,7.68%
上海市,15883,-- ,15883,--,2.19%
北京市,16710,-- ,16710,--,2.3%

中信证券,600030,收入构成,报告日期,2010-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,87162,-- ,18735,--,1.15%
公司本部,1978182,-- ,1181556,--,72.63%
广西省,-0,-- ,-61,--,-0%
安徽省,187,-- ,-158,--,-0.01%
山西省,852,-- ,105,--,0.01%
河南省,443,-- ,-207,--,-0.01%
河北省,8526,-- ,5466,--,0.34%
吉林省,3427,-- ,2163,--,0.13%
甘肃省,3520,-- ,2134,--,0.13%
黑龙江省,4436,-- ,2237,--,0.14%
海南省,4986,-- ,3447,--,0.21%
陕西省,9654,-- ,5954,--,0.37%
福建省,10694,-- ,6221,--,0.38%
天津市,15288,-- ,10570,--,0.65%
四川省,21357,-- ,14887,--,0.92%
辽宁省,18699,-- ,10727,--,0.66%
江西省,18464,-- ,11100,--,0.68%
湖北省,28552,-- ,18325,--,1.13%
江苏省,41615,-- ,26569,--,1.63%
广东省,56635,-- ,33873,--,2.08%
山东省,118334,-- ,54773,--,3.37%
浙江省,151125,-- ,92987,--,5.72%
上海市,79168,-- ,48007,--,2.95%
北京市,88940,-- ,60508,--,3.72%
重庆市,13010,-- ,7795,--,0.48%
湖南省,16235,-- ,9206,--,0.57%

中信证券,600030,收入构成,报告日期,2010-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,17362,-- ,17362,--,2.2%
公司本部,417167,-- ,417167,--,52.77%
安徽省,1,-- ,1,--,0%
山西省,278,-- ,278,--,0.04%
河南省,110,-- ,110,--,0.01%
河北省,4442,-- ,4442,--,0.56%
吉林省,1844,-- ,1844,--,0.23%
甘肃省,1910,-- ,1910,--,0.24%
黑龙江省,2562,-- ,2562,--,0.32%
海南省,2849,-- ,2849,--,0.36%
陕西省,4991,-- ,4991,--,0.63%
福建省,5983,-- ,5983,--,0.76%
重庆市,7277,-- ,7277,--,0.92%
天津市,7481,-- ,7481,--,0.95%
四川省,11309,-- ,11309,--,1.43%
辽宁省,9728,-- ,9728,--,1.23%
江西省,10276,-- ,10276,--,1.3%
湖南省,9047,-- ,9047,--,1.14%
湖北省,15050,-- ,15050,--,1.9%
江苏省,20439,-- ,20439,--,2.59%
广东省,27933,-- ,27933,--,3.53%
山东省,61784,-- ,61784,--,7.82%
浙江省,66463,-- ,66463,--,8.41%
上海市,39939,-- ,39939,--,5.05%
北京市,44311,-- ,44311,--,5.61%

中信证券,600030,收入构成,报告日期,2009-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,62753,-- ,62753,--,2.85%
公司本部,1083116,-- ,1083116,--,49.22%
山西省,244,-- ,244,--,0.01%
河南省,349,-- ,349,--,0.02%
河北省,12270,-- ,12270,--,0.56%
吉林省,5408,-- ,5408,--,0.25%
甘肃省,5154,-- ,5154,--,0.23%
黑龙江省,7860,-- ,7860,--,0.36%
海南省,7320,-- ,7320,--,0.33%
陕西省,14536,-- ,14536,--,0.66%
福建省,16869,-- ,16869,--,0.77%
重庆市,25130,-- ,25130,--,1.14%
天津市,22168,-- ,22168,--,1.01%
四川省,32057,-- ,32057,--,1.46%
辽宁省,28165,-- ,28165,--,1.28%
江西省,31853,-- ,31853,--,1.45%
湖南省,23805,-- ,23805,--,1.08%
湖北省,44977,-- ,44977,--,2.04%
江苏省,58743,-- ,58743,--,2.67%
广东省,91369,-- ,91369,--,4.15%
山东省,159271,-- ,159271,--,7.24%
浙江省,204735,-- ,204735,--,9.3%
上海市,133051,-- ,133051,--,6.05%
北京市,129451,-- ,129451,--,5.88%

中信证券,600030,收入构成,报告日期,2009-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,20801,-- ,20801,--,2.32%
公司本部,404914,-- ,404914,--,45.22%
山西省,6,-- ,6,--,0%
河南省,73,-- ,73,--,0.01%
河北省,6013,-- ,6013,--,0.67%
吉林省,2435,-- ,2435,--,0.27%
甘肃省,2187,-- ,2187,--,0.24%
黑龙江省,3710,-- ,3710,--,0.41%
海南省,3207,-- ,3207,--,0.36%
陕西省,6680,-- ,6680,--,0.75%
福建省,7558,-- ,7558,--,0.84%
重庆市,9347,-- ,9347,--,1.04%
天津市,10080,-- ,10080,--,1.13%
四川省,14385,-- ,14385,--,1.61%
辽宁省,12968,-- ,12968,--,1.45%
江西省,14829,-- ,14829,--,1.66%
湖南省,11079,-- ,11079,--,1.24%
湖北省,21902,-- ,21902,--,2.45%
江苏省,27206,-- ,27206,--,3.04%
广东省,44504,-- ,44504,--,4.97%
山东省,67794,-- ,67794,--,7.57%
浙江省,93332,-- ,93332,--,10.42%
上海市,51663,-- ,51663,--,5.77%
北京市,58706,-- ,58706,--,6.56%

中信证券,600030,收入构成,报告日期,2008-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外小计,32048,-- ,7666,--,0.8%
公司本部,978646,-- ,437063,--,45.8%
河南省,51,-- ,51,--,0.01%
河北省,8740,-- ,5588,--,0.59%
吉林省,3909,-- ,2654,--,0.28%
甘肃省,3125,-- ,2121,--,0.22%
黑龙江省,5376,-- ,3518,--,0.37%
海南省,4207,-- ,2968,--,0.31%
陕西省,9441,-- ,5826,--,0.61%
福建省,12112,-- ,8448,--,0.89%
重庆市,13551,-- ,9162,--,0.96%
天津市,15535,-- ,10845,--,1.14%
四川省,19759,-- ,14368,--,1.51%
辽宁省,19827,-- ,12611,--,1.32%
江西省,21338,-- ,14242,--,1.49%
湖南省,16578,-- ,11055,--,1.16%
湖北省,31654,-- ,21465,--,2.25%
江苏省,41334,-- ,27555,--,2.89%
广东省,66352,-- ,42040,--,4.41%
山东省,118333,-- ,62668,--,6.57%
浙江省,139337,-- ,97255,--,10.19%
上海市,120883,-- ,89473,--,9.38%
北京市,88626,-- ,65684,--,6.88%

中信证券,600030,收入构成,报告日期,2008-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,17160,-- ,17160,--,1.57%
公司本部,633608,-- ,633608,--,58.06%
河南省,24,-- ,24,--,0%
河北省,5525,-- ,5525,--,0.51%
吉林省,2412,-- ,2412,--,0.22%
甘肃省,1944,-- ,1944,--,0.18%
黑龙江省,3397,-- ,3397,--,0.31%
海南省,2692,-- ,2692,--,0.25%
陕西省,5842,-- ,5842,--,0.54%
福建省,7732,-- ,7732,--,0.71%
重庆市,9978,-- ,9978,--,0.91%
天津市,10313,-- ,10313,--,0.95%
四川省,12184,-- ,12184,--,1.12%
辽宁省,12953,-- ,12953,--,1.19%
江西省,13475,-- ,13475,--,1.23%
湖南省,10911,-- ,10911,--,1%
湖北省,19893,-- ,19893,--,1.82%
江苏省,26235,-- ,26235,--,2.4%
广东省,43314,-- ,43314,--,3.97%
山东省,54447,-- ,54447,--,4.99%
浙江省,88663,-- ,88663,--,8.12%
上海市,52055,-- ,52055,--,4.77%
北京市,56511,-- ,56511,--,5.18%

中信证券,600030,收入构成,报告日期,2007-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,43554,-- ,17703,--,0.89%
公司本部,1720189,-- ,1028393,--,51.77%
河南省,18,-- ,-12,--,-0%
河北省,12892,-- ,9098,--,0.46%
吉林省,5941,-- ,4345,--,0.22%
甘肃省,5658,-- ,4075,--,0.21%
黑龙江省,10816,-- ,7879,--,0.4%
海南省,8865,-- ,6656,--,0.34%
陕西省,14461,-- ,10225,--,0.51%
福建省,24167,-- ,17965,--,0.9%
重庆市,25663,-- ,17638,--,0.89%
天津市,29791,-- ,22335,--,1.12%
四川省,34919,-- ,26036,--,1.31%
辽宁省,39926,-- ,27718,--,1.4%
江西省,35202,-- ,25084,--,1.26%
湖南省,36837,-- ,26385,--,1.33%
湖北省,54321,-- ,38403,--,1.93%
江苏省,75979,-- ,52862,--,2.66%
广东省,129898,-- ,88914,--,4.48%
山东省,190927,-- ,124280,--,6.26%
浙江省,272612,-- ,203060,--,10.22%
上海市,163989,-- ,113491,--,5.71%
北京市,150487,-- ,113759,--,5.73%

中信证券,600030,收入构成,报告日期,2007-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,21566,-- ,21566,--,2.03%
公司本部,379286,-- ,379286,--,35.65%
河北省,5708,-- ,5708,--,0.54%
吉林省,2874,-- ,2874,--,0.27%
甘肃省,2600,-- ,2600,--,0.24%
黑龙江省,5312,-- ,5312,--,0.5%
海南省,4552,-- ,4552,--,0.43%
陕西省,7248,-- ,7248,--,0.68%
福建省,11468,-- ,11468,--,1.08%
重庆市,11469,-- ,11469,--,1.08%
天津市,16291,-- ,16291,--,1.53%
四川省,17462,-- ,17462,--,1.64%
辽宁省,19055,-- ,19055,--,1.79%
江西省,17487,-- ,17487,--,1.64%
湖南省,16386,-- ,16386,--,1.54%
湖北省,29457,-- ,29457,--,2.77%
江苏省,40317,-- ,40317,--,3.79%
广东省,69697,-- ,69697,--,6.55%
山东省,77523,-- ,77523,--,7.29%
浙江省,139799,-- ,139799,--,13.14%
上海市,92363,-- ,92363,--,8.68%
北京市,75991,-- ,75991,--,7.14%

中信证券,600030,收入构成,报告日期,2006-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,23035,-- ,1513,--,0.55%
公司本部,285290,-- ,136461,--,49.66%
河北省,2598,-- ,1440,--,0.52%
吉林省,1514,-- ,792,--,0.29%
甘肃省,1250,-- ,620,--,0.23%
黑龙江省,2311,-- ,1139,--,0.41%
海南省,2126,-- ,1222,--,0.44%
陕西省,3347,-- ,1660,--,0.6%
福建省,5754,-- ,3210,--,1.17%
重庆市,4792,-- ,1483,--,0.54%
天津市,7149,-- ,3404,--,1.24%
四川省,8173,-- ,4291,--,1.56%
辽宁省,7782,-- ,3409,--,1.24%
江西省,6774,-- ,3618,--,1.32%
湖南省,7358,-- ,3909,--,1.42%
湖北省,10131,-- ,4982,--,1.81%
江苏省,15895,-- ,7534,--,2.74%
广东省,27717,-- ,11863,--,4.32%
山东省,30090,-- ,15562,--,5.66%
浙江省,53913,-- ,32837,--,11.95%
上海市,42147,-- ,17109,--,6.23%
北京市,34037,-- ,16753,--,6.1%

中信证券,600030,收入构成,报告日期,2006-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,6020,-- ,6020,--,3.31%
公司本部,51345,-- ,51345,--,28.2%
吉林省,747,-- ,747,--,0.41%
甘肃省,605,-- ,605,--,0.33%
黑龙江省,1091,-- ,1091,--,0.6%
海南省,1054,-- ,1054,--,0.58%
陕西省,1505,-- ,1505,--,0.83%
福建省,2656,-- ,2656,--,1.46%
重庆市,2067,-- ,2067,--,1.14%
天津市,3300,-- ,3300,--,1.81%
四川省,3773,-- ,3773,--,2.07%
辽宁省,3560,-- ,3560,--,1.96%
江西省,3236,-- ,3236,--,1.78%
湖南省,3514,-- ,3514,--,1.93%
湖北省,4786,-- ,4786,--,2.63%
江苏省,7049,-- ,7049,--,3.87%
广东省,12321,-- ,12321,--,6.77%
山东省,14435,-- ,14435,--,7.93%
浙江省,24634,-- ,24634,--,13.53%
上海市,18658,-- ,18658,--,10.25%
北京市,15689,-- ,15689,--,8.62%

中信证券,600030,收入构成,报告日期,2005-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,4,0,4,100%,0.01%
公司本部,59925,0,40595,100%,101.25%
其他地区,5822,0,-22,100%,-0.05%
广东地区,2941,0,-292,100%,-0.73%
山东地区,8461,0,637,100%,1.59%
北京地区,4881,0,119,100%,0.3%
江苏地区,2895,0,-418,100%,-1.04%
上海地区,6902,0,-530,100%,-1.32%

中信证券,600030,收入构成,报告日期,2005-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
本部,5991,0,0,100%,0%
其他地区,2186,0,0,100%,0%
广东地区,1033,0,0,100%,0%
江苏地区,1160,0,0,100%,0%
北京地区,2062,0,0,100%,0%
山东地区,3529,0,0,100%,0%
上海地区,2901,0,0,100%,0%

中信证券,600030,收入构成,报告日期,2004-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司本部,40354,-- ,40447,--,99.42%
其他地区,7216,-- ,392,--,0.96%
广东地区,3057,-- ,-172,--,-0.42%
山东地区,9554,-- ,491,--,1.21%
北京地区,7218,-- ,-356,--,-0.88%
江苏地区,4140,-- ,-221,--,-0.54%
上海地区,9852,-- ,102,--,0.25%

中信证券,600030,收入构成,报告日期,2004-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
本部,24107,0,0,100%,0%
其他地区,5157,0,0,100%,0%
广东地区,1653,0,0,100%,0%
江苏地区,2703,0,0,100%,0%
北京地区,4542,0,0,100%,0%
山东地区,4838,0,0,100%,0%
上海地区,5693,0,0,100%,0%

中信证券,600030,收入构成,报告日期,2003-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司本部,46694,0,33392,100%,110.04%
其他地区,7417,0,-2475,100%,-8.16%
广东地区,2221,0,-665,100%,-2.19%
山东地区,3431,0,-494,100%,-1.63%
北京地区,7654,0,454,100%,1.5%
江苏地区,5343,0,-352,100%,-1.16%
上海地区,8858,0,485,100%,1.6%

中信证券,600030,收入构成,报告日期,2003-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,3163,0,0,100%,0%
广东,881,0,0,100%,0%
山东,1278,0,0,100%,0%
北京,2885,0,0,100%,0%
江苏,2035,0,0,100%,0%
上海,3126,0,0,100%,0%

中信证券,600030,收入构成,报告日期,2002-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司本部,42547,-- ,18673,--,166.53%
其他地区,8802,-- ,-4379,--,-39.05%
广东地区,2906,-- ,-914,--,-8.15%
山东地区,3952,-- ,-811,--,-7.23%
北京地区,6909,-- ,685,--,6.11%
江苏地区,5564,-- ,-1624,--,-14.49%
上海地区,11960,-- ,-418,--,-3.72%

