飞荣达,300602,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外销售,30419,21569,8850,29.09%,23.44%
国内销售,116858,87958,28900,24.73%,76.56%

飞荣达,300602,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外销售,49235,31849,17386,35.31%,22.35%
其他（补充）,3658,2037,1621,44.32%,2.08%
国内销售,208634,149835,58799,28.18%,75.57%

飞荣达,300602,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国内销售,76045,53404,22642,29.77%,78.36%
其他（补充）,1308,727,581,44.43%,2.01%
国外销售,13630,7959,5671,41.61%,19.63%

飞荣达,300602,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国内销售,106783,76024,30760,28.81%,75%
其他（补充）,2202,939,1263,57.34%,3.08%
国外销售,23591,14600,8991,38.11%,21.92%

飞荣达,300602,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,624,123,501,80.3%,2.96%
国内销售,44968,31637,13331,29.65%,78.79%
国外销售,9607,6519,3088,32.14%,18.25%

飞荣达,300602,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,351,76,275,78.36%,0.99%
国内销售,79855,61497,18358,22.99%,65.96%
国外销售,23435,14237,9198,39.25%,33.05%

飞荣达,300602,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,118,44,74,62.75%,0.66%
国外销售,9786,5705,4080,41.7%,36.17%
国内销售,37398,30273,7125,19.05%,63.17%

飞荣达,300602,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),154,102,53,34.16%,0.2%
国外销售,25313,14593,10720,42.35%,41.6%
国内销售,58831,43835,14996,25.49%,58.19%

飞荣达,300602,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,77,-- ,77,--,0.21%
国外销售,11419,-- ,11419,--,31.28%
国内销售,25011,-- ,25011,--,68.51%

飞荣达,300602,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,158,-- ,158,--,0.24%
国外销售,17583,-- ,17583,--,27.17%
国内销售,46976,-- ,46976,--,72.59%

飞荣达,300602,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,78,-- ,78,--,0.13%
国外销售,16554,-- ,16554,--,27.32%
国内销售,43957,-- ,43957,--,72.55%

飞荣达,300602,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,171,-- ,171,--,0.37%
国外销售,12974,-- ,12974,--,28.27%
国内销售,32752,-- ,32752,--,71.36%

