花王股份,603007,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,31,-- ,31,--,0.14%
华中,5117,-- ,5117,--,23.32%
华南,9,-- ,9,--,0.04%
华北,529,-- ,529,--,2.41%
华东,16252,-- ,16252,--,74.08%

花王股份,603007,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
西南,12724,7340,5384,42.31%,17.06%
华南,-6,58,-64,1082.67%,-0.2%
其他（补充）,34,57,-24,-69.67%,-0.07%
华中,92878,71324,21554,23.21%,68.28%
华北,2605,1712,894,34.31%,2.83%
西北,3351,2408,943,28.14%,2.99%
华东,11881,9000,2881,24.25%,9.13%

花王股份,603007,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,40,80,-40,-101.27%,-0.11%
西北,10107,6252,3856,38.15%,10.52%
华中,69601,54238,15362,22.07%,41.93%
华南,26,13,14,52.05%,0.04%
华东,27903,17216,10687,38.3%,29.17%
西南,11623,6939,4684,40.3%,12.78%
华北,7134,5056,2078,29.12%,5.67%

花王股份,603007,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华南,442,165,277,62.72%,0.84%
华东,34026,26812,7213,21.2%,21.75%
华中,36345,19703,16641,45.79%,50.18%
西南,1415,585,830,58.63%,2.5%
其他(补充),38,18,20,52.56%,0.06%
西北,1933,1620,313,16.18%,0.94%
华北,29479,21608,7871,26.7%,23.73%

花王股份,603007,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,144,84,60,41.69%,0.36%
西北,760,589,171,22.51%,1.04%
华南,162,112,50,30.68%,0.3%
华北,17330,11817,5513,31.81%,33.39%
华东,32693,21973,10720,32.79%,64.91%

花王股份,603007,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,143,79,64,44.73%,0.37%
西北,3052,2287,765,25.06%,4.46%
华南,376,298,78,20.63%,0.45%
华北,15359,10056,5303,34.52%,30.89%
华中,1753,1473,280,15.99%,1.63%
华东,33197,22521,10676,32.16%,62.2%

花王股份,603007,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,121,78,43,35.24%,0.28%
西北,1514,906,608,40.17%,3.95%
华南,4522,3774,748,16.55%,4.86%
华北,13640,9171,4469,32.77%,29.05%
华中,394,295,99,25.1%,0.64%
华东,30850,21431,9419,30.53%,61.22%

花王股份,603007,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,142,92,50,35.34%,0.3%
西南,1221,971,250,20.49%,1.52%
西北,520,26,494,95.05%,3%
华南,758,479,279,36.82%,1.69%
华北,10645,7435,3210,30.16%,19.49%
华中,2644,2193,452,17.08%,2.74%
华东,41363,29623,11740,28.38%,71.26%

