龙蟠科技,603906,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华北地区,23039,14230,8809,38.24%,14.87%
华南地区,11807,6150,5658,47.92%,9.55%
西南地区,13280,8767,4513,33.98%,7.62%
华东地区,84400,56365,28035,33.22%,47.34%
其他（补充）,4316,3912,404,9.37%,0.68%
西北地区,6414,4344,2070,32.28%,3.5%
外销,378,264,114,30.04%,0.19%
东北地区,10313,6940,3373,32.7%,5.7%
华中地区,17348,11100,6248,36.02%,10.55%

龙蟠科技,603906,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
外销,158,101,57,35.83%,0.13%
东北地区,8314,5884,2430,29.23%,5.38%
华中地区,17534,12062,5471,31.2%,12.12%
华南地区,7121,4504,2617,36.75%,5.8%
西南地区,9384,6254,3130,33.35%,6.93%
华东地区,81365,57918,23447,28.82%,51.94%
其他（补充）,2304,2101,203,8.81%,0.45%
西北地区,5191,3371,1820,35.06%,4.03%
华北地区,18408,12443,5965,32.4%,13.21%

龙蟠科技,603906,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华南地区,4063,2174,1890,46.5%,4.48%
西北地区,4513,2863,1650,36.56%,3.92%
西南地区,8453,5524,2929,34.65%,6.95%
华中地区,15045,10005,5040,33.5%,11.96%
东北地区,7667,5100,2567,33.48%,6.09%
外销,117,63,54,46.27%,0.13%
华北地区,15788,10781,5007,31.72%,11.88%
其他(补充),213,-- ,213,--,0.51%
华东地区,73884,51089,22796,30.85%,54.09%

龙蟠科技,603906,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),835,-- ,835,--,0.81%
外销,124,-- ,124,--,0.12%
华南地区,2667,-- ,2667,--,2.57%
西北地区,4307,-- ,4307,--,4.16%
东北地区,6887,-- ,6887,--,6.65%
西南地区,6735,-- ,6735,--,6.5%
华北地区,12025,-- ,12025,--,11.6%
华中地区,12004,-- ,12004,--,11.58%
华东地区,58038,-- ,58038,--,56.01%

龙蟠科技,603906,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),188,-- ,188,--,0.23%
外销,171,-- ,171,--,0.21%
华南地区,1837,-- ,1837,--,2.24%
西北地区,3379,-- ,3379,--,4.12%
东北地区,4385,-- ,4385,--,5.34%
西南地区,4176,-- ,4176,--,5.09%
华北地区,10363,-- ,10363,--,12.63%
华中地区,10575,-- ,10575,--,12.89%
华东地区,46993,-- ,46993,--,57.26%

龙蟠科技,603906,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),459,-- ,459,--,0.53%
外销,134,-- ,134,--,0.16%
华南地区,2448,-- ,2448,--,2.83%
西北地区,3396,-- ,3396,--,3.93%
东北地区,3936,-- ,3936,--,4.55%
西南地区,4575,-- ,4575,--,5.29%
华北地区,9308,-- ,9308,--,10.76%
华中地区,14042,-- ,14042,--,16.23%
华东地区,48221,-- ,48221,--,55.73%

