长城证券,002939,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部及子公司,269892,-- ,269892,--,88.35%
重庆,1327,-- ,1327,--,0.43%
浙江,2675,-- ,2675,--,0.88%
云南,887,-- ,887,--,0.29%
天津,22,-- ,22,--,0.01%
四川,799,-- ,799,--,0.26%
上海,1099,-- ,1099,--,0.36%
陕西,819,-- ,819,--,0.27%
山西,98,-- ,98,--,0.03%
山东,929,-- ,929,--,0.3%
内蒙古,119,-- ,119,--,0.04%
辽宁,1348,-- ,1348,--,0.44%
江西,759,-- ,759,--,0.25%
江苏,2041,-- ,2041,--,0.67%
吉林,61,-- ,61,--,0.02%
湖南,682,-- ,682,--,0.22%
湖北,1972,-- ,1972,--,0.65%
黑龙江,119,-- ,119,--,0.04%
河南,379,-- ,379,--,0.12%
河北,436,-- ,436,--,0.14%
海南,541,-- ,541,--,0.18%
贵州,181,-- ,181,--,0.06%
广西,685,-- ,685,--,0.22%
广东,12338,-- ,12338,--,4.04%
甘肃,95,-- ,95,--,0.03%
福建,862,-- ,862,--,0.28%
北京,3955,-- ,3955,--,1.29%
安徽,369,-- ,369,--,0.12%

长城证券,002939,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北,3286,-- ,3286,--,0.84%
河北,595,-- ,595,--,0.15%
广西,1151,-- ,1151,--,0.3%
福建,1029,-- ,1029,--,0.26%
山西,136,-- ,136,--,0.03%
辽宁,2135,-- ,2135,--,0.55%
吉林,77,-- ,77,--,0.02%
黑龙江,118,-- ,118,--,0.03%
重庆,1985,-- ,1985,--,0.51%
江西,1137,-- ,1137,--,0.29%
湖南,1072,-- ,1072,--,0.27%
河南,615,-- ,615,--,0.16%
贵州,246,-- ,246,--,0.06%
海南,794,-- ,794,--,0.2%
广东,18495,-- ,18495,--,4.74%
北京,4713,-- ,4713,--,1.21%
甘肃,94,-- ,94,--,0.02%
安徽,528,-- ,528,--,0.14%
天津,42,-- ,42,--,0.01%
陕西,1213,-- ,1213,--,0.31%
内蒙古,174,-- ,174,--,0.04%
江苏,3204,-- ,3204,--,0.82%
浙江,4008,-- ,4008,--,1.03%
四川,1242,-- ,1242,--,0.32%
总部及子公司,337499,-- ,337499,--,86.56%
云南,1309,-- ,1309,--,0.34%
上海,1576,-- ,1576,--,0.4%
山东,1443,-- ,1443,--,0.37%

长城证券,002939,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
江西,674,-- ,674,--,0.39%
湖南,645,-- ,645,--,0.37%
河南,361,-- ,361,--,0.21%
贵州,156,-- ,156,--,0.09%
天津,26,-- ,26,--,0.02%
陕西,695,-- ,695,--,0.4%
内蒙古,101,-- ,101,--,0.06%
江苏,1835,-- ,1835,--,1.06%
湖北,1816,-- ,1816,--,1.04%
河北,326,-- ,326,--,0.19%
广西,624,-- ,624,--,0.36%
福建,575,-- ,575,--,0.33%
海南,466,-- ,466,--,0.27%
广东,10515,-- ,10515,--,6.05%
北京,2165,-- ,2165,--,1.25%
甘肃,39,-- ,39,--,0.02%
安徽,285,-- ,285,--,0.16%
山东,956,-- ,956,--,0.55%
总部及子公司,144675,-- ,144675,--,83.2%
云南,752,-- ,752,--,0.43%
上海,899,-- ,899,--,0.52%
重庆,1017,-- ,1017,--,0.59%
浙江,2203,-- ,2203,--,1.27%
四川,682,-- ,682,--,0.39%
山西,75,-- ,75,--,0.04%
辽宁,1234,-- ,1234,--,0.71%
吉林,47,-- ,47,--,0.03%
黑龙江,46,-- ,46,--,0.03%

长城证券,002939,收入构成,报告日期,2018-12-31,
