新城市,300778,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),-- ,712,-712,--,-3.74%
华东地区,2058,1305,753,36.57%,3.96%
华中地区,682,-- ,682,--,3.58%
其地地区,678,-- ,678,--,3.57%
西南地区,2198,1474,725,32.96%,3.81%
华南地区,38612,21722,16890,43.74%,88.82%

