凌钢股份,600231,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中南地区,10784,10644,140,1.3%,0.3%
西北地区,232,220,13,5.54%,0.03%
其他地区,9599,9008,591,6.15%,1.26%
其他（补充）,44948,44297,651,1.45%,1.39%
华东地区,226329,217273,9056,4%,19.36%
华北地区,481229,452018,29212,6.07%,62.46%
东北地区,151664,144555,7109,4.69%,15.2%

凌钢股份,600231,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,95505,96154,-649,-0.68%,-0.44%
中南地区,78467,73579,4888,6.23%,3.3%
华北地区,983161,915747,67415,6.86%,45.54%
华东地区,483566,448616,34950,7.23%,23.61%
西北地区,1009,925,84,8.34%,0.06%
东北地区,461181,420876,40305,8.74%,27.23%
其他地区,8831,7796,1035,11.72%,0.7%

凌钢股份,600231,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他地区,18999,17172,1826,9.61%,1.95%
华东地区,255995,229630,26365,10.3%,28.17%
中南地区,39917,37103,2814,7.05%,3.01%
华北地区,471036,431233,39803,8.45%,42.53%
东北地区,228353,205516,22837,10%,24.4%
其他(补充),48504,48614,-109,-0.23%,-0.12%
西北地区,633,581,52,8.27%,0.06%

凌钢股份,600231,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,117655,117161,495,0.42%,0.19%
西北地区,2087,1791,296,14.18%,0.11%
东北地区,459001,386846,72155,15.72%,27.35%
中南地区,122617,109551,13066,10.66%,4.95%
华北地区,927104,811930,115175,12.42%,43.65%
其他地区,13960,11995,1965,14.08%,0.74%
华东地区,435225,374524,60702,13.95%,23.01%

凌钢股份,600231,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华北地区,426957,378117,48840,11.44%,33.47%
西北地区,1410,1186,224,15.88%,0.15%
其他（补充）,57753,57258,495,0.86%,0.34%
东北地区,234340,185084,49257,21.02%,33.75%
其他地区,4216,3264,952,22.58%,0.65%
华东地区,213962,176784,37178,17.38%,25.48%
中南地区,69840,60850,8990,12.87%,6.16%

凌钢股份,600231,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
东北地区,477095,361082,116013,24.32%,43.7%
华北地区,736957,651863,85094,11.55%,32.05%
华东地区,282829,235184,47646,16.85%,17.95%
西北地区,4652,4094,558,12%,0.21%
中南地区,106982,92247,14735,13.77%,5.55%
其他地区,70753,70544,210,0.3%,0.08%
其他（补充）,119506,118267,1238,1.04%,0.47%

凌钢股份,600231,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
东北,232272,204607,27665,11.91%,29.72%
华东,110725,96621,14104,12.74%,15.15%
西北,1719,1521,198,11.5%,0.21%
其他,27085,21286,5799,21.41%,6.23%
中南,49990,44355,5635,11.27%,6.05%
华北,360686,322057,38629,10.71%,41.49%
其他（补充）,53798,52733,1065,1.98%,1.14%

凌钢股份,600231,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),319769,289076,30693,9.6%,28.48%
其他地区,78090,70381,7710,9.87%,7.15%
中南地区,50331,50180,152,0.3%,0.14%
西北地区,1465,1427,38,2.63%,0.04%
华东地区,90816,84479,6337,6.98%,5.88%
华北地区,438040,429002,9038,2.06%,8.39%
东北地区,467762,413971,53791,11.5%,49.92%

凌钢股份,600231,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,141594,-- ,141594,--,23.2%
其他地区,35633,-- ,35633,--,5.84%
中南地区,20179,-- ,20179,--,3.31%
西北地区,778,-- ,778,--,0.13%
华东地区,35525,-- ,35525,--,5.82%
华北地区,181403,-- ,181403,--,29.72%
东北地区,195252,-- ,195252,--,31.99%

凌钢股份,600231,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),303922,274213,29709,9.78%,75.56%
其他地区,190302,139650,50652,26.62%,128.83%
中南地区,58685,66587,-7902,-13.47%,-20.1%
西北地区,1325,1373,-48,-3.64%,-0.12%
华东地区,69116,77025,-7909,-11.44%,-20.12%
华北地区,301689,308167,-6478,-2.15%,-16.48%
东北地区,320245,338950,-18705,-5.84%,-47.57%

凌钢股份,600231,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中南地区,34574,-- ,34574,--,5.59%
华北地区,154075,-- ,154075,--,24.91%
其他（补充）,128569,-- ,128569,--,20.79%
西北地区,916,-- ,916,--,0.15%
其他地区,89009,-- ,89009,--,14.39%
华东地区,45196,-- ,45196,--,7.31%
东北地区,166109,-- ,166109,--,26.86%

