中国核建,601611,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,5996905,5409565,587339,9.79%,94.93%
其他（补充）,30716,22583,8132,26.48%,1.31%
境外,331727,308496,23231,7%,3.75%

中国核建,601611,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,28612,20309,8303,29.02%,1.57%
境内,4855455,4358782,496673,10.23%,93.99%
境外,251439,228002,23437,9.32%,4.44%

中国核建,601611,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,4285182,3851933,433250,10.11%,93.71%
境外,225223,204368,20855,9.26%,4.51%
其他（补充）,22959,14718,8241,35.89%,1.78%

中国核建,601611,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,16728,7697,9031,53.99%,2.06%
境外,215009,201386,13623,6.34%,3.1%
境内,3908762,3492565,416197,10.65%,94.84%

中国核建,601611,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),5042,-- ,5042,--,0.28%
境外,119761,-- ,119761,--,6.63%
境内,1681544,-- ,1681544,--,93.09%

中国核建,601611,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,18179,-- ,18179,--,0.44%
境外,261400,-- ,261400,--,6.38%
境内,3817423,-- ,3817423,--,93.18%

中国核建,601611,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,9119,-- ,9119,--,0.2%
境外,202231,-- ,202231,--,4.51%
境内,4268725,-- ,4268725,--,95.28%

中国核建,601611,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,7958,-- ,7958,--,0.21%
境外,187673,-- ,187673,--,5.01%
境内,3547983,-- ,3547983,--,94.77%

中国核建,601611,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),4098,4438,-339,-8.28%,-0.11%
境外,131793,120330,11463,8.7%,3.87%
境内,2840622,2555357,285266,10.04%,96.25%

中国核建,601611,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),6801,6518,282,4.15%,0.12%
境外,123226,112452,10774,8.74%,4.46%
境内,2348551,2118103,230448,9.81%,95.42%

