三维股份,603033,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,475,160,315,66.37%,0.54%
国外,28568,21541,7028,24.6%,12.05%
国内,145634,94671,50963,34.99%,87.41%

三维股份,603033,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国内,82037,62794,19243,23.46%,77.13%
其他（补充）,214,135,79,37.13%,0.32%
国外,26507,20880,5627,21.23%,22.55%

三维股份,603033,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),275,297,-22,-8.04%,-0.12%
国外,27043,23037,4006,14.81%,22.58%
国内,69195,55435,13760,19.89%,77.55%

三维股份,603033,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,16939,14034,2905,17.15%,15.38%
国内,58832,42841,15990,27.18%,84.62%

三维股份,603033,收入构成,报告日期,2016-09-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,49,-- ,49,--,0.09%
其他,18217,-- ,18217,--,33.61%
黑龙江,1290,-- ,1290,--,2.38%
辽宁,1348,-- ,1348,--,2.49%
吉林,1455,-- ,1455,--,2.68%
河南,1589,-- ,1589,--,2.93%
广东,2070,-- ,2070,--,3.82%
湖南,2471,-- ,2471,--,4.56%
江苏,3020,-- ,3020,--,5.57%
山东,3062,-- ,3062,--,5.65%
河北,7451,-- ,7451,--,13.75%
澳洲,1146,-- ,1146,--,2.11%
南美洲,532,-- ,532,--,0.98%
欧洲,1275,-- ,1275,--,2.35%
非洲,1463,-- ,1463,--,2.7%
北美洲,2658,-- ,2658,--,4.9%
亚洲,5109,-- ,5109,--,9.43%

三维股份,603033,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,174,-- ,174,--,0.23%
其他,23256,-- ,23256,--,30.42%
四川,2269,-- ,2269,--,2.97%
北京,2275,-- ,2275,--,2.98%
河南,2545,-- ,2545,--,3.33%
云南,2658,-- ,2658,--,3.48%
浙江,2844,-- ,2844,--,3.72%
山东,3790,-- ,3790,--,4.96%
江苏,3869,-- ,3869,--,5.06%
湖南,4657,-- ,4657,--,6.09%
河北,8148,-- ,8148,--,10.66%
澳洲,701,-- ,701,--,0.92%
南美洲,1777,-- ,1777,--,2.32%
欧洲,2779,-- ,2779,--,3.64%
非洲,3035,-- ,3035,--,3.97%
北美洲,4407,-- ,4407,--,5.76%
亚洲,7268,-- ,7268,--,9.51%

三维股份,603033,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,110,-- ,110,--,0.12%
其他,25639,-- ,25639,--,27.62%
河南,2705,-- ,2705,--,2.91%
江西,2783,-- ,2783,--,3%
江苏,3466,-- ,3466,--,3.73%
四川,3524,-- ,3524,--,3.8%
湖北,3758,-- ,3758,--,4.05%
吉林,4051,-- ,4051,--,4.36%
山东,5371,-- ,5371,--,5.79%
河北,6288,-- ,6288,--,6.77%
湖南,7439,-- ,7439,--,8.01%
澳洲,255,-- ,255,--,0.27%
南美洲,3338,-- ,3338,--,3.6%
欧洲,2854,-- ,2854,--,3.07%
非洲,7815,-- ,7815,--,8.42%
北美洲,3909,-- ,3909,--,4.21%
亚洲,9511,-- ,9511,--,10.25%

三维股份,603033,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,78,-- ,78,--,0.08%
其他,28104,-- ,28104,--,28.93%
江西,2569,-- ,2569,--,2.64%
河南,2834,-- ,2834,--,2.92%
江苏,3000,-- ,3000,--,3.09%
吉林,3371,-- ,3371,--,3.47%
湖北,3417,-- ,3417,--,3.52%
四川,3589,-- ,3589,--,3.69%
山东,5072,-- ,5072,--,5.22%
河北,5503,-- ,5503,--,5.66%
湖南,8761,-- ,8761,--,9.02%
澳洲,46,-- ,46,--,0.05%
南美洲,3730,-- ,3730,--,3.84%
欧洲,3094,-- ,3094,--,3.19%
非洲,6259,-- ,6259,--,6.44%
北美洲,6139,-- ,6139,--,6.32%
亚洲,11581,-- ,11581,--,11.92%

