东易日盛,002713,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,2532,568,1964,77.57%,4.72%
华中地区,5917,-- ,5917,--,14.22%
西北地区,3884,-- ,3884,--,9.33%
西南地区,2265,-- ,2265,--,5.44%
东北地区,3016,-- ,3016,--,7.25%
华南地区,4032,-- ,4032,--,9.69%
华北地区,28410,18615,9795,34.48%,23.54%
华东地区,35667,24978,10689,29.97%,25.68%
其他,55,-- ,55,--,0.13%

东易日盛,002713,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华北地区,139533,84527,55006,39.42%,26.92%
华中地区,35985,-- ,35985,--,17.61%
华东地区,134733,89773,44959,33.37%,22%
西北地区,18295,-- ,18295,--,8.95%
东北地区,9625,-- ,9625,--,4.71%
西南地区,16508,-- ,16508,--,8.08%
华南地区,25219,-- ,25219,--,12.34%
其他(补充),-- ,1236,-1236,--,-0.6%

东易日盛,002713,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华中地区,17991,-- ,17991,--,18.21%
东北地区,4587,-- ,4587,--,4.64%
西南地区,9333,-- ,9333,--,9.44%
华南地区,11529,-- ,11529,--,11.67%
西北地区,8130,-- ,8130,--,8.23%
其他(补充),3058,495,2563,83.81%,2.59%
华东地区,64933,43891,21042,32.41%,21.29%
华北地区,66901,43257,23644,35.34%,23.93%

东易日盛,002713,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
西南地区,24461,-- ,24461,--,11.58%
华南地区,26514,-- ,26514,--,12.56%
华北地区,138153,79117,59036,42.73%,27.96%
华中地区,53260,35873,17388,32.65%,8.23%
华东地区,144463,94173,50290,34.81%,23.81%
西北地区,21212,-- ,21212,--,10.04%
东北地区,12276,-- ,12276,--,5.81%

东易日盛,002713,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华南地区,12150,-- ,12150,--,13.78%
西南地区,11851,-- ,11851,--,13.44%
西北地区,7789,-- ,7789,--,8.83%
华北地区,59130,35623,23507,39.76%,26.66%
华中地区,22043,15393,6649,30.17%,7.54%
东北地区,4698,-- ,4698,--,5.33%
其他(补充),-- ,415,-415,--,-0.47%
华东地区,63339,41386,21953,34.66%,24.9%

东易日盛,002713,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华中地区,48066,32696,15370,31.98%,8.66%
华南地区,23518,-- ,23518,--,13.25%
华北地区,133804,79345,54459,40.7%,30.67%
西北地区,16147,-- ,16147,--,9.1%
华东地区,115030,71656,43374,37.71%,24.43%
