华泰证券,601688,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
香港及海外,188661,155686,32975,17.48%,3.96%
上海地区,183363,74493,108869,59.37%,13.08%
其他地区,72897,34322,38575,52.92%,4.63%
江苏地区,814437,277884,536553,65.88%,64.46%
湖北地区,18517,8285,10232,55.26%,1.23%
广东地区,216266,154680,61586,28.48%,7.4%
北京地区,59923,16352,43570,72.71%,5.23%

华泰证券,601688,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广东地区,380498,317058,63440,16.67%,5.47%
江苏地区,1408979,524946,884033,62.74%,76.16%
海外地区,266543,254060,12482,4.68%,1.08%
其他地区,63239,56016,7223,11.42%,0.62%
上海地区,307222,132452,174770,56.89%,15.06%
湖北地区,17939,12537,5401,30.11%,0.47%
北京地区,41883,28438,13445,32.1%,1.16%

华泰证券,601688,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北地区,19132,6812,12320,64.39%,2.28%
北京地区,28513,13580,14933,52.37%,2.76%
其他地区,74379,30348,44031,59.2%,8.13%
上海地区,160894,56332,104562,64.99%,19.31%
江苏地区,533937,217103,316834,59.34%,58.51%
香港及海外,119029,114407,4621,3.88%,0.85%
广东地区,174788,130581,44206,25.29%,8.16%

华泰证券,601688,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国大陆,1406969,-- ,1406969,--,87.34%
境外,203857,-- ,203857,--,12.66%

华泰证券,601688,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北地区,13276,6121,7155,53.89%,1.78%
其他地区,51318,24524,26794,52.21%,6.67%
上海地区,133214,43397,89817,67.42%,22.34%
江苏地区,329699,133017,196682,59.66%,48.92%
北京地区,20169,14287,5881,29.16%,1.46%
广东地区,172839,117686,55154,31.91%,13.72%
香港地区,101098,80568,20531,20.31%,5.11%

华泰证券,601688,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,250262,87593,162668,65%,14.99%
江苏地区,1158318,426547,731771,63.18%,67.46%
湖北地区,18930,14046,4884,25.8%,0.45%
北京地区,92293,47022,45271,49.05%,4.17%
其他地区,65809,50183,15626,23.74%,1.44%
香港地区,162570,153518,9052,5.57%,0.83%
广东地区,362672,247116,115555,31.86%,10.65%

华泰证券,601688,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,144924,46781,98142,67.72%,24.63%
广东地区,154613,86951,67662,43.76%,16.98%
香港地区,72696,71900,797,1.1%,0.2%
湖北地区,14870,7298,7572,50.92%,1.9%
北京地区,16972,7491,9481,55.86%,2.38%
其他地区,55389,22216,33173,59.89%,8.33%
江苏地区,352194,170551,181644,51.57%,45.59%

华泰证券,601688,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
香港地区,22150,56626,-34476,-155.65%,-4.11%
其他地区,113048,52614,60434,53.46%,7.2%
湖北地区,31691,13846,17844,56.31%,2.12%
北京地区,179987,52412,127575,70.88%,15.19%
上海地区,237432,81136,156297,65.83%,18.61%
广东地区,346869,212674,134194,38.69%,15.98%
江苏地区,760525,382598,377927,49.69%,45%

华泰证券,601688,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部及子公司,493746,-- ,493746,--,67.12%
香港,1039,-- ,1039,--,0.14%
青海,123,-- ,123,--,0.02%
新疆,156,-- ,156,--,0.02%
云南,633,-- ,633,--,0.09%
贵州,281,-- ,281,--,0.04%
山西,12,-- ,12,--,0%
甘肃,436,-- ,436,--,0.06%
内蒙古,865,-- ,865,--,0.12%
重庆,1327,-- ,1327,--,0.18%
宁夏,697,-- ,697,--,0.09%
海南,980,-- ,980,--,0.13%
安徽,2078,-- ,2078,--,0.28%
陕西,2478,-- ,2478,--,0.34%
河北,1131,-- ,1131,--,0.15%
吉林,1424,-- ,1424,--,0.19%
福建,2833,-- ,2833,--,0.39%
广西,1381,-- ,1381,--,0.19%
江西,2508,-- ,2508,--,0.34%
湖南,4840,-- ,4840,--,0.66%
河南,3501,-- ,3501,--,0.48%
浙江,6919,-- ,6919,--,0.94%
天津,5735,-- ,5735,--,0.78%
山东,4223,-- ,4223,--,0.57%
黑龙江,2750,-- ,2750,--,0.37%
辽宁,4236,-- ,4236,--,0.58%
四川,8011,-- ,8011,--,1.09%
北京,13022,-- ,13022,--,1.77%
上海,28260,-- ,28260,--,3.84%
广东,26020,-- ,26020,--,3.54%
湖北,15818,-- ,15818,--,2.15%
江苏,98112,-- ,98112,--,13.34%

华泰证券,601688,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他地区,258633,93173,165459,63.97%,11.59%
香港地区,22675,28920,-6245,-27.54%,-0.44%
湖北地区,77712,25374,52339,67.35%,3.67%
北京地区,100804,49996,50808,50.4%,3.56%
上海地区,229185,76688,152496,66.54%,10.69%
广东地区,561934,412214,149720,26.64%,10.49%
江苏地区,1375252,512822,862430,62.71%,60.44%

华泰证券,601688,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
福建,6472,-- ,6472,--,0.44%
湖南,12781,-- ,12781,--,0.87%
天津,12010,-- ,12010,--,0.82%
辽宁,13603,-- ,13603,--,0.93%
安徽,4738,-- ,4738,--,0.32%
吉林,2308,-- ,2308,--,0.16%
江西,6195,-- ,6195,--,0.42%
浙江,13099,-- ,13099,--,0.89%
内蒙古,2044,-- ,2044,--,0.14%
海南,2925,-- ,2925,--,0.2%
河北,2955,-- ,2955,--,0.2%
广西,3913,-- ,3913,--,0.27%
香港地区,28572,-- ,28572,--,1.95%
黑龙江,8134,-- ,8134,--,0.56%
北京,30677,-- ,30677,--,2.09%
总部及子公司,862413,-- ,862413,--,58.89%
河南,7544,-- ,7544,--,0.52%
山东,9151,-- ,9151,--,0.62%
四川,20093,-- ,20093,--,1.37%
广东,67267,-- ,67267,--,4.59%
云南,1328,-- ,1328,--,0.09%
甘肃,609,-- ,609,--,0.04%
宁夏,1972,-- ,1972,--,0.13%
陕西,5218,-- ,5218,--,0.36%
青海,135,-- ,135,--,0.01%
贵州,385,-- ,385,--,0.03%
上海,56735,-- ,56735,--,3.87%
江苏,233228,-- ,233228,--,15.93%
新疆,316,-- ,316,--,0.02%
山西,620,-- ,620,--,0.04%
重庆,2903,-- ,2903,--,0.2%
湖北,44082,-- ,44082,--,3.01%

华泰证券,601688,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
江西,4022,-- ,4022,--,0.33%
浙江,7862,-- ,7862,--,0.65%
黑龙江,5938,-- ,5938,--,0.49%
北京,20183,-- ,20183,--,1.67%
总部及子公司,796234,-- ,796234,--,66.01%
新疆,145,-- ,145,--,0.01%
四川,15392,-- ,15392,--,1.28%
广东,44490,-- ,44490,--,3.69%
宁夏,1468,-- ,1468,--,0.12%
陕西,3360,-- ,3360,--,0.28%
福建,4732,-- ,4732,--,0.39%
湖南,8434,-- ,8434,--,0.7%
香港地区,9932,-- ,9932,--,0.82%
云南,201,-- ,201,--,0.02%
甘肃,366,-- ,366,--,0.03%
湖北,32171,-- ,32171,--,2.67%
山西,272,-- ,272,--,0.02%
重庆,1907,-- ,1907,--,0.16%
安徽,2302,-- ,2302,--,0.19%
吉林,3009,-- ,3009,--,0.25%
贵州,78,-- ,78,--,0.01%
内蒙古,1437,-- ,1437,--,0.12%
海南,1977,-- ,1977,--,0.16%
河北,1830,-- ,1830,--,0.15%
广西,3056,-- ,3056,--,0.25%
河南,5015,-- ,5015,--,0.42%
山东,6444,-- ,6444,--,0.53%
青海,18,-- ,18,--,0%
天津,8277,-- ,8277,--,0.69%
辽宁,8596,-- ,8596,--,0.71%
上海,38241,-- ,38241,--,3.17%
江苏省,168841,-- ,168841,--,14%

华泰证券,601688,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部及子公司,290860,-- ,290860,--,67.33%
香港地区,4178,-- ,4178,--,0.97%
青海,3,-- ,3,--,0%
新疆,57,-- ,57,--,0.01%
云南,289,-- ,289,--,0.07%
贵州,112,-- ,112,--,0.03%
山西,100,-- ,100,--,0.02%
甘肃,131,-- ,131,--,0.03%
内蒙古,469,-- ,469,--,0.11%
重庆,88,-- ,88,--,0.02%
宁夏,485,-- ,485,--,0.11%
海南,616,-- ,616,--,0.14%
安徽,756,-- ,756,--,0.17%
陕西,1125,-- ,1125,--,0.26%
河北,744,-- ,744,--,0.17%
吉林,965,-- ,965,--,0.22%
福建,1676,-- ,1676,--,0.39%
广西,1187,-- ,1187,--,0.27%
江西,1290,-- ,1290,--,0.3%
湖南,2714,-- ,2714,--,0.63%
河南,1733,-- ,1733,--,0.4%
浙江,3019,-- ,3019,--,0.7%
天津,2920,-- ,2920,--,0.68%
山东,2191,-- ,2191,--,0.51%
黑龙江,2098,-- ,2098,--,0.49%
辽宁,2774,-- ,2774,--,0.64%
四川,5859,-- ,5859,--,1.36%
北京,7287,-- ,7287,--,1.69%
上海,14243,-- ,14243,--,3.3%
广东,14848,-- ,14848,--,3.44%
湖北,10196,-- ,10196,--,2.36%
江苏省,56974,-- ,56974,--,13.19%

华泰证券,601688,收入构成,报告日期,2013-12-31,
