华建集团,600629,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-79,-79,0,0%,0%
境外分部,13560,9306,4254,31.37%,5.81%
境内分部,363206,294218,68987,18.99%,94.19%

华建集团,600629,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
海外项目,30624,17271,13353,43.6%,8.23%
外地项目,364478,282848,81630,22.4%,50.3%
其他（补充）,1367,550,817,59.77%,0.5%
上海本地项目,320621,254126,66495,20.74%,40.97%

华建集团,600629,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,327227,259761,67466,20.62%,90.78%
境外,15175,8322,6854,45.16%,9.22%

华建集团,600629,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
外地项目,266199,186446,79753,29.96%,52.6%
上海本地项目,292796,235812,56985,19.46%,37.58%
海外项目,35572,21316,14256,40.08%,9.4%
其他（补充）,1324,688,636,48.05%,0.42%

华建集团,600629,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海本地项目,144606,116681,27925,19.31%,41.98%
海外项目,19336,12987,6349,32.83%,9.54%
其他业务,763,401,361,47.39%,0.54%
外地项目,118046,86157,31889,27.01%,47.94%

华建集团,600629,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海本地,270031,221333,48698,18.03%,36.06%
海外,34730,20592,14138,40.71%,10.47%
外地,223006,151193,71813,32.2%,53.18%
其他（补充）,1208,825,383,31.68%,0.28%

华建集团,600629,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,606,194,411,67.89%,0.77%
海外项目,13596,9328,4268,31.39%,8.01%
外地项目,78393,52751,25642,32.71%,48.14%
上海本地项目,120075,97127,22947,19.11%,43.08%

华建集团,600629,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,694,672,22,3.22%,0.02%
海外,37759,22158,15601,41.32%,12.76%
外地,161856,108590,53266,32.91%,43.57%
上海本地,254771,201408,53363,20.95%,43.65%

华建集团,600629,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-58,-48,-10,17.59%,-0.02%
境外,14653,8232,6421,43.82%,13.25%
境内,160246,118206,42039,26.23%,86.77%

华建集团,600629,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,380,365,15,3.89%,0.01%
海外项目,30600,17178,13422,43.86%,10.94%
外地项目,158045,107631,50413,31.9%,41.11%
上海本地项目,237755,178963,58792,24.73%,47.94%

华建集团,600629,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,20209,-- ,20209,--,96.13%
其他（补充）,814,-- ,814,--,3.87%

华建集团,600629,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海,46902,-- ,46902,--,96.71%
其他（补充）,1596,-- ,1596,--,3.29%

华建集团,600629,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,23102,19287,3815,16.51%,84.73%
其他（补充）,688,-- ,688,--,15.27%

华建集团,600629,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1162,-- ,1162,--,10.29%
上海地区,36922,26791,10131,27.44%,89.71%

华建集团,600629,收入构成,报告日期,2013-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),366,-- ,366,--,6.76%
上海地区,19205,14157,5048,26.28%,93.24%

华建集团,600629,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),587,-- ,587,--,5.05%
上海地区,51889,40846,11043,21.28%,94.95%

华建集团,600629,收入构成,报告日期,2012-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,11769,-- ,11769,--,98.2%
其他(补充),216,-- ,216,--,1.8%

华建集团,600629,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),604,-- ,604,--,1.27%
上海地区,46982,-- ,46982,--,98.73%

华建集团,600629,收入构成,报告日期,2011-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),428,-- ,428,--,100%
上海地区,24388,0,0,100%,0%

华建集团,600629,收入构成,报告日期,2010-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,74933,56863,18070,24.12%,100%

华建集团,600629,收入构成,报告日期,2010-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),15637,-- ,15637,--,81.85%
上海地区,3467,-- ,3467,--,18.15%

华建集团,600629,收入构成,报告日期,2009-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海,15929,-- ,15929,--,100%

华建集团,600629,收入构成,报告日期,2009-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,9783,-- ,9783,--,100%

华建集团,600629,收入构成,报告日期,2008-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,40639,-- ,40639,--,100%

华建集团,600629,收入构成,报告日期,2008-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,19085,-- ,19085,--,100%

华建集团,600629,收入构成,报告日期,2007-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,24896,-- ,24896,--,100%

华建集团,600629,收入构成,报告日期,2007-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,9315,-- ,9315,--,100%

华建集团,600629,收入构成,报告日期,2006-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,3067,-- ,3067,--,100%

华建集团,600629,收入构成,报告日期,2006-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,1660,1391,269,16.21%,100%

华建集团,600629,收入构成,报告日期,2005-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,3491,-- ,3491,--,100%

华建集团,600629,收入构成,报告日期,2005-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,1805,0,0,100%,0%

华建集团,600629,收入构成,报告日期,2004-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
上海地区,3202,0,316,100%,100%

