中储股份,600787,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-7940,-5281,-2659,33.49%,-5.61%
境外,12342,8867,3475,28.16%,7.33%
广东地区,49759,50045,-286,-0.58%,-0.6%
山东地区,30633,29192,1441,4.7%,3.04%
四川地区,12093,10826,1267,10.47%,2.67%
陕西地区,216747,211542,5205,2.4%,10.98%
湖南地区,655,495,160,24.4%,0.34%
湖北地区,9117,8652,466,5.11%,0.98%
辽宁地区,8875,7703,1172,13.21%,2.47%
江苏地区,540484,522891,17593,3.26%,37.12%
河南地区,42895,40657,2238,5.22%,4.72%
上海地区,21460,10590,10870,50.65%,22.93%
河北地区,46104,43396,2709,5.88%,5.72%
天津地区,230518,227571,2947,1.28%,6.22%
北京地区,25554,24755,799,3.13%,1.69%

中储股份,600787,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-- ,-2534,2534,--,3.38%
其他(补充),2612,939,1673,64.06%,2.23%
境外,25806,16935,8872,34.38%,11.83%
广东地区,121563,120098,1465,1.21%,1.95%
山东地区,52695,50553,2142,4.06%,2.86%
四川地区,12996,10839,2157,16.6%,2.88%
陕西地区,145585,140189,5396,3.71%,7.2%
湖南地区,2236,1920,316,14.14%,0.42%
湖北地区,12961,11815,1146,8.84%,1.53%
辽宁地区,20981,19145,1836,8.75%,2.45%
江苏地区,631527,619316,12210,1.93%,16.28%
河南地区,56864,50283,6580,11.57%,8.78%
上海地区,43286,24291,18995,43.88%,25.33%
河北地区,56915,53140,3774,6.63%,5.03%
天津地区,332991,327996,4996,1.5%,6.66%
北京地区,9078,8186,892,9.83%,1.19%

中储股份,600787,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),453,60,393,86.81%,1.03%
减：分部间抵销,-285,-204,-81,28.46%,-0.21%
境外地区,13799,8875,4923,35.68%,12.87%
广东地区,58782,58299,484,0.82%,1.26%
山东地区,24463,23472,991,4.05%,2.59%
四川地区,5219,4220,999,19.14%,2.61%
陕西地区,42195,38924,3271,7.75%,8.55%
湖南地区,673,527,146,21.68%,0.38%
湖北地区,6039,5550,488,8.09%,1.28%
辽宁地区,11568,9757,1812,15.66%,4.73%
江苏地区,242032,232693,9338,3.86%,24.4%
河南地区,18307,16314,1992,10.88%,5.21%
上海地区,20931,12202,8729,41.71%,22.81%
河北地区,23717,21688,2028,8.55%,5.3%
天津地区,164676,161568,3108,1.89%,8.12%
北京地区,8712,9067,-355,-4.08%,-0.93%

中储股份,600787,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,512,327,185,36.18%,0.3%
广东地区,139159,138182,976,0.7%,1.57%
山东地区,76243,73935,2308,3.03%,3.7%
四川地区,8395,6995,1399,16.67%,2.24%
陕西地区,218475,212401,6074,2.78%,9.74%
湖南地区,1919,1388,531,27.67%,0.85%
湖北地区,19298,18087,1211,6.27%,1.94%
辽宁地区,29158,25735,3423,11.74%,5.49%
江苏地区,653184,636936,16248,2.49%,26.06%
河南地区,55295,51348,3947,7.14%,6.33%
上海地区,47895,32345,15551,32.47%,24.94%
河北地区,31920,28943,2977,9.33%,4.78%
天津地区,432072,426370,5702,1.32%,9.15%
