国元证券,000728,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
重庆市,841,-- ,841,--,0.21%
浙江省,2582,-- ,2582,--,0.63%
新疆,49,-- ,49,--,0.01%
天津市,299,-- ,299,--,0.07%
四川省,76,-- ,76,--,0.02%
上海市,4802,-- ,4802,--,1.17%
陕西省,596,-- ,596,--,0.15%
山西省,378,-- ,378,--,0.09%
山东省,3640,-- ,3640,--,0.89%
内蒙古,53,-- ,53,--,0.01%
辽宁省,1096,-- ,1096,--,0.27%
江西省,161,-- ,161,--,0.04%
江苏省,774,-- ,774,--,0.19%
湖南省,210,-- ,210,--,0.05%
湖北省,643,-- ,643,--,0.16%
河南省,611,-- ,611,--,0.15%
河北省,110,-- ,110,--,0.03%
贵州省,93,-- ,93,--,0.02%
广东省,5348,-- ,5348,--,1.3%
公司本部,147512,-- ,147512,--,35.98%
福建省,523,-- ,523,--,0.13%
北京市,2268,-- ,2268,--,0.55%
安徽省,25804,-- ,25804,--,6.29%
境外,13044,-- ,13044,--,3.18%
境内,198469,-- ,198469,--,48.41%

国元证券,000728,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
贵州省,182,-- ,182,--,0.06%
河南省,907,-- ,907,--,0.28%
浙江省,4100,-- ,4100,--,1.28%
辽宁省,1877,-- ,1877,--,0.59%
上海市,8234,-- ,8234,--,2.57%
境外,24065,-- ,24065,--,7.52%
内蒙古,86,-- ,86,--,0.03%
陕西省,941,-- ,941,--,0.29%
四川省,227,-- ,227,--,0.07%
江西省,286,-- ,286,--,0.09%
湖南省,377,-- ,377,--,0.12%
重庆市,1449,-- ,1449,--,0.45%
天津市,525,-- ,525,--,0.16%
广东省,8936,-- ,8936,--,2.79%
安徽省,43618,-- ,43618,--,13.64%
河北省,101,-- ,101,--,0.03%
福建省,884,-- ,884,--,0.28%
江苏省,1168,-- ,1168,--,0.37%
山东省,6033,-- ,6033,--,1.89%
北京市,3353,-- ,3353,--,1.05%
公司本部,210906,-- ,210906,--,65.93%
新疆,58,-- ,58,--,0.02%
山西省,619,-- ,619,--,0.19%
湖北省,949,-- ,949,--,0.3%

国元证券,000728,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
河北省,41,-- ,41,--,0.01%
四川省,75,-- ,75,--,0.02%
江西省,145,-- ,145,--,0.05%
湖南省,208,-- ,208,--,0.07%
广东省,4704,-- ,4704,--,1.53%
安徽省,23107,-- ,23107,--,7.54%
重庆市,740,-- ,740,--,0.24%
天津市,281,-- ,281,--,0.09%
辽宁省,1026,-- ,1026,--,0.33%
上海市,4264,-- ,4264,--,1.39%
湖北省,509,-- ,509,--,0.17%
福建省,479,-- ,479,--,0.16%
江苏省,635,-- ,635,--,0.21%
山东省,3337,-- ,3337,--,1.09%
境内,148017,-- ,148017,--,48.29%
内蒙古,42,-- ,42,--,0.01%
公司本部,103178,-- ,103178,--,33.66%
新疆,31,-- ,31,--,0.01%
山西省,354,-- ,354,--,0.12%
北京市,1726,-- ,1726,--,0.56%
境外,10487,-- ,10487,--,3.42%
陕西省,373,-- ,373,--,0.12%
贵州省,100,-- ,100,--,0.03%
河南省,481,-- ,481,--,0.16%
浙江省,2180,-- ,2180,--,0.71%

国元证券,000728,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
辽宁省,1542,-- ,1542,--,0.61%
上海市,7730,-- ,7730,--,3.05%
内蒙古,23,-- ,23,--,0.01%
北京市,2820,-- ,2820,--,1.11%
境外,16755,-- ,16755,--,6.6%
重庆市,1144,-- ,1144,--,0.45%
天津市,460,-- ,460,--,0.18%
广东省,7223,-- ,7223,--,2.85%
安徽省,34516,-- ,34516,--,13.6%
陕西省,519,-- ,519,--,0.2%
贵州省,189,-- ,189,--,0.07%
河南省,755,-- ,755,--,0.3%
浙江省,3380,-- ,3380,--,1.33%
河北省,2,-- ,2,--,0%
四川省,112,-- ,112,--,0.04%
江西省,211,-- ,211,--,0.08%
湖南省,322,-- ,322,--,0.13%
湖北省,738,-- ,738,--,0.29%
福建省,797,-- ,797,--,0.31%
江苏省,922,-- ,922,--,0.36%
山东省,4479,-- ,4479,--,1.76%
公司本部,168555,-- ,168555,--,66.42%
新疆,18,-- ,18,--,0.01%
山西省,576,-- ,576,--,0.23%

国元证券,000728,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广东省,3989,-- ,3989,--,3.59%
北京市,1491,-- ,1491,--,1.34%
河北省,-2,-- ,-2,--,-0%
四川省,55,-- ,55,--,0.05%
江西省,109,-- ,109,--,0.1%
山西省,284,-- ,284,--,0.26%
