陕西黑猫,601015,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,932674,851447,81227,8.71%,93.85%
其他（补充）,6101,782,5320,87.19%,6.15%

陕西黑猫,601015,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内,1047230,907597,139634,13.33%,100%

陕西黑猫,601015,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),20894,12639,8256,39.51%,7.54%
境内,937453,836217,101236,10.8%,92.46%

陕西黑猫,601015,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),12277,6484,5793,47.19%,6.73%
境内,543566,463247,80318,14.78%,93.27%

陕西黑猫,601015,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),5463,-- ,5463,--,2.32%
其他地区,148,-- ,148,--,0.06%
广西,1689,-- ,1689,--,0.72%
四川,402,-- ,402,--,0.17%
湖北,178,-- ,178,--,0.08%
河北,16663,-- ,16663,--,7.07%
山西,10231,-- ,10231,--,4.34%
江苏,11587,-- ,11587,--,4.92%
江西,6305,-- ,6305,--,2.68%
河南,6380,-- ,6380,--,2.71%
安徽,12600,-- ,12600,--,5.35%
湖南,28283,-- ,28283,--,12.01%
山东,68785,-- ,68785,--,29.2%
陕西,66838,-- ,66838,--,28.37%

陕西黑猫,601015,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,10892,4808,6084,55.86%,42.76%
境内,510987,502842,8144,1.59%,57.24%

陕西黑猫,601015,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北,1537,-- ,1537,--,0.57%
其他地区,503,-- ,503,--,0.19%
山西,14468,-- ,14468,--,5.35%
河南,6207,-- ,6207,--,2.3%
山东,59718,-- ,59718,--,22.1%
湖南,25870,-- ,25870,--,9.57%
江苏,5153,-- ,5153,--,1.91%
安徽,12078,-- ,12078,--,4.47%
陕西,127765,-- ,127765,--,47.28%
其他（补充),6384,-- ,6384,--,2.36%
河北,2155,-- ,2155,--,0.8%
江西,8368,-- ,8368,--,3.1%

陕西黑猫,601015,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,8535,-- ,8535,--,1.26%
境内,669301,-- ,669301,--,98.74%

