长电科技,600584,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内销售,495188,349108,146080,29.5%,55.52%
其他（补充）,8046,4858,3188,39.63%,1.21%
境外销售,1849394,1735546,113848,6.16%,43.27%

长电科技,600584,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,11084,4367,6717,60.6%,2.46%
境内销售,483949,336299,147650,30.51%,54.17%
境外销售,1890615,1772409,118206,6.25%,43.37%

长电科技,600584,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内销售,426012,277415,148597,34.88%,53.17%
其他（补充）,9870,7744,2126,21.54%,0.76%
境外销售,1949669,1820941,128727,6.6%,46.06%

长电科技,600584,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,13230,9714,3516,26.57%,1.55%
境外,1573915,1414372,159544,10.14%,70.54%
境内,328308,265207,63101,19.22%,27.9%

长电科技,600584,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,4240,-- ,4240,--,0.56%
境外销售,625888,-- ,625888,--,83.32%
境内销售,121017,-- ,121017,--,16.11%

长电科技,600584,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,6501,3120,3381,52.01%,1.75%
境外销售,819945,684844,135102,16.48%,70.09%
境内销售,254256,199998,54258,21.34%,28.15%

长电科技,600584,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内销售,107650,-- ,107650,--,31.55%
境外销售,230226,-- ,230226,--,67.48%
其他（补充）,3324,-- ,3324,--,0.97%

长电科技,600584,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外销售,415418,-- ,415418,--,64.62%
其他（补充）,3519,-- ,3519,--,0.55%
境内销售,223891,-- ,223891,--,34.83%

长电科技,600584,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,996,-- ,996,--,1.62%
境外销售,182506,146760,35746,19.59%,58.26%
境内销售,110980,86370,24610,22.17%,40.11%

长电科技,600584,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),2130,-- ,2130,--,2.08%
境外销售,293889,240595,53295,18.13%,52%
境内销售,214187,167120,47067,21.97%,45.92%

长电科技,600584,收入构成,报告日期,2013-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1016,-- ,1016,--,2%
境外销售,147947,79754,68193,46.09%,134.51%
境内销售,99764,118274,-18510,-18.55%,-36.51%

长电科技,600584,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1563,-- ,1563,--,2.44%
境外销售,270895,238215,32680,12.06%,51.09%
境内销售,171158,141438,29721,17.36%,46.47%

长电科技,600584,收入构成,报告日期,2012-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境内销售,82180,69309,12871,15.66%,39.08%
境外销售,121714,102652,19062,15.66%,57.88%
其他(补充),1004,-- ,1004,--,3.05%

长电科技,600584,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),4420,-- ,4420,--,6.26%
境外,214762,180908,33854,15.76%,47.95%
境内,157061,124734,32327,20.58%,45.79%

长电科技,600584,收入构成,报告日期,2011-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外销售,111184,89813,21370,19.22%,53.41%
境内销售,84808,66167,18641,21.98%,46.59%

长电科技,600584,收入构成,报告日期,2010-12-31,
