顺灏股份,002565,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),10254,7953,2302,22.45%,7.5%
西南地区,13616,9082,4534,33.3%,14.77%
华东地区,23571,18862,4709,19.98%,15.34%
西北地区,1048,-- ,1048,--,3.41%
华中地区,5995,-- ,5995,--,19.53%
华南地区,6137,-- ,6137,--,19.99%
华北地区,3115,-- ,3115,--,10.15%
海外地区,7887,5040,2847,36.1%,9.27%
东北地区,8,-- ,8,--,0.03%

顺灏股份,002565,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华东地区,63235,-- ,63235,--,36.46%
海外地区,21044,-- ,21044,--,12.13%
西北地区,1117,-- ,1117,--,0.64%
华北地区,5901,-- ,5901,--,3.4%
华南地区,27587,-- ,27587,--,15.91%
其他（补充）,10027,-- ,10027,--,5.78%
东北地区,337,-- ,337,--,0.19%
西南地区,26566,-- ,26566,--,15.32%
华中地区,17623,-- ,17623,--,10.16%

顺灏股份,002565,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华北地区,3081,-- ,3081,--,10.73%
其他（补充）,16325,16847,-522,-3.2%,-1.82%
华南地区,14870,10991,3879,26.08%,13.51%
东北地区,135,-- ,135,--,0.47%
华中地区,8913,-- ,8913,--,31.05%
西北地区,357,-- ,357,--,1.24%
海外地区,9857,6801,3057,31.01%,10.65%
西南地区,12274,8040,4234,34.5%,14.75%
华东地区,23633,18058,5576,23.59%,19.42%

顺灏股份,002565,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),16123,35929,-19806,-122.84%,-37.65%
东北地区,797,-- ,797,--,1.51%
西南地区,30317,18917,11400,37.6%,21.67%
华中地区,18036,-- ,18036,--,34.28%
华东地区,65708,49666,16042,24.41%,30.49%
海外地区,30408,22748,7660,25.19%,14.56%
西北地区,2755,-- ,2755,--,5.24%
华北地区,6758,-- ,6758,--,12.85%
华南地区,34585,25615,8970,25.94%,17.05%

顺灏股份,002565,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
西南地区,11288,-- ,11288,--,12.21%
华南地区,20556,-- ,20556,--,22.23%
海外地区,12456,-- ,12456,--,13.47%
东北地区,596,-- ,596,--,0.64%
华中地区,5263,-- ,5263,--,5.69%
华北地区,3280,-- ,3280,--,3.55%
华东地区,21420,-- ,21420,--,23.17%
西北地区,750,-- ,750,--,0.81%
其他（补充）,16847,-- ,16847,--,18.22%

顺灏股份,002565,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华中地区,16652,-- ,16652,--,22.14%
华北地区,8655,-- ,8655,--,11.51%
其他(补充),15945,12405,3540,22.2%,4.71%
海外地区,21394,15417,5976,27.94%,7.95%
西北地区,2608,-- ,2608,--,3.47%
华东地区,48666,34592,14074,28.92%,18.71%
华南地区,51476,39639,11837,23%,15.74%
东北地区,1136,-- ,1136,--,1.51%
西南地区,28328,17601,10727,37.87%,14.26%

顺灏股份,002565,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
西南地区,10751,-- ,10751,--,12.81%
华北地区,4266,-- ,4266,--,5.08%
海外地区,8661,-- ,8661,--,10.32%
西北地区,578,-- ,578,--,0.69%
华东地区,21575,-- ,21575,--,25.71%
东北地区,467,-- ,467,--,0.56%
其他（补充）,12829,-- ,12829,--,15.29%
华南地区,19135,-- ,19135,--,22.81%
华中地区,5644,-- ,5644,--,6.73%

顺灏股份,002565,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,18532,15373,3159,17.05%,3.7%
海外地区,17791,-- ,17791,--,20.84%
东北地区,1177,-- ,1177,--,1.38%
华北地区,5533,-- ,5533,--,6.48%
西北地区,945,-- ,945,--,1.11%
西南地区,42653,27075,15578,36.52%,18.25%
华南地区,41913,33558,8355,19.93%,9.79%
华东地区,43457,25869,17588,40.47%,20.6%
华中地区,15247,-- ,15247,--,17.86%

顺灏股份,002565,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),4530,3652,878,19.39%,3.82%
海外地区,7912,6084,1828,23.1%,7.95%
西南地区,19900,12316,7585,38.11%,32.98%
西北地区,431,344,88,20.29%,0.38%
华中地区,2359,1760,599,25.38%,2.6%
华南地区,16984,12377,4607,27.13%,20.04%
华东地区,19276,12861,6415,33.28%,27.9%
华北地区,2556,1616,940,36.77%,4.09%
东北地区,182,127,55,30.4%,0.24%

顺灏股份,002565,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),-- ,11386,-11386,--,-22.09%
海外地区,18158,13803,4355,23.98%,8.45%
东北地区,801,527,274,34.19%,0.53%
华北地区,6793,5147,1646,24.23%,3.19%
西北地区,135,93,41,30.79%,0.08%
西南地区,36614,23495,13119,35.83%,25.46%
华南地区,46815,35360,11455,24.47%,22.23%
华东地区,62453,32598,29855,47.8%,57.93%
华中地区,13808,11632,2176,15.76%,4.22%

顺灏股份,002565,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
东北地区,435,304,131,30.15%,0.62%
西南地区,15095,9579,5517,36.55%,26.12%
华中地区,5182,4715,466,9%,2.21%
其他（补充）,6492,5089,1403,21.61%,6.64%
华北地区,2660,1943,717,26.96%,3.4%
华南地区,20376,15246,5130,25.18%,24.29%
华东地区,17813,11745,6068,34.07%,28.73%
海外地区,7912,6232,1680,21.23%,7.95%
西北地区,36,30,7,18.05%,0.03%

顺灏股份,002565,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,18714,13886,4828,25.8%,8.94%
华北地区,4470,3404,1067,23.86%,1.97%
华南地区,44555,33621,10933,24.54%,20.24%
海外地区,19527,15094,4434,22.7%,8.21%
西北地区,1473,1164,309,20.96%,0.57%
华中地区,11832,9190,2642,22.33%,4.89%
华东地区,55953,39060,16893,30.19%,31.27%
东北地区,1492,909,583,39.08%,1.08%
西南地区,36509,24174,12336,33.79%,22.83%

顺灏股份,002565,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,10571,-- ,10571,--,27.89%
海外地区,8448,6798,1651,19.54%,4.35%
西南地区,18311,12031,6280,34.3%,16.57%
西北地区,1254,970,283,22.59%,0.75%
华中地区,4794,3382,1412,29.46%,3.73%
华南地区,20942,15364,5578,26.64%,14.72%
华东地区,46585,34986,11598,24.9%,30.6%
华北地区,1464,1225,239,16.34%,0.63%
东北地区,858,568,289,33.74%,0.76%

顺灏股份,002565,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),20527,-- ,20527,--,30.52%
海外地区,13113,9925,3187,24.31%,4.74%
西南地区,31726,23390,8336,26.28%,12.4%
西北地区,4096,2748,1348,32.91%,2%
华中地区,13902,10269,3633,26.13%,5.4%
华南地区,21710,15181,6529,30.07%,9.71%
华东地区,72958,51253,21705,29.75%,32.27%
华北地区,7365,5642,1723,23.39%,2.56%
东北地区,799,533,267,33.36%,0.4%

顺灏股份,002565,收入构成,报告日期,2013-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),8940,-- ,8940,--,30.89%
海外地区,5005,3599,1406,28.09%,4.86%
东北地区,292,201,91,31.09%,0.31%
华北地区,3553,2707,847,23.83%,2.92%
西北地区,2352,1506,847,36%,2.93%
西南地区,16797,12356,4441,26.44%,15.34%
华南地区,12181,8575,3606,29.6%,12.46%
华东地区,22685,16006,6679,29.44%,23.08%
华中地区,7027,4938,2089,29.73%,7.22%

顺灏股份,002565,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),12958,-- ,12958,--,28.23%
海外地区,5476,3402,2074,37.88%,4.52%
西南地区,15088,10593,4496,29.8%,9.79%
