海通证券,600837,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,442695,343326,99369,22.45%,6.78%
境内,1336071,653151,682919,51.11%,46.61%
其中:浙江,23217,6224,16993,73.19%,1.16%
其中:上海,34635,12893,21742,62.78%,1.48%
其中:山东,11979,4376,7602,63.47%,0.52%
其中:其他地区分支机构,88720,36549,52172,58.8%,3.56%
其中:江苏,15924,6608,9317,58.51%,0.64%
其中:黑龙江,20196,7326,12870,63.72%,0.88%
其中:公司总部及境内子公司,1141399,579176,562223,49.26%,38.37%

海通证券,600837,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,899285,571262,328023,36.48%,13.98%
其中:其他地区分支机构,147499,91386,56113,38.04%,2.39%
其中:黑龙江,33310,19210,14101,42.33%,0.6%
境内,2543579,1534003,1009576,39.69%,43.01%
其中:山东,19824,11565,8259,41.66%,0.35%
其中:浙江,37734,16818,20916,55.43%,0.89%
其中:公司总部及境内子公司,2219664,1344618,875046,39.42%,37.28%
其中:江苏,27277,16569,10708,39.26%,0.46%
其中:上海,58270,33838,24432,41.93%,1.04%

海通证券,600837,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司总部及境内子公司,1141994,668667,473327,41.45%,61.87%
江苏,14698,7205,7492,50.98%,0.98%
上海,31083,14530,16553,53.25%,2.16%
海外业务,455889,260134,195755,42.94%,25.59%
山东,10812,4791,6021,55.69%,0.79%
浙江,20124,6227,13897,69.06%,1.82%
黑龙江,18603,8541,10062,54.09%,1.32%
其他地区分支机构,80275,38397,41878,52.17%,5.47%

海通证券,600837,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司总部及境内子公司,1452344,1033988,418356,28.81%,58.84%
江苏,22496,15377,7119,31.65%,1%
上海,48403,31008,17395,35.94%,2.45%
其他地区分支机构,120188,86865,33323,27.73%,4.69%
黑龙江,27755,19184,8570,30.88%,1.21%
境外业务,659298,452807,206491,31.32%,29.04%
山东,16287,10525,5763,35.38%,0.81%
浙江,29731,15766,13965,46.97%,1.96%

海通证券,600837,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
山东,9020,4232,4789,53.09%,1.18%
公司总部及境内子公司,741179,466383,274796,37.08%,67.6%
上海,26707,12883,13824,51.76%,3.4%
海外业务,206739,147919,58821,28.45%,14.47%
黑龙江,15755,8536,7219,45.82%,1.78%
浙江,16540,5637,10903,65.92%,2.68%
江苏,12223,6374,5849,47.85%,1.44%
其他地区分支机构,66061,35768,30294,45.86%,7.45%

海通证券,600837,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
山东,22178,12425,9753,43.98%,0.79%
浙江,40978,19005,21972,53.62%,1.79%
境外业务,487284,366321,120963,24.82%,9.84%
江苏,29220,17937,11284,38.62%,0.92%
抵销,-170404,-12515,-157888,92.66%,-12.85%
其他地区分支机构,159596,97751,61845,38.75%,5.03%
黑龙江,39332,22242,17090,43.45%,1.39%
上海,62840,36000,26840,42.71%,2.18%
公司总部及境内子公司,2151142,1034293,1116850,51.92%,90.9%

海通证券,600837,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
抵销,-125478,-354,-125125,99.72%,-10.56%
海外业务,188559,173938,14620,7.75%,1.23%
境内,1218315,570412,647903,53.18%,54.66%
其中：公司总部及境内子公司,1048124,488274,559850,53.41%,47.23%
其中：其他地区分支机构,76362,40231,36131,47.32%,3.05%
其中：山东,10843,4728,6116,56.4%,0.52%
其中：江苏,13854,6791,7064,50.98%,0.6%
其中：黑龙江,19415,9231,10184,52.45%,0.86%
其中：浙江,19761,6169,13592,68.78%,1.15%
其中：上海,29956,14989,14967,49.96%,1.26%

海通证券,600837,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
浙江,59343,24094,35249,59.4%,3.31%
上海,87711,40485,47226,53.84%,4.43%
抵消,-28297,-2686,-25611,90.51%,-2.41%
境外业务,395323,325522,69800,17.66%,6.55%
公司总部及境内子公司,1931166,1168723,762442,39.48%,71.6%
其他地区分支机构,227485,118180,109306,48.05%,10.26%
山东,30710,14398,16312,53.11%,1.53%
江苏,41720,20870,20850,49.98%,1.96%
黑龙江,56005,26678,29327,52.37%,2.75%

海通证券,600837,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
抵销,-12465,-17,-12448,99.87%,-2.43%
