能科股份,603859,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
西南,5699,3903,1796,31.51%,5.85%
华北,17309,10185,7123,41.16%,23.23%
东北,4430,2283,2147,48.47%,7%
华中,8833,4507,4326,48.98%,14.11%
华东,24461,15714,8747,35.76%,28.52%
西北,3958,2310,1648,41.64%,5.37%
华南,7939,5195,2744,34.56%,8.95%
境外,3953,1815,2139,54.1%,6.97%

能科股份,603859,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,354,172,183,51.53%,0.93%
华东,16963,9221,7742,45.64%,39.31%
华北,10151,4281,5870,57.83%,29.8%
西南,1156,497,659,56.99%,3.35%
华中,2331,1396,935,40.13%,4.75%
西北,1151,503,649,56.33%,3.29%
华南,2192,1419,773,35.25%,3.92%
东北,6496,3610,2886,44.43%,14.65%

能科股份,603859,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
东北,1871,887,984,52.59%,8.24%
华东,6971,3892,3080,44.17%,25.79%
华南,609,230,379,62.19%,3.17%
华北,8375,3769,4605,54.99%,38.57%
西南,1427,517,910,63.76%,7.62%
华中,2136,1000,1136,53.18%,9.51%
西北,943,541,402,42.66%,3.37%
国外,571,127,444,77.71%,3.72%

能科股份,603859,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,870,311,559,64.2%,4.9%
华南,7844,4987,2857,36.43%,25.08%
华中,1474,622,853,57.84%,7.48%
东北,665,266,399,59.99%,3.5%
西南,330,35,294,89.35%,2.58%
西北,2669,1006,1663,62.3%,14.6%
华东,3439,1719,1720,50.01%,15.09%
华北,5561,2511,3050,54.85%,26.76%

能科股份,603859,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,733,-- ,733,--,8.89%
华南,283,-- ,283,--,3.43%
华中,1030,-- ,1030,--,12.48%
东北,218,-- ,218,--,2.64%
西南,266,-- ,266,--,3.22%
西北,1747,-- ,1747,--,21.17%
华东,1264,-- ,1264,--,15.32%
华北,2712,-- ,2712,--,32.85%

能科股份,603859,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,1358,-- ,1358,--,6.14%
华南,1324,-- ,1324,--,5.99%
华中,356,-- ,356,--,1.61%
东北,984,-- ,984,--,4.45%
西南,9006,-- ,9006,--,40.72%
西北,379,-- ,379,--,1.71%
华东,4512,-- ,4512,--,20.4%
华北,4197,-- ,4197,--,18.98%

能科股份,603859,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,478,-- ,478,--,2.14%
华南,32,-- ,32,--,0.14%
华中,818,-- ,818,--,3.66%
东北,1033,-- ,1033,--,4.62%
西南,425,-- ,425,--,1.9%
西北,6556,-- ,6556,--,29.33%
华东,8010,-- ,8010,--,35.84%
华北,4999,-- ,4999,--,22.37%

能科股份,603859,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
国外,481,-- ,481,--,1.97%
华南,4,-- ,4,--,0.02%
华中,169,-- ,169,--,0.69%
东北,1327,-- ,1327,--,5.44%
西南,2693,-- ,2693,--,11.03%
西北,4388,-- ,4388,--,17.97%
华东,5252,-- ,5252,--,21.51%
华北,10099,-- ,10099,--,41.37%

