矩子科技,300802,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,13359,-- ,13359,--,31.56%
保税区/转口,4622,-- ,4622,--,10.92%
内销,24344,-- ,24344,--,57.52%

