中泰化学,002092,收入构成,报告日期,2020-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其中:西南,385008,366138,18871,4.9%,5.66%
其中:西北,23342,21336,2006,8.59%,0.6%
其中:疆内,395484,333835,61649,15.59%,18.49%
其中:华中,136440,113957,22483,16.48%,6.74%
其中:华南,805469,767740,37729,4.68%,11.32%
其中:华东,2240137,2214504,25633,1.14%,7.69%
其中:华北,106930,104764,2166,2.03%,0.65%
其中:东北,12228,10258,1970,16.11%,0.59%
其中:出口,49241,40057,9185,18.65%,2.76%
国外,49241,40057,9185,18.65%,2.76%
国内,4105039,3962542,142497,3.47%,42.74%

中泰化学,002092,收入构成,报告日期,2019-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华东,4198863,3978610,220252,5.25%,34.37%
出口,155814,132185,23628,15.16%,3.69%
东北,28269,27517,751,2.66%,0.12%
华南,1177639,1070553,107085,9.09%,16.71%
其他(补充),-- ,20221,-20221,--,-3.16%
西南,540476,510965,29510,5.46%,4.61%
华北,476157,463889,12268,2.58%,1.91%
疆内,1337780,1140168,197612,14.77%,30.84%
西北,51525,49649,1876,3.64%,0.29%
华中,345467,277466,68002,19.68%,10.61%

中泰化学,002092,收入构成,报告日期,2019-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
出口,79835,69548,10287,12.89%,2.92%
华东,2117235,1992889,124346,5.87%,35.26%
西北,13750,12849,901,6.55%,0.26%
华中,157827,127222,30605,19.39%,8.68%
东北,17052,16780,272,1.59%,0.08%
华南,526445,470666,55780,10.6%,15.82%
西南,105301,91260,14040,13.33%,3.98%
华北,250802,240710,10092,4.02%,2.86%
疆内,776947,670662,106285,13.68%,30.14%

中泰化学,002092,收入构成,报告日期,2018-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华中,457890,387999,69892,15.26%,8.96%
华东,3497905,3206763,291142,8.32%,37.34%
西北,87882,83392,4490,5.11%,0.58%
疆内,1092571,911345,181226,16.59%,23.24%
出口,171134,146870,24264,14.18%,3.11%
东北,140589,140316,272,0.19%,0.03%
华南,959931,820003,139928,14.58%,17.95%
西南,215063,175326,39738,18.48%,5.1%
华北,399298,370556,28741,7.2%,3.69%

中泰化学,002092,收入构成,报告日期,2018-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华北,97689,88166,9523,9.75%,2.58%
华东,1026341,898657,127684,12.44%,34.63%
西北,23607,22917,689,2.92%,0.19%
华中,194286,150750,43535,22.41%,11.81%
东北,67840,66405,1435,2.12%,0.39%
出口,92024,80010,12014,13.06%,3.26%
疆内,564542,501280,63262,11.21%,17.16%
华南,494672,431835,62838,12.7%,17.04%
其他（补充）,28633,2897,25736,89.88%,6.98%
西南,89103,67121,21982,24.67%,5.96%

中泰化学,002092,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
出口,160565,160565,0,0%,0%
西北,27561,27534,27,0.1%,0.03%
西南,213319,213319,0,0%,0%
东北,12355,12355,0,0%,0%
华中,271145,271077,68,0.03%,0.06%
华北,251489,251450,38,0.02%,0.04%
华南,435303,435303,0,0%,0%
华东,1696472,1695975,497,0.03%,0.46%
疆内,1037694,929667,108028,10.41%,99.42%

中泰化学,002092,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
西南,94756,69445,25311,26.71%,6.51%
疆内,475632,368200,107431,22.59%,27.63%
华中,101890,64446,37445,36.75%,9.63%
华北,118580,94192,24388,20.57%,6.27%
东北,2295,2580,-286,-12.44%,-0.07%
华南,243207,188358,54849,22.55%,14.11%
出口,92830,82076,10754,11.58%,2.77%
华东,526974,402846,124128,23.55%,31.93%
西北,23855,19115,4740,19.87%,1.22%

中泰化学,002092,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,25619,2008,23611,92.16%,3.83%
出口,117956,86536,31420,26.64%,5.1%
西北,19861,2982,16879,84.99%,2.74%
西南,103599,62455,41144,39.71%,6.68%
东北,5,5,0,2.1%,0%
华中,114385,69786,44599,38.99%,7.24%
华北,76851,59478,17373,22.61%,2.82%
华南,354069,234306,119764,33.82%,19.45%
华东,795212,559505,235708,29.64%,38.28%
疆内,728674,643372,85303,11.71%,13.85%

中泰化学,002092,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,57656,51729,5928,10.28%,2.57%
出口,35131,22854,12276,34.94%,5.32%
西北,904,611,293,32.38%,0.13%
西南,52491,32064,20427,38.92%,8.85%
华中,48411,31765,16646,34.38%,7.21%
华北,18604,11894,6710,36.07%,2.91%
华南,147463,101055,46408,31.47%,20.11%
华东,281214,202657,78557,27.93%,34.05%
疆内,322003,278519,43484,13.5%,18.85%

中泰化学,002092,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
出口,79128,57211,21918,27.7%,6.23%
西北,5695,4224,1472,25.84%,0.42%
西南,82933,55968,26965,32.51%,7.66%
东北,61,46,14,23.64%,0%
华中,100387,70983,29404,29.29%,8.35%
华北,38164,28191,9973,26.13%,2.83%
华南,267078,199312,67766,25.37%,19.25%
华东,566178,435504,130674,23.08%,37.12%
疆内,386695,322855,63841,16.51%,18.14%

中泰化学,002092,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
华南,131523,99495,32028,24.35%,20.42%
出口,39783,30970,8813,22.15%,5.62%
东北,51,43,8,16.33%,0.01%
西北,1864,1460,404,21.68%,0.26%
华中,45794,34193,11601,25.33%,7.4%
华东,277969,224015,53954,19.41%,34.4%
西南,43035,31136,11899,27.65%,7.59%
华北,26865,20848,6017,22.4%,3.84%
疆内,49138,29688,19450,39.58%,12.4%
其他(补充),78650,65988,12662,16.1%,8.07%

中泰化学,002092,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
疆内,135801,86418,49383,36.36%,16.18%
西北,3463,2709,754,21.77%,0.25%
华南,203457,145182,58274,28.64%,19.1%
华中,80462,59177,21285,26.45%,6.98%
华东,306002,226672,79329,25.92%,26%
其他（补充）,61372,50113,11259,18.35%,3.69%
西南,69238,51302,17936,25.9%,5.88%
华北,38797,30120,8677,22.36%,2.84%
出口,216814,159148,57665,26.6%,18.9%
东北,2291,1708,583,25.45%,0.19%

中泰化学,002092,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),12147,-- ,12147,--,7.97%
出口,109005,80631,28373,26.03%,18.62%
西北,1500,1139,361,24.08%,0.24%
西南,35829,25967,9863,27.53%,6.47%
东北,2026,1522,504,24.86%,0.33%
华中,41863,30487,11376,27.17%,7.46%
华北,23113,17625,5489,23.75%,3.6%
华南,104074,72896,31177,29.96%,20.46%
华东,136322,100807,35515,26.05%,23.3%
疆内,67434,49831,17603,26.1%,11.55%

中泰化学,002092,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),13857,6392,7465,53.87%,2.8%
出口,137601,118861,18740,13.62%,7.03%
西北,2131,2026,106,4.95%,0.04%
西南,51029,45311,5718,11.21%,2.15%
东北,14501,12649,1852,12.77%,0.69%
华中,111554,106678,4877,4.37%,1.83%
华北,22183,20909,1274,5.74%,0.48%
华南,227969,195153,32815,14.39%,12.32%
华东,317694,278428,39266,12.36%,14.74%
疆内,306067,151743,154324,50.42%,57.92%

中泰化学,002092,收入构成,报告日期,2013-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),4747,-- ,4747,--,3.82%
出口,81505,71402,10103,12.4%,8.13%
西北,1158,1030,129,11.12%,0.1%
西南,19598,17419,2179,11.12%,1.75%
东北,11313,10055,1258,11.12%,1.01%
华中,50577,44953,5623,11.12%,4.53%
华北,8044,7150,894,11.12%,0.72%
华南,94105,83642,10463,11.12%,8.42%
华东,139918,124361,15557,11.12%,12.52%
疆内,164052,90793,73259,44.66%,58.98%

中泰化学,002092,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
