bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,2841,893,null,67673,12551,0.05,77499,1468,1095,414,1775,22215,002667.SZ,92442,14737,indicators,2019
null,54962,118629,null,620974,490572,0.05,255329,-12017,5329,1737,13771,739251,002668.SZ,877507,621846,indicators,2019
null,17435,18878,null,150421,41046,0.56,213486,1124,13996,12855,15735,106607,002669.SZ,255012,41641,indicators,2019
null,193568,242180,null,2848501,2096400,0.05,1157662,42710,9521,-11434,935,135,002670.SZ,3373060,2215149,indicators,2019
null,7606,30473,null,152165,109293,0.02,200448,0,719,-1196,1066,111807,002671.SZ,315130,113056,indicators,2019
null,6775,123500,null,302567,439703,0.48,434463,1338,42393,36142,51809,345859,002672.SZ,1039543,536059,indicators,2019
null,238158,299759,null,null,null,0.17,1765887,148261,61016,59140,75074,368054,002673.SZ,4859850,3086181,indicators,2019
null,-10363,4307,null,221518,63598,0.39,230171,1535,11802,11453,13611,158710,002674.SZ,297543,66931,indicators,2019
null,-7162,69638,null,307822,243161,0.19,429271,1508,15471,19314,39377,299276,002675.SZ,729496,251604,indicators,2019
null,182,1817,null,119511,80286,0.01,104473,15,915,911,1773,168193,002676.SZ,189201,82906,indicators,2019
null,-3438,54339,null,91637,43979,0.71,151925,351,46001,45534,53476,168448,002677.SZ,198680,46756,indicators,2019
null,40647,20403,null,267970,91332,0.14,339566,2894,18976,15576,21612,205346,002678.SZ,447070,104540,indicators,2019
null,-8389,-1030,null,151378,43119,0.02,75164,113,435,-913,362,12855,002679.SZ,167311,92112,indicators,2019
null,-603,71339,null,253405,236880,-1.49,217968,629,-305257,-308480,-306588,353564,002681.SZ,489605,271378,indicators,2019
null,47493,68868,null,521209,491605,0.22,289796,2718,12199,8181,21625,606289,002682.SZ,995813,653016,indicators,2019
null,14621,82018,null,477587,358635,0.43,328488,2737,30678,28443,39446,590241,002683.SZ,773508,401824,indicators,2019
null,4243,54715,null,324107,538232,0.24,10802,867,13623,-44486,-20657,130907,002684.SZ,770952,760289,indicators,2019
null,11383,-6065,null,427875,225492,0.35,494249,14,35698,31961,42737,1368719,002685.SZ,734579,229732,indicators,2019
null,-16472,19350,null,141890,154719,-1.01,100807,110,-44451,-50972,-53088,148122,002686.SZ,308183,179792,indicators,2019
null,789,15499,null,93557,45547,0.41,113130,31,14313,13790,18638,112107,002687.SZ,165428,48694,indicators,2019
null,-8631,28219,null,124072,114535,0.29,167893,null,18494,14583,17602,178236,002688.SZ,334428,153740,indicators,2019
null,-5782,-3782,null,125180,65496,-0.1,130078,-3,-10719,-12447,-10499,80975,002689.SZ,211905,82429,indicators,2019
null,24428,50159,null,235730,34304,0.81,238352,5913,54456,46243,62951,150078,002690.SZ,276897,38545,indicators,2019
null,-2481,-2518,null,65618,15919,0.05,89229,-46,1557,1224,1900,39127,002691.SZ,110453,21224,indicators,2019
null,634,5441,null,216443,41558,0.01,108734,172,848,2456,1088,279300,002692.SZ,274332,167410,indicators,2019
null,-2495,6658,null,22539,9358,0.06,54626,467,2466,-4291,789,34665,002693.SZ,95098,27272,indicators,2019
null,2256,13909,null,103671,149159,0.04,99665,null,1988,-1374,2350,162533,002694.SZ,262525,154093,indicators,2019
null,11161,22481,null,186750,41746,0.43,215119,311,22038,19145,26387,211692,002695.SZ,276489,56923,indicators,2019
null,-13896,34863,null,140457,131819,-0.72,132791,-53998,-28570,2465,-64186,284413,002696.SZ,296519,156251,indicators,2019
null,-35577,27560,null,295862,202899,0.38,305709,18373,51622,49354,56753,782278,002697.SZ,510776,204929,indicators,2019
null,-5520,35239,null,330406,161077,0.3,229035,3486,30711,27915,38320,145974,002698.SZ,404115,166797,indicators,2019
null,50205,-315,null,179751,53654,0.04,314461,-5736,3756,2333,4598,137975,002699.SZ,373255,56203,indicators,2019
null,-52877,-52876,null,81078,20037,0.17,107534,null,7014,6382,8266,51874,002700.SZ,133258,20037,indicators,2019
