bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
14.07,1725700,-4002500,-2.06,null,null,1.54,31298300,971000,2819500,2808600,3628900,13795800,000001.SZ,393907000,362608700,indicators,2019
16.64,-1592951,4568681,null,143898935,127261028,3.47,18805849,498413,3887209,3831439,7661314,36789388,000002.SZ,172992945,145935033,indicators,2019
null,9869,-1587,null,48098,8556,0.04,138978,2978,310,-2673,730,10825,000004.SZ,149449,9003,indicators,2019
null,3026,1228,null,159754,128297,0.17,165031,13345,17469,5083,20027,55261,000005.SZ,303184,128956,indicators,2019
null,-61015,-19426,null,1247594,515392,0.59,673558,9548,80116,77947,110843,373133,000006.SZ,1574532,857509,indicators,2019
null,3714,-3180,null,39157,4178,0.06,20935,-905,2229,31,4079,4202,000007.SZ,53369,32089,indicators,2019
null,17230,532,null,661808,410246,0.16,745780,5193,43438,34151,55000,322014,000008.SZ,1204454,446806,indicators,2019
null,68099,133773,null,1969565,1230856,0.12,553499,12776,30114,-5230,114801,1194873,000009.SZ,3020981,1950222,indicators,2019
null,2046,3017,null,357235,352532,0.06,44596,1987,4647,1035,19776,189307,000010.SZ,429166,353793,indicators,2019
null,-59568,93979,null,945835,520068,1.37,314795,508,81781,69568,98591,396167,000011.SZ,1077249,750592,indicators,2019
null,-39329,237904,null,473335,638379,0.17,949559,null,53643,37439,66372,1047203,000012.SZ,1820124,833538,indicators,2019
null,-5052,3249,null,185246,97644,0.1,89116,null,2109,1151,3022,43814,000014.SZ,197237,101644,indicators,2019
null,105955,-154395,null,2542279,2214583,0.09,806851,118338,21203,-187572,30327,5511913,000016.SZ,4258696,3266026,indicators,2019
null,-1041,-1379,null,5635,5129,-0.01,712,null,-719,-737,-800,7602,000017.SZ,6273,5129,indicators,2019
null,-47668,19005,null,406456,118200,0.32,442075,984,36350,35090,43357,1105998,000019.SZ,677507,215163,indicators,2019
null,868,7446,null,31667,20934,0.02,32943,18,546,484,790,72156,000020.SZ,61416,28474,indicators,2019
null,-39071,-100017,null,1200358,1113798,0.24,692265,-5512,35230,15875,54640,1322382,000021.SZ,1845336,1135125,indicators,2019
null,3498,11996,null,212482,191858,0.37,47389,499,5082,4416,10389,183053,000023.SZ,251940,193450,indicators,2019
null,25782,7891,null,68434,30028,0.51,127097,24057,21967,5374,30334,57107,000025.SZ,164578,30657,indicators,2019
null,15247,44482,null,266050,109776,0.49,265453,179,21591,19968,27288,370421,000026.SZ,376092,110638,indicators,2019
null,-45730,520001,null,1955034,3325806,0.43,3008699,21926,170122,142834,224686,2081700,000027.SZ,9611205,6252719,indicators,2019
null,79056,200035,null,2665245,1673045,2.97,1280641,24619,127129,122677,183555,5204576,000028.SZ,3352061,1816077,indicators,2019
null,35867,60361,null,416671,137228,0.55,366687,3243,55245,52420,73086,254874,000029.SZ,490967,138469,indicators,2019
null,-21612,36616,null,680046,454098,0.5,666030,58201,89100,85428,93930,1006381,000030.SZ,1292060,546692,indicators,2019
null,799885,406499,null,13377951,8483679,0.61,1941098,49663,237845,123067,599914,3378662,000031.SZ,18318257,14064153,indicators,2019
null,-5245,7368,null,180137,66151,0.32,146968,-114,13395,12385,19837,150113,000032.SZ,234226,68400,indicators,2019
null,209665,149963,null,2335550,2251093,1.08,437215,5952,70141,58214,92025,8680338,000034.SZ,2942090,2504604,indicators,2019
null,245805,240020,null,1203147,1324557,0.3,1080288,7770,71300,62915,90962,1858709,000035.SZ,4729691,3559343,indicators,2019
null,82891,149819,null,976153,454824,0.55,494778,1530,81757,78836,121067,316862,000036.SZ,1214200,649590,indicators,2019
null,-14347,20294,null,162361,102162,0.04,200277,-143,2490,1469,2344,122258,000037.SZ,321926,115677,indicators,2019
null,-52148,-57748,null,189193,16323,0.23,275549,3965,12238,3323,9805,183485,000038.SZ,291716,16323,indicators,2019
10.95,-187287,353852,0.99,9002313,7055131,0.37,3925389,32694,154223,124148,583875,8581534,000039.SZ,17210752,11706954,indicators,2019
null,-290709,51886,null,1698452,1204093,-0.64,1342473,10186,-95680,-98148,-79512,680576,000040.SZ,3087407,1734048,indicators,2019
null,-198181,-84259,null,3949393,2455330,1.18,755618,84697,78717,8948,130494,721317,000042.SZ,4514153,3712876,indicators,2019
null,-86493,38315,null,222667,48558,0.04,272776,7804,1968,-4118,495,215818,000045.SZ,453140,67678,indicators,2019
null,28457,557231,null,13720017,10212102,0.21,2147336,450463,109485,49250,245861,302544,000046.SZ,17787227,14476528,indicators,2019
null,24289,101381,null,530363,396396,2.74,213485,14883,110083,98683,152615,491872,000048.SZ,647199,409426,indicators,2019
null,19502,159457,null,718953,535578,2.44,219818,1397,50218,47469,84103,1844269,000049.SZ,877016,590890,indicators,2019
null,-46511,476066,null,1439670,2040869,0.4,2670722,24,82936,24637,100353,3028197,000050.SZ,6545101,3874378,indicators,2019
null,-23092,-528,null,470311,450981,0.31,518280,-191,34777,29145,41814,300575,000055.SZ,1136996,613876,indicators,2019
null,-5004,30099,null,172886,210551,0.04,544906,693,5060,4255,11713,94896,000056.SZ,1245696,690204,indicators,2019
null,-91924,43050,null,421496,207809,0.06,189938,10514,7845,-169,19637,149323,000058.SZ,619060,368001,indicators,2019
null,-161365,272348,null,1331069,904573,0.62,1360904,574,99296,88626,120868,3960834,000059.SZ,2935920,1521307,indicators,2019
null,5868,222132,null,666176,626716,0.24,1093472,21326,85211,66733,103975,2280052,000060.SZ,2032060,895677,indicators,2019
null,42034,92807,null,410037,740294,0.18,519508,30310,31017,7613,62267,285296,000061.SZ,1960059,1273086,indicators,2019
null,29790,69456,null,732350,509500,0.6,517986,11285,63003,61172,89489,1435528,000062.SZ,1135047,563919,indicators,2019
6.82,737169,744655,1.76,10256717,8637052,1.22,3507923,24945,514788,48470,755218,9073658,000063.SZ,14120214,10324784,indicators,2019
null,-126865,-157851,null,1069935,793955,0.92,499560,-1384,70624,71953,85543,1106017,000065.SZ,1474610,929206,indicators,2019
null,59631,10915,null,1402742,961188,0.38,829578,883,111499,49008,134706,1084378,000066.SZ,2167071,1301997,indicators,2019
null,1316,2527,null,115617,155169,0.01,52884,4499,600,-10454,-4172,22509,000068.SZ,378629,282885,indicators,2019
null,1129016,-518777,null,29828320,20047060,1.5,6863691,447680,1234010,1000484,1923074,6002503,000069.SZ,37961997,28462661,indicators,2019
null,-13843,-25498,null,545475,390422,0.41,291384,160,32318,7832,41010,465591,000070.SZ,762376,420181,indicators,2019
null,9949,226862,null,3456958,3182899,0.09,625445,2924,24096,5211,97922,4149270,000078.SZ,4116828,3331937,indicators,2019
null,1847,25952,null,111894,70291,0.19,710057,31760,35943,35839,43663,59336,000088.SZ,1101721,283677,indicators,2019
null,54666,96353,null,318321,186976,0.29,1206260,9888,59372,61956,85529,380656,000089.SZ,1402181,194279,indicators,2019
null,-6192,29242,null,3534933,2290912,0.6,959092,8156,123619,118210,180058,1466529,000090.SZ,4031337,3065284,indicators,2019
null,11175,10440,null,162562,15023,0.24,271333,7524,12487,11457,15027,162309,000096.SZ,294671,21048,indicators,2019
null,18115,76576,null,235673,144693,0.35,327002,375,21146,18200,25594,156725,000099.SZ,586164,247057,indicators,2019
2.23,-806464,1149010,0.85,4815552,4305779,0.2,3011195,344255,261777,23512,397684,7493309,000100.SZ,16484489,10096174,indicators,2019
null,4451,15736,null,235898,401759,-1.79,79761,-719,-157223,-180014,-135872,179224,000150.SZ,595188,503977,indicators,2019
null,-17569,-52616,null,195223,143936,0.03,94807,-11,875,-10640,908,118360,000151.SZ,239255,144447,indicators,2019
null,-969,6621,null,173921,203471,0.26,132432,1016,8092,4232,12411,323806,000153.SZ,355961,223250,indicators,2019
null,31031,76896,null,282737,92050,0.17,352169,3732,21485,17483,35981,205111,000155.SZ,724618,302409,indicators,2019
null,161905,164230,null,959673,328485,0.45,1100268,11542,64554,53501,66882,371066,000156.SZ,1572361,472093,indicators,2019
null,-368107,621935,null,6318212,3458344,0.58,3886323,94581,437146,351430,501392,4330740,000157.SZ,9206803,5253486,indicators,2019
null,-23194,30062,null,825797,701372,0.06,591254,-103,10110,-27256,9915,944662,000158.SZ,1415642,823586,indicators,2019
null,-9182,-9441,null,138871,48824,0.06,219728,8628,3042,-1572,3390,43039,000159.SZ,281708,63277,indicators,2019
null,1028207,1011591,null,null,null,0.24,8320619,570927,573541,561618,695106,2459341,000166.SZ,38853726,30370586,indicators,2019
null,209104,521512,null,1045738,1328951,0.4,1401620,13398,161380,135056,189765,2488777,000301.SZ,3504225,1974224,indicators,2019
null,1248948,3859040,null,21648269,14431848,3.6,10166916,16413,2421122,2272439,2968309,27821602,000333.SZ,30195542,19445932,indicators,2019
null,790565,2383469,null,12618509,10587677,1.15,4522394,69469,910496,832271,1415589,17436089,000338.SZ,23683167,16705695,indicators,2019
null,24544,7603,null,1268799,589604,0.42,813146,5,42632,37073,55092,1015608,000400.SZ,1508963,641280,indicators,2019
null,-408393,821910,null,1740697,2240898,1.85,1535113,34597,270059,261369,630708,3450703,000401.SZ,6073350,3189553,indicators,2019
null,-90214,266029,null,11057380,5014000,1.15,3471016,-2561,344186,286528,575592,2618402,000402.SZ,16198988,12300874,indicators,2019
null,-4372,19084,null,77893,44006,0.59,80022,665,16045,14192,18004,91566,000403.SZ,127164,47004,indicators,2019
null,30583,78245,null,796578,557294,0.04,321364,3912,3063,3541,12049,958921,000404.SZ,1024844,598687,indicators,2019
null,-393,59080,null,207437,301137,0.15,242202,5827,13343,12444,28618,534828,000407.SZ,650931,359732,indicators,2019
null,2175,27700,null,247780,169725,0.18,783388,-2216,35952,34654,47113,206415,000408.SZ,956218,172830,indicators,2019
null,13109,-2394,null,204606,220143,-0.89,52887,-1734,-45411,-45387,-97259,221903,000409.SZ,383455,255750,indicators,2019
null,187139,-3771,null,443086,404577,-3.9,110842,771374,-298827,-494441,-303899,100214,000410.SZ,721213,611597,indicators,2019
null,-1800,22056,null,957637,749625,0.66,151711,-58,15109,12265,46722,2460093,000411.SZ,1076946,779796,indicators,2019
null,-691503,-410332,null,4393328,3185361,-0.2,3102012,14650,-114168,-146269,-76481,1669305,000413.SZ,6962832,3763613,indicators,2019
null,-10296,1987564,null,1660279,2735893,0.3,3775390,52252,184847,107423,377944,3880273,000415.SZ,26553735,21096074,indicators,2019
null,615,-9258,null,68089,2484,0.05,88352,-124,2840,1407,4881,692,000416.SZ,93537,2484,indicators,2019
null,-53404,-39352,null,506429,546373,0.2,396688,-2285,15961,10627,39917,1090855,000417.SZ,1082043,608912,indicators,2019
null,-16889,-7087,null,234012,161956,0.32,291359,3453,17443,16359,24953,345566,000419.SZ,510194,191002,indicators,2019
null,16604,7493,null,216616,468789,0.05,301018,null,9091,9005,9717,269057,000420.SZ,847843,545921,indicators,2019
null,-94243,-90664,null,731720,770183,0.18,260191,3033,10121,10170,25349,359370,000421.SZ,1213015,855403,indicators,2019
null,-46704,225387,null,607759,1412841,0.09,16699,36929,16439,-66679,3043,1466002,000422.SZ,2312515,2198169,indicators,2019
null,-21375,-111999,null,819420,157410,-0.68,997493,6873,-44392,-53679,-51306,295862,000423.SZ,1165367,163061,indicators,2019
null,300279,513559,null,6042184,3690237,0.43,3318841,65332,362057,348446,408315,5917600,000425.SZ,7729166,4364547,indicators,2019
null,16780,44261,null,77855,293655,0.06,536924,29204,10222,-8145,18339,87366,000426.SZ,926939,389452,indicators,2019
null,-12156,39121,null,172960,330794,0.05,258283,28109,5023,-25747,697,111055,000428.SZ,656765,411142,indicators,2019
null,69340,198855,null,298094,182758,0.6,982343,50842,125863,124958,180124,305794,000429.SZ,1767455,742395,indicators,2019
null,1190,15583,null,22295,29676,0.03,160250,315,1106,526,3146,42526,000430.SZ,266803,106474,indicators,2019
null,50877,1223271,null,4495243,5269877,0.33,2516974,17400,165657,70233,158367,3039543,000488.SZ,9795891,7161914,indicators,2019
null,10283,4783,null,2183575,1848970,0.55,551165,3466,61978,50969,106763,2326048,000498.SZ,3206123,2380951,indicators,2019
null,-110730,141794,null,667950,1294894,1.6,950988,1416,122500,116053,155109,1775609,000501.SZ,2359514,1408526,indicators,2019
null,-16185,-1166,null,14063,3702,-0.05,19744,-94,-903,-1519,-1604,1632,000502.SZ,24687,3702,indicators,2019
null,4305,6604,null,90700,7773,0.02,122320,4630,1743,-17266,1610,12991,000503.SZ,130521,7773,indicators,2019
null,1038,1452,null,14359,14960,0.06,1841,4100,1881,-2826,1659,13416,000504.SZ,26833,15387,indicators,2019
null,-31277,29737,null,301866,211013,0.19,240604,2010,13334,10448,25064,744029,000505.SZ,523127,224017,indicators,2019
null,5347,14590,null,101354,107290,-0.02,104784,337,-1820,-17737,-7174,51539,000506.SZ,262188,152795,indicators,2019
null,21770,30540,null,231896,216672,0.25,518699,15730,22197,21161,28892,332182,000507.SZ,925091,359601,indicators,2019
null,-453,-636,null,8975,25294,-0.16,-9794,61,-12950,-6205,-4940,7012,000509.SZ,15687,25388,indicators,2019
null,3839,6858,null,46290,52557,0.1,99134,-544,6201,5028,7054,231907,000510.SZ,161050,56028,indicators,2019
11.95,29047,176716,null,1287320,529366,1.39,1116675,-1960,130288,119154,172985,938470,000513.SZ,1797646,570123,indicators,2019
null,102105,16230,null,522026,195813,0.31,325731,600,26363,20769,34348,86568,000514.SZ,650164,276662,indicators,2019
null,-34389,-3432,null,162049,186591,-0.21,495558,4794,-40393,-46877,-37901,99095,000516.SZ,1003109,503498,indicators,2019
null,520344,46779,null,3731620,2852829,0.59,670493,24589,188886,179345,213801,666258,000517.SZ,4001267,3326377,indicators,2019
null,1365,5863,null,75585,25377,0.01,61353,-2,1433,997,2807,41788,000518.SZ,91583,25551,indicators,2019
null,72285,91206,null,732228,246328,0.18,818810,1451,25522,24663,33005,532163,000519.SZ,1101123,282312,indicators,2019
null,-196,5222,null,26442,18607,0.03,40894,910,3214,2400,3402,79243,000520.SZ,62252,21358,indicators,2019
null,90116,128500,null,1040749,831986,0.05,500495,-3270,5644,-5045,6871,1655325,000521.SZ,1420223,909026,indicators,2019
null,14835,-55682,null,791394,665630,0.1,190862,2003,6136,1116,7162,1239751,000523.SZ,889266,698836,indicators,2019
null,79709,31433,null,317906,190385,0.39,266971,3099,25920,16844,38321,797210,000524.SZ,476883,202884,indicators,2019
null,-18486,62210,null,734259,769589,0.05,457594,-29,2684,-2203,6093,476771,000525.SZ,1374273,907847,indicators,2019
null,-25553,24871,null,145702,349222,0.14,9917,1952,1387,-47,4778,299194,000526.SZ,359629,350525,indicators,2019
null,139187,185756,null,2101974,1427768,0.69,1035078,6762,101725,90976,130970,1917730,000528.SZ,2986137,1903084,indicators,2019
null,25854,14904,null,192483,56348,0.42,170171,526,24613,24366,34617,301928,000529.SZ,256745,77476,indicators,2019
null,-318,1270,null,221760,174560,0.11,337957,16877,8911,2141,6430,183185,000530.SZ,552550,207138,indicators,2019
null,69247,75741,null,447777,643496,0.6,408330,16394,41089,36042,52544,322859,000531.SZ,1162818,700952,indicators,2019
null,-6816,15032,null,57981,114166,0.21,84892,5980,7082,6587,11551,43259,000532.SZ,252945,151515,indicators,2019
null,4245,14058,null,180428,124576,0,61196,19,292,-3076,-2989,137371,000533.SZ,236930,149437,indicators,2019
null,-13419,15533,null,74461,60900,0.14,94786,3074,7068,244,7325,54874,000534.SZ,206208,111437,indicators,2019
null,-227428,-52756,null,380887,781020,-0.94,487703,13617,-258714,-310284,-259431,147412,000536.SZ,1462368,967983,indicators,2019
null,26313,-178813,null,6135049,4476234,1.69,1361031,-602,314212,310773,411227,2298677,000537.SZ,6991486,5630455,indicators,2019
null,673708,210474,null,4470137,961458,3.28,3793810,147047,418373,228924,474298,2966467,000538.SZ,4965805,1155814,indicators,2019
null,-49074,827268,null,1130897,1968522,0.22,2617824,12554,114677,106940,254401,2936016,000539.SZ,7547203,4128234,indicators,2019
null,11927,1060041,null,7323417,4260159,0.16,1769982,2380,110833,97954,143118,1257779,000540.SZ,11983361,9907772,indicators,2019
null,25455,50808,null,356824,113057,0.22,488074,6088,30118,28375,35456,333758,000541.SZ,617520,126779,indicators,2019
null,-30278,266741,null,366877,783686,0.39,1348489,51967,77388,75040,126463,1609224,000543.SZ,3289929,1465992,indicators,2019
null,15951,77052,null,317220,164061,0.48,599387,745,46458,47277,52963,173972,000544.SZ,1088360,444802,indicators,2019
null,-6774,-210,null,124205,93410,0.03,207858,-3375,2707,1518,3975,188488,000545.SZ,309198,101340,indicators,2019
null,-4606,64177,null,370291,357015,0.7,415690,2186,50326,42828,56400,817120,000546.SZ,915086,425003,indicators,2019
null,-68866,3880,null,572645,261854,0.42,782166,10551,67527,59651,79450,403926,000547.SZ,1086099,267170,indicators,2019
null,-12385,-6890,null,122190,60358,0.11,170705,-205,5536,5451,7231,28780,000548.SZ,227840,60511,indicators,2019
null,132106,273687,null,1507443,1342428,0.17,1049656,3912,14781,-30825,-11059,2917364,000550.SZ,2429853,1380196,indicators,2019
null,7659,28262,null,294806,210536,0.28,179212,1709,11290,9857,21663,323726,000551.SZ,463870,224362,indicators,2019
null,-11436,46306,null,496573,229308,0.23,760694,784,52474,50768,61437,405615,000552.SZ,1089131,310801,indicators,2019
null,-202629,84349,null,2514223,1194499,0.11,2237167,-23121,27704,61006,52970,2756324,000553.SZ,4528894,2291728,indicators,2019
null,-5139,8826,null,27259,34523,0.01,90637,-74,593,1141,2275,292459,000554.SZ,131844,40882,indicators,2019
null,-13351,28997,null,777748,535146,0.39,521935,9451,37561,32609,46753,1014601,000555.SZ,1075550,543318,indicators,2019
null,34814,17306,null,116541,26936,0.03,497469,null,4479,15018,18501,79991,000557.SZ,528223,30754,indicators,2019
null,2724,-8819,null,91925,61110,0.02,129270,13577,2603,-12589,3385,13785,000558.SZ,242003,113465,indicators,2019
null,33643,127646,null,709735,504323,0.19,520053,9763,53603,38401,58496,1058111,000559.SZ,1202818,658001,indicators,2019
null,11708,118489,null,914684,748589,0.36,1017799,4252,82745,73506,116312,1121145,000560.SZ,1949162,914229,indicators,2019
null,29352,23831,null,254030,135287,0.15,148974,362,9094,5464,6062,134478,000561.SZ,322797,160425,indicators,2019
null,-36547,-140196,null,null,null,0.15,1097736,41164,58153,58132,76236,175565,000563.SZ,1466674,368937,indicators,2019
null,-868840,44238,null,2922584,1768791,-0.2,2989044,69243,-122022,-164034,-93313,576018,000564.SZ,5245421,2196159,indicators,2019
null,743,1288,null,71056,25325,0.15,113369,6584,6491,2623,7452,47303,000565.SZ,153880,40511,indicators,2019
null,-108370,-19576,null,598223,462443,-0.12,445846,47209,-15913,-62736,-12313,244529,000566.SZ,1077693,614630,indicators,2019
null,4846,-70677,null,508533,105450,0.17,423026,-1453,11034,10940,12495,30728,000567.SZ,602087,179060,indicators,2019
null,38628,484162,null,1631374,678708,3.17,1940685,15471,464199,460092,611929,1581693,000568.SZ,2891997,936524,indicators,2019
null,-14249,-2054,null,217603,124015,0.04,210924,795,2493,1438,2643,204013,000570.SZ,348498,135610,indicators,2019
null,-4434,29227,null,121050,169055,-0.75,71038,-15363,-61321,-49784,-46971,143920,000571.SZ,345272,220775,indicators,2019
null,82811,-5826,null,318376,482767,0.05,492071,67382,8520,-73058,8759,469097,000572.SZ,1072894,500707,indicators,2019
null,-25513,-29278,null,193490,71012,0.1,172585,8746,6514,7373,9321,91262,000573.SZ,293277,120235,indicators,2019
null,-6453,-330,null,54202,24856,0.22,112341,5343,9818,5041,12632,49455,000576.SZ,158564,43978,indicators,2019
null,-158418,104867,null,1329823,599251,2.25,1699041,161454,226803,194741,245426,878436,000581.SZ,2395835,647369,indicators,2019
null,-124373,155246,null,269059,432479,0.6,947486,-494,98423,96899,124127,479234,000582.SZ,1814929,743295,indicators,2019
null,-32347,-16247,null,240027,215980,0.07,173118,867,4093,976,604,173670,000584.SZ,453408,266823,indicators,2019
null,-1020,334,null,18386,41494,-0.05,-5659,null,-4017,-4116,-4025,10234,000585.SZ,47704,52815,indicators,2019
null,2261,-1484,null,53975,33709,0.04,24457,104,838,137,572,43427,000586.SZ,62519,35678,indicators,2019
null,-3009,-167179,null,1334603,1783561,-2.91,36644,901,-618730,-618608,-631539,423389,000587.SZ,2238755,2218370,indicators,2019
null,52022,175189,null,558138,672515,0.17,371159,234,13544,14850,18039,645834,000589.SZ,1052103,679744,indicators,2019
null,-302,2921,null,49149,15392,0.18,62216,72,4244,2230,5210,31503,000590.SZ,84674,22458,indicators,2019
null,-841,182353,null,876411,705526,0.3,1333012,526,91084,94522,104915,501109,000591.SZ,3744986,2398318,indicators,2019
null,-14798,35301,null,342537,66317,0.01,321063,4192,2463,-1027,1449,96640,000592.SZ,425102,67415,indicators,2019
null,7005,5419,null,54492,89654,0.12,96150,717,4130,4225,6571,103796,000593.SZ,198649,100022,indicators,2019
null,2931,1069,null,68127,91768,-0.41,31539,null,-31522,-30126,-30458,31123,000595.SZ,152455,114306,indicators,2019
null,210919,19245,null,1052647,424749,4.17,894411,12643,209753,189110,282345,1041696,000596.SZ,1387130,443914,indicators,2019
null,1619,35260,null,587936,789925,0.19,381080,null,17398,12052,20996,822010,000597.SZ,1253983,862200,indicators,2019
null,65629,188144,null,522688,617016,0.36,1124656,null,108130,106060,130323,483802,000598.SZ,2533750,1334261,indicators,2019
null,23038,-23108,null,431675,456196,-0.33,338966,5426,-27237,-48292,-31768,412379,000599.SZ,988115,624775,indicators,2019
null,9210,248417,null,592196,907295,0.36,1146393,11816,63956,62842,112943,1396372,000600.SZ,3235823,1847448,indicators,2019
null,-19445,74252,null,202961,251629,0.37,475524,1,40112,35650,52884,430625,000601.SZ,1120772,609608,indicators,2019
null,-5252,59769,null,110483,98075,0.65,225076,1023,44844,37622,70540,290069,000603.SZ,434790,168508,indicators,2019
null,-4539,49825,null,302800,348327,0.1,200373,-336,3695,3177,8286,189855,000605.SZ,845421,566378,indicators,2019
null,-719,16272,null,76426,104188,-1.33,166010,1055,-101618,-88321,-82770,202504,000606.SZ,278386,109426,indicators,2019
null,2926,21925,null,158816,137294,0.02,166082,4439,1890,-4368,5482,182206,000607.SZ,356270,157997,indicators,2019
null,-12523,16455,null,96257,89064,-0.11,288959,6015,-8176,-9669,-3753,24277,000608.SZ,578222,226789,indicators,2019
null,16513,-8915,null,362899,177458,0.1,154481,1194,2921,2818,5102,54791,000609.SZ,420221,266126,indicators,2019
null,-12350,-4121,null,63981,37483,-0.13,85392,1683,-3020,-4670,-4041,86392,000610.SZ,123947,38322,indicators,2019
null,-658,636,null,4584,93750,0.04,40256,2042,1245,-3232,-1358,4655,000611.SZ,170541,107010,indicators,2019
null,4623,72717,null,123741,215732,0.09,431399,9284,10664,10591,11320,476118,000612.SZ,701321,269922,indicators,2019
null,-794,471,null,1113,754,0,7849,null,76,-108,-79,2594,000613.SZ,8752,903,indicators,2019
null,-117731,70484,null,784482,619811,0.02,183375,12149,1209,-12067,25759,315040,000615.SZ,1020821,754940,indicators,2019
null,-192305,16540,null,309479,60534,0.02,436421,6218,2999,-2635,376,21348,000616.SZ,606165,169733,indicators,2019
null,1779651,3003352,null,51320139,74572840,0.86,8397126,549296,779259,756661,1851264,79451,000617.SZ,93337998,77979625,indicators,2019
null,11735,17213,null,232635,123579,0.03,246969,2700,1160,-4013,2193,361428,000619.SZ,405023,136823,indicators,2019
null,-69989,299036,null,3121032,2598432,0.43,793098,46617,82101,52411,139448,1198846,000620.SZ,5307337,4334375,indicators,2019
null,-7895,-6699,null,29680,6967,0.03,20256,6,1186,-974,-1131,34562,000622.SZ,31641,10151,indicators,2019
null,27572,37946,null,634836,102567,1.21,2224950,125895,140364,127746,148307,308838,000623.SZ,2580090,335621,indicators,2019
null,-28768,388175,null,4960672,4923336,-0.55,4402831,-210937,-264672,-476245,-210711,7059525,000625.SZ,9761705,5368298,indicators,2019
null,-55849,34460,null,628318,337519,0.31,278497,7189,16915,2739,28038,6775417,000626.SZ,685303,399020,indicators,2019
null,-532084,2859956,null,2578500,843386,0.36,2122305,1054970,177594,109645,343087,205954,000627.SZ,20527395,17092047,indicators,2019
null,-27683,-24335,null,542602,451272,0.34,101243,783,10456,10283,14309,331087,000628.SZ,588150,477628,indicators,2019
null,214942,328182,null,622481,267519,0.17,933701,3321,141914,140494,152105,1315867,000629.SZ,1296614,332843,indicators,2019
null,-70906,406020,null,2381897,2187637,0.08,1837396,29344,85449,65448,144917,9295107,000630.SZ,4797007,2790391,indicators,2019
null,-335636,36111,null,736460,148953,0.25,650839,23040,60843,56527,80387,164883,000631.SZ,835064,180330,indicators,2019
null,54439,149333,null,573802,501211,0.09,134555,6206,4113,4299,12972,637685,000632.SZ,853994,682712,indicators,2019
null,-4514,-7355,null,9874,14192,-0.02,16332,4,-636,-819,-1267,9967,000633.SZ,111553,93714,indicators,2019
null,-11534,-8098,null,137871,41238,0.17,267173,null,5108,4350,6722,208721,000635.SZ,309831,42658,indicators,2019
null,29200,79263,null,334606,113119,0.38,557409,7074,33885,25889,39284,329317,000636.SZ,700151,136268,indicators,2019
null,3792,-4412,null,91605,39335,0.17,94201,4734,9077,5444,14198,429816,000637.SZ,150327,46962,indicators,2019
null,3506,4975,null,31915,29181,0.03,15981,1131,1002,633,2074,16317,000638.SZ,53733,30196,indicators,2019
null,-8060,39318,null,352333,242708,-0.7,353410,4,-75200,-86200,-110697,572700,000639.SZ,814013,403945,indicators,2019
null,-33698,69397,null,331968,62314,0.43,380555,-1113,53783,52934,82617,458117,000650.SZ,498443,63247,indicators,2019
null,-239955,2789371,null,21336404,16956830,4.11,11015357,-22663,2469664,2417151,2960511,19815303,000651.SZ,28297216,17092450,indicators,2019
null,-9195,127533,null,2560389,2380276,0.21,480733,25421,31563,3403,55751,2016140,000652.SZ,3423520,2825980,indicators,2019
null,44313,43077,null,131724,26379,0.3,257778,5120,17963,17621,22233,133592,000655.SZ,288867,29807,indicators,2019
null,540348,223874,null,29122878,20096539,1.05,2736708,18570,567583,573493,862162,6777337,000656.SZ,32160502,26945386,indicators,2019
null,-17243,60441,null,396617,288905,0.14,330078,null,12321,11778,29586,808464,000657.SZ,731566,344622,indicators,2019
null,-773,24129,null,63324,166056,0.01,73640,null,1807,-3580,9491,155803,000659.SZ,237633,171921,indicators,2019
null,182913,193467,null,874053,321691,10.27,808434,4874,177501,177568,287618,737370,000661.SZ,1272135,391377,indicators,2019
null,-30349,-20899,null,181600,215347,-3.67,165122,857,-400815,-382420,-372965,28147,000662.SZ,399794,234672,indicators,2019
null,-4412,7094,null,133583,191544,-0.7,57285,19,-23597,-26311,-25763,70215,000663.SZ,257724,197301,indicators,2019
null,12074,29019,null,214361,380107,0.11,678364,9051,10293,2264,14651,262493,000665.SZ,1186479,498794,indicators,2019
null,-187106,1615,null,2615365,828355,0.7,879046,30589,49034,49326,210938,468669,000666.SZ,3571857,1363719,indicators,2019
null,44520,18421,null,2110581,1524419,0.03,704943,1356,6544,7540,3940,352459,000667.SZ,2823536,2094607,indicators,2019
null,-8184,-18638,null,233918,138762,0.25,97444,1428,3665,3851,9964,41886,000668.SZ,271354,161337,indicators,2019
null,8344,52641,null,353043,644268,-1.93,118708,1955,-131358,-135660,-137382,372793,000669.SZ,923469,784008,indicators,2019
null,-2272,-2601,null,2257,8206,-0.25,-2379,null,-20611,-20571,-20443,413,000670.SZ,5816,8988,indicators,2019
null,424413,1539602,null,27249907,17675802,0.91,2674442,81409,402017,391700,682658,6104937,000671.SZ,30755188,25665310,indicators,2019
null,163717,312498,null,505299,383405,2.93,542986,236,233148,217511,316013,741206,000672.SZ,989946,411976,indicators,2019
null,5037,12002,null,113947,128563,-0.77,-16158,29,-61213,-33380,-35814,49501,000673.SZ,150485,159526,indicators,2019
