_id,name,company,title,href,includes,matches,matchCount
5f666ca5ade9005a1eedce8d,孙权,骆驼股份,孙权(骆驼股份董事),https://baike.baidu.com/item/%E5%AD%99%E6%9D%83/53387652,102,[],0
5f666ca6ade9005a1eedced8,李晓慧,骆驼股份,李晓慧(BOCOM 15USDPREF独立非执行董事),https://baike.baidu.com/item/%E6%9D%8E%E6%99%93%E6%85%A7/53473517,0,[],0
5f666cadade9005a1eedd0d0,张王进,中国平安,张王进,https://baike.baidu.com/item/%E5%BC%A0%E7%8E%8B%E8%BF%9B,2,[],0
5f666c99ade9005a1eedcb99,黄振中,农业银行,"黄振中(农业银行独立非执行董事,关联交易控制委员会委员,风险管理委员...",https://baike.baidu.com/item/%E9%BB%84%E6%8C%AF%E4%B8%AD/53463422,101,[],0
5f666cacade9005a1eedd041,姚波,中国平安,姚波(中国平安保险(集团)股份有限公司联席CEO),https://baike.baidu.com/item/%E5%A7%9A%E6%B3%A2/50995108,101,[],0
5f666cacade9005a1eedd057,谢吉人,中国平安,谢吉人,https://baike.baidu.com/item/%E8%B0%A2%E5%90%89%E4%BA%BA/12761887,1,[],0
5f666c99ade9005a1eedcbc8,王敬东,农业银行,王敬东(中国农业银行党委副书记、监事长),https://baike.baidu.com/item/%E7%8E%8B%E6%95%AC%E4%B8%9C/22858397,101,"[""党委""]",1
5f666c9aade9005a1eedcbd3,张杰,农业银行,张杰(天津市人大常委会原副秘书长),https://baike.baidu.com/item/%E5%BC%A0%E6%9D%B0/16005926,0,"[""中共"",""党校"",""市委"",""区委""]",4
5f666cacade9005a1eedd02b,马明哲,中国平安,马明哲,https://baike.baidu.com/item/%E9%A9%AC%E6%98%8E%E5%93%B2/6101257,1,"[""中共"",""市委""]",2
5f666cacade9005a1eedd04b,陈心颖,中国平安,陈心颖,https://baike.baidu.com/item/%E9%99%88%E5%BF%83%E9%A2%96,1,[],0
5f666caeade9005a1eedd140,曹实凡,中国平安,曹实凡,https://baike.baidu.com/item/%E6%9B%B9%E5%AE%9E%E5%87%A1/5298498,1,[],0
5f666caeade9005a1eedd128,叶素兰,中国平安,叶素兰(平安银行非执行董事),https://baike.baidu.com/item/%E5%8F%B6%E7%B4%A0%E5%85%B0/53418663,1,[],0
5f666ca5ade9005a1eedce82,夏诗忠,骆驼股份,夏诗忠,https://baike.baidu.com/item/%E5%A4%8F%E8%AF%97%E5%BF%A0,2,[],0
5f666c98ade9005a1eedcb3e,张克秋,农业银行,张克秋,https://baike.baidu.com/item/%E5%BC%A0%E5%85%8B%E7%A7%8B/6398258,1,"[""中共党员"",""党员"",""中共"",""共党"",""党委""]",5
5f666ca5ade9005a1eedce78,刘长来,骆驼股份,刘长来(骆驼集团股份有限公司总裁),https://baike.baidu.com/item/%E5%88%98%E9%95%BF%E6%9D%A5/22054507,0,[],0
5f666cd3ade9005a1eedd8d8,马时亨,广深铁路,马时亨(广深铁路独立董事),https://baike.baidu.com/item/%E9%A9%AC%E6%97%B6%E4%BA%A8/53456300,101,[],0
5f666cc2ade9005a1eedd587,蔡浩仪,交通银行,蔡浩仪,https://baike.baidu.com/item/%E8%94%A1%E6%B5%A9%E4%BB%AA/10539721,1,[],0
5f666cc3ade9005a1eedd5e0,陈汉文,交通银行,"陈汉文(交通银行外部监事,财务与内控监督委员)",https://baike.baidu.com/item/%E9%99%88%E6%B1%89%E6%96%87/53463961,101,"[""中共党员"",""党员"",""中共"",""共党""]",4
5f666cc4ade9005a1eedd67b,涂宏,交通银行,涂宏(银行),https://baike.baidu.com/item/%E6%B6%82%E5%AE%8F/49949663,1,[],0
5f666cceade9005a1eedd80f,王梅林,绿色动力,王梅林(绿色动力环保职工监事),https://baike.baidu.com/item/%E7%8E%8B%E6%A2%85%E6%9E%97/53469445,101,[],0
5f666cc1ade9005a1eedd513,侯维栋,交通银行,侯维栋,https://baike.baidu.com/item/%E4%BE%AF%E7%BB%B4%E6%A0%8B/5775787,1,[],0
5f666cceade9005a1eedd7a1,乔德卫,绿色动力,乔德卫,https://baike.baidu.com/item/%E4%B9%94%E5%BE%B7%E5%8D%AB,1,[],0
5f666ccfade9005a1eedd838,黄建中,绿色动力,黄建中(绿色动力环保副总经理),https://baike.baidu.com/item/%E9%BB%84%E5%BB%BA%E4%B8%AD/53469451,101,"[""团委""]",1
