area
境外
总行
西区
南区
东区
北区
西南地区
华北、东北地区
华东地区
华南、华中地区
华北东北地区
华南华中地区
华南地区
总行部门*
离岸业务
抵销
其他地区
深圳地区
华北、东北
行内往来收支抵销
上海地区
广州地区
中西部区域
物业管理公司
未分配项目
上海区域
南方区域
北方区域
其他(补充）
其他(补充)
北京区域
其他（补充）
中西部
北京
广深
上海
广深区域
成都区域
深圳区域
重庆
武汉
成都
长春
青岛
大连
沈阳
天津
无锡
镇江
宁波
南昌
南京
杭州
苏州
厦门
长沙
佛山
中山
珠海
东莞
广州
深圳
海南
鞍山
苏南
上海*
南京地区
南昌地区
成都地区
武汉地区
东北地区
天津地区
北京地区
广州、佛山地区
其它
抵消
其它地区
华中
西北
西南
东北
华南
华北
华东
西北地区
华北地区
华中地区
华中区
华东区
华南区
华北区
北方地区
减:分部间抵销
东北区
西北区
西南区
其他
减:分部间
公司内各部门之间互相抵销
天津市
陕西省
湖南省
广西自治区
广东省
广西自治
广西省
惠州
西安
广西
惠阳地区
贵州
广东省深圳市
广东深圳地区
广东省深圳地区
广东省外
广东省内
广东地区
福建省
新疆
上海市
东莞市
深圳市
中南地区
海外
海外项目
广东深圳
广东
中国大陆地区以外的国家和地区
中国大陆地区
中国境外
中国境内
中国境外销售
中国境内销售
北方
境外地区
广州市
四川省
东莞地区
扬州地区
徐州地区
其他地区收入
深圳地区收入
海南地区
香港
中国大陆
澳洲
中国香港
亚洲(不含中国大陆和香港)
北美
欧洲
澳大利亚
其他国家和地区
美国
各地区间相互抵消
其他国家
中国
各地区间相互抵销
新乡市
长沙市
新乡
境外销售
境内销售
公司内各地区分部间互相抵销
公司内各地区分部互相抵销
香港及海外
中国内地
境内
公司内抵销
外销
内销
公司内各地区分间互相抵销
公司内各业务之间相互抵消
公司内各业务分间互相抵销
国内
外地
河北
江苏
云南
河南
山东
四川
陕西
河南省
山东省
出口
国内小计
国外小计
港台
香港地区
中国(含香港)
亚太地区(中国除外)
亚太地区（中国除外）
中国（含香港）
北美洲
亚太地区（除中国外）
出口其他地区
出口亚太地区（除中国外）
出口北美洲
出口亚太地区(除中国外)
亚太地区(除中国外)
亚太地区(出中国外)
美洲
中国含香港
亚太区(中国除外)
西安地区
江苏地区
湖南地区
陕西地区
连云港地区
株洲地区
合并抵消
湖南
安徽
减:内部抵销数
减:公司内各地区抵销数
河源
国内销售
国内收入
国外收入
国外销售
国外
公司内各企业间相互抵消
减：内部抵销数
内部抵销数
境内其他
其中:其他
其中:广东省
其中：广东省
其中：其他
广东省(境内)
境外:
境内:广东省
其他省
内部抵销
内部抵消数
亚洲其他国家
大洋洲
减：公司内各地区抵销数
非洲
浙江
烟台
物业管理
工业地产
南京城市公司
北京城市公司
长沙城市公司
上海城市公司
成都城市公司
深圳城市公司
亚洲(其他国家)
南美
港澳台
亚洲（其他国家）
港澳台及国外其他地区
中国香港及海外
东南亚
日韩
公司内部行业间相互抵销
出口销售
出口外销
东南地区
东南
亚洲其他地区
国外地区
国外区
华南区域
华东区域
公司内各地区分部间相互抵消
公司内行业间相互抵销
国内其他地区
华南市场
华北市场
华东市场
东北市场
国内其他
其他业务
中山地区
其中:东莞
其中:中山
其中:深圳
北京市
浙江省
杭州市
山东地区
