_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt,subSentence,tinySentence,department,departmentStart,departmentEnd,position,positionStart,positionEnd,distance,org,orgType,orgStart,orgEnd
5f656e01ade9005a1ec9c6b7,胡国斌,000002,0,55,2020-09-19T02:33:36.990Z,博士,"胡国斌先生,1965年出生,现任深圳市资本运营集团有限公司(原深圳市远致投资有限公司)党委书记、董事长。胡先生于1987年获武汉大学管理学学士学位;1992年获中南财经政法大学经济学硕士学位;2002年获南开大学经济学博士学位;正高级会计师。胡先生曾在深圳建设集团工作;1997年11月-2019年5月,历任深圳市国有资产管理办公室主任科员、综合管理处助理调研员、副处长,深圳市国资委统计预算处处长,企业二处处长、深圳市国资委总经济师、深圳市国资委副主任等职务。2019年5月至今,任深圳市资本运营集团有限公司党委书记、董事长。",男,board,,1,2020-07-01T00:00:00.000Z,0,0,万  科Ａ,董事,2021-01-21T01:03:14.754Z,任深圳市资本运营集团有限公司党委书记、董事长,任深圳市资本运营集团有限公司党委书记,党委,14,16,书记,16,18,0,深圳市资本运营集团有限公司,company,1,14
5f656df2ade9005a1ec9c3dc,胡跃飞,000001,0,58,2020-09-19T02:33:22.033Z,硕士,"胡跃飞先生,1962年出生,中南财经政法大学(原中南财经大学)经济学硕士。胡跃飞先生于1990年1月至1999年2月,历任深圳发展银行党办宣传室主任、支行副行长、支行行长;1999年2月至2006年5月,历任深圳发展银行广州分行行长、总行行长助理。2006年5月至2016年12月,任平安银行(原深圳发展银行)副行长。2007年12月至今,任平安银行(原深圳发展银行)董事。2016年12月至今,任平安银行行长。胡跃飞先生加入深圳发展银行之前,曾任中国人民银行湖南省东安县支行科员,中国工商银行湖南省分行科员、人事处副科长。",男,manager,,1,2019-11-08T00:00:00.000Z,7791000,4104,平安银行,行长,2021-01-21T01:03:14.838Z,历任深圳发展银行党办宣传室主任、支行副行长、支行行长,历任深圳发展银行党办宣传室主任,党办,8,10,主任,13,15,3,深圳发展银行,financial,2,8
5f656e00ade9005a1ec9c695,王海武,000002,0,42,2020-09-19T02:33:36.724Z,硕士,"王海武先生,1978年出生,现任万科企业股份有限公司执行副总裁、首席运营官。王先生于2000年毕业于中南财经政法大学会计学专业,获管理学学士学位;2007年获吉林大学管理学硕士学位。王先生曾在深圳同人会计师事务所有限公司工作;于2003年加入万科,初始就职于深圳市万科房地产有限公司,之后历任东莞市万科房地产有限公司财务管理部经理、副总经理、总经理,公司高级副总裁,中西部区域事业集团(BG)首席合伙人、首席执行官(CEO)兼万科(成都)企业有限公司总经理。王先生被深圳市评为“深圳市高层次专业人才”,被四川省委省政府评为“四川省优秀民营企业家”。",男,manager,,,2020-07-01T00:00:00.000Z,0,0,万  科Ａ,"首席运营官,执行副总裁",2020-12-21T04:11:12.521Z,被四川省委省政府评为“四川省优秀民营企业家”,被四川省委省政府评为“四川省优秀民营企业家”,省委,3,5,评为,8,10,3,四川省委省政府,other,1,8
5f656df2ade9005a1ec9c498,邱伟,000001,0,58,2020-09-19T02:33:22.907Z,博士,"邱伟先生,1962年出生,西南财经大学金融学博士,高级经济师。现任平安银行党委副书记、纪委书记、监事长。1983年7月至1990年2月,历任中国人民银行四川省泸州分行信贷员、调研室科员、资金科副科长、外汇科科长;1990年3月至1994年2月,历任深圳发展银行资金计划员、总行办公室综合室主任、支行副行长、总行人力部总经理助理;1994年3月至2004年5月,历任广东发展银行深圳分行办公室主任、分行行长助理、副行长、行长、党委书记;2004年6月至2005年10月,任深圳国际信托投资公司总裁、党委副书记;2005年11月至2010年5月,任原平安银行(深圳市商业银行)监事长、党委副书记、纪委书记、工会主席;2010年6月至今,任平安银行党委副书记、纪委书记、监事长。",男,supervisoryCommittee,,1,2020-04-15T00:00:00.000Z,5021000,0,平安银行,监事长,2021-01-21T01:03:16.205Z,现任平安银行党委副书记、纪委书记、监事长,现任平安银行党委副书记,党委,6,8,书记,9,11,1,平安银行党委,financial,2,8
5f656df2ade9005a1ec9c498,邱伟,000001,0,58,2020-09-19T02:33:22.907Z,博士,"邱伟先生,1962年出生,西南财经大学金融学博士,高级经济师。现任平安银行党委副书记、纪委书记、监事长。1983年7月至1990年2月,历任中国人民银行四川省泸州分行信贷员、调研室科员、资金科副科长、外汇科科长;1990年3月至1994年2月,历任深圳发展银行资金计划员、总行办公室综合室主任、支行副行长、总行人力部总经理助理;1994年3月至2004年5月,历任广东发展银行深圳分行办公室主任、分行行长助理、副行长、行长、党委书记;2004年6月至2005年10月,任深圳国际信托投资公司总裁、党委副书记;2005年11月至2010年5月,任原平安银行(深圳市商业银行)监事长、党委副书记、纪委书记、工会主席;2010年6月至今,任平安银行党委副书记、纪委书记、监事长。",男,supervisoryCommittee,,1,2020-04-15T00:00:00.000Z,5021000,0,平安银行,监事长,2021-01-21T01:03:16.205Z,任平安银行党委副书记、纪委书记、监事长,任平安银行党委副书记,党委,5,7,书记,8,10,1,平安银行党委,financial,1,7
5f656e30ade9005a1ec9d4ad,黄伟良,000014,0,51,2020-09-19T02:34:24.298Z,本科,"黄伟良,男,汉族,1969年11月出生,*。1993年7月本科毕业于吉林大学国际经济系,历任深圳市沙河实业(集团)公司下属都会合成墙板公司副总经理、总经理、党支部书记,沙河集团物业经营部经理、党支部书记,沙河实业股份公司办公室主任、第一党支部书记,长沙深业置业公司常务副总经理、总经理、法定代表人、党支部书记,沙河实业股份公司党委委员。拟任沙河实业股份有限公司副总经理。",男,manager,,1,2020-04-25T00:00:00.000Z,0,0,沙河股份,副总经理,2020-12-21T04:12:10.241Z,沙河实业股份公司党委委员,沙河实业股份公司党委委员,党委,8,10,委员,10,12,0,沙河实业股份公司,company,0,8
5f656e69ade9005a1ec9df37,付德斌,000026,0,43,2020-09-19T02:35:21.968Z,博士,"付德斌,男,1977年2月出生,,中国国籍,无境外永久居留权,北京航空航天大学工学硕士与工学博士。现任天马微电子股份有限公司董事,中国航空技术国际控股有限公司人力资源部部长,飞亚达(集团)股份有限公司董事,深南电路股份有限公司董事。曾任中国航空技术国际控股有限公司行政管理部部长、经理部副部长,北京航空航天大学党政办公室副主任、动力学院党总支副书记,北京航空航天大学动力学院学生工作负责人、动力学院党总支副书记、党政办公室副主任,中航国际经理部副部长、行政管理部部长。",男,board,,1,2018-09-12T00:00:00.000Z,0,0,飞亚达,董事,2021-01-21T01:03:16.925Z,北京航空航天大学党政办公室副主任、动力学院党总支副书记,北京航空航天大学党政办公室副主任,党政办,8,11,主任,14,16,3,北京航空航天大学,other,0,8
5f656e77ade9005a1ec9e31b,邓康诚,000029,0,53,2020-09-19T02:35:35.459Z,本科,"邓康诚先生:中国国籍,53岁,本科。曾任深圳市建设投资控股公司纪检监察干事、副主任、主任。深圳市投资控股有限公司办公室副主任、主任、办公室(信访办)主任。现任深圳经济特区房地产(集团)股份有限公司党委副书记、纪委书记、董事。",男,board,,1,2012-04-18T00:00:00.000Z,1144000,10000,深深房Ａ,董事,2021-01-21T01:03:17.092Z,现任深圳经济特区房地产(集团)股份有限公司党委副书记、纪委书记、董事,现任深圳经济特区房地产(集团)股份有限公司党委副书记,党委,21,23,书记,24,26,1,深圳经济特区房地产(集团)股份有限公司,company,2,20
5f656e77ade9005a1ec9e370,林军,000029,0,50,2020-09-19T02:35:35.826Z,本科,"林军,女,大学本科学历,高级政工师。历任深圳经济特区房地产(集团)股份有限公司党群工作部副主任、纪委副书记兼党群工作部主任。",女,supervisoryCommittee,,,2016-04-29T00:00:00.000Z,546500,0,深深房Ａ,职工监事,2020-12-21T04:13:23.911Z,历任深圳经济特区房地产(集团)股份有限公司党群工作部副主任、纪委副书记兼党群工作部主任,历任深圳经济特区房地产(集团)股份有限公司党群工作部副主任,党群工作部,21,26,主任,27,29,1,深圳经济特区房地产(集团)股份有限公司党群工作部,company,2,25
5f656e80ade9005a1ec9e5cf,叶雄,000031,0,52,2020-09-19T02:35:44.530Z,硕士,"叶雄,男,1968年11月出生,硕士研究生学历。1991年进入中粮集团,先后任上海粮油总经理秘书、中粮上海粮油进出口公司储炼厂副厂长、上海粮油团委书记、副总经理、总经理、党委书记。2007年7月起任大悦城控股集团股份有限公司副总经理。",男,manager,,1,2020-05-23T00:00:00.000Z,2137000,0,大悦城,副总经理,2021-01-21T01:03:17.280Z,先后任上海粮油总经理秘书、中粮上海粮油进出口公司储炼厂副厂长、上海粮油团委书记、副总经理、总经理、党委书记,上海粮油团委书记,团委,4,6,书记,6,8,0,上海粮油团委书记,other,0,8
