_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt,subSentence,tinySentence,department,departmentStart,departmentEnd
5f656f16ade9005a1eca0e5a,吴福良,000088,0,57,2020-09-19T02:38:14.251Z,博士,"吴福良,男,1963年出生,无党派人士,管理学博士,高级工程师。1979年9月-1986年6月在中南矿冶学院(1985年改名中南工业大学)采矿工程专业本科、研究生学习;1986年6月-1988年4月任中南工业大学资源开发系教师;1988年4月-1990年9月任深圳东信石业有限公司总助;1990年9月-1994年8月任深圳盐田港集团有限公司港口工程部项目负责人;1994年8月-1996年3月任深圳盐田港集团有限公司市政工程部副经理;1996年3月-2000年2月任深圳盐田港集团有限公司工程建设管理部副经理(主持工作)(期间:1996年9月-1997年9月,由深圳市委组织部选派,在美国休斯敦大学做访问学者);2000年2月-2001年2月任深圳盐田港集团有限公司规划建设部副经理;2001年2月-2003年11月任深圳市盐田港集团有限公司三期工程部经理;2003年11月-2010年11月任深圳市盐田港集团有限公司港口工程部经理(上述期间:1999年2月-2005年10月在西安交通大学管理学院在职博士研究生学习;2000年1月-2005年6月任深圳市盐田港集团有限公司董事);2010年11月-2012年6月任深圳市盐田港物流有限公司董事长;2012年6月-2015年9月任深圳市盐田港投资控股有限公司董事常务副总经理;2015年9月-至今任深圳市盐田港物流有限公司董事长。",男,supervisoryCommittee,,,2017-12-08T00:00:00.000Z,792800,0,盐 田 港,监事会主席,2020-12-21T04:15:53.978Z,由深圳市委组织部选派,由深圳市委组织部选派,市委,3,5
5f656efdade9005a1eca0872,潘景辉,000068,0,46,2020-09-19T02:37:49.876Z,硕士,"潘景辉,1974年3月出生,*,研究生学历,管理学硕士,助理经济师。曾任职于罗湖区经济贸易局、投资服务中心、区委区政府两办、龙岗区委区政府两办、福田区委社会工作委员会、深圳市政府办公厅、南方科技大学党政办公室、纪检监察室(审计法务室)等。现任深圳华控赛格股份有限公司副总经理。",男,manager,,1,2020-08-25T00:00:00.000Z,0,0,华控赛格,副总经理,2020-12-21T04:15:27.083Z,曾任职于罗湖区经济贸易局、投资服务中心、区委区政府两办、龙岗区委区政府两办、福田区委社会工作委员会、深圳市政府办公厅、南方科技大学党政办公室、纪检监察室(审计法务室)等,区委区政府两办,区委,0,2
5f656efdade9005a1eca0872,潘景辉,000068,0,46,2020-09-19T02:37:49.876Z,硕士,"潘景辉,1974年3月出生,*,研究生学历,管理学硕士,助理经济师。曾任职于罗湖区经济贸易局、投资服务中心、区委区政府两办、龙岗区委区政府两办、福田区委社会工作委员会、深圳市政府办公厅、南方科技大学党政办公室、纪检监察室(审计法务室)等。现任深圳华控赛格股份有限公司副总经理。",男,manager,,1,2020-08-25T00:00:00.000Z,0,0,华控赛格,副总经理,2020-12-21T04:15:27.083Z,曾任职于罗湖区经济贸易局、投资服务中心、区委区政府两办、龙岗区委区政府两办、福田区委社会工作委员会、深圳市政府办公厅、南方科技大学党政办公室、纪检监察室(审计法务室)等,龙岗区委区政府两办,区委,2,4
5f656efdade9005a1eca0872,潘景辉,000068,0,46,2020-09-19T02:37:49.876Z,硕士,"潘景辉,1974年3月出生,*,研究生学历,管理学硕士,助理经济师。曾任职于罗湖区经济贸易局、投资服务中心、区委区政府两办、龙岗区委区政府两办、福田区委社会工作委员会、深圳市政府办公厅、南方科技大学党政办公室、纪检监察室(审计法务室)等。现任深圳华控赛格股份有限公司副总经理。",男,manager,,1,2020-08-25T00:00:00.000Z,0,0,华控赛格,副总经理,2020-12-21T04:15:27.083Z,曾任职于罗湖区经济贸易局、投资服务中心、区委区政府两办、龙岗区委区政府两办、福田区委社会工作委员会、深圳市政府办公厅、南方科技大学党政办公室、纪检监察室(审计法务室)等,南方科技大学党政办公室,党政办,6,9
5f656f35ade9005a1eca162a,毛天祥,000100,0,40,2020-09-19T02:38:45.916Z,本科,"毛天祥先生,1980年1月出生,中国国籍,大学本科学历。曾任惠州市审计局法制科副科长、综合科科长,惠州市纪委执法监察室、效能监察室正科级副主任,副处级主任,TCL集团股份有限公司党群工作部副部长、团委书记等职务。现任TCL科技集团股份有限公司党委委员,审计监察部部长,纪委副书记。兼任天津七一二通信广播股份有限公司监事、天津中环半导体股份有限公司监事会主席、翰林汇信息产业股份有限公司监事会主席、TCL科技集团财务有限公司监事长、TCL华星光电技术有限公司审计长等职务。",男,supervisoryCommittee,,1,2020-11-14T00:00:00.000Z,721200,0,TCL科技,职工监事,2021-01-21T01:03:46.157Z,惠州市纪委执法监察室、效能监察室正科级副主任,惠州市纪委执法监察室,纪委,3,5
5f656f5aade9005a1eca208e,高俊岐,000158,0,57,2020-09-19T02:39:22.176Z,本科,"高俊岐先生,1963年4月出生,本科学历,正高级会计师,*。曾任石家庄市纺织工业局党校会计、党校行政科副科长、财务处科员,石家庄常山纺织集团财务审计部副部长、部长,石家庄常山纺织股份有限公司总会计师。现任石家庄常山纺织集团有限责任公司总会计师,石家庄常山北明科技股份有限公司监事。",男,supervisoryCommittee,,1,2018-10-20T00:00:00.000Z,0,22490,常山北明,监事,2020-12-21T04:16:44.056Z,曾任石家庄市纺织工业局党校会计、党校行政科副科长、财务处科员,曾任石家庄市纺织工业局党校会计,党校,11,13
5f656ff1ade9005a1eca4449,袁卫东,000417,0,58,2020-09-19T02:41:53.511Z,本科,"袁卫东,男,中央党校大学学历,*。历任安徽石台县黄梅剧团工作人员,合肥橡胶厂团委干事、制帮分厂工作人员,合肥市青年俱乐部培训部部长,合肥市团市委《合肥青年》编辑部编辑,合肥市团校副校长,市纪委、监察局纠风办副科级、正科级纪检监察员,市纪委监察局纠风室(市政府纠风办)副主任,市纪委、监察局党风廉政建设室副主任,市纪委、监察局机关党委书记,现任市纪委监委机关党委书记。",男,supervisoryCommittee,,1,2018-11-14T00:00:00.000Z,215800,0,合肥百货,监事会主席,2020-12-21T04:18:54.798Z,市纪委、监察局纠风办副科级、正科级纪检监察员,市纪委,纪委,1,3
5f656ff1ade9005a1eca4449,袁卫东,000417,0,58,2020-09-19T02:41:53.511Z,本科,"袁卫东,男,中央党校大学学历,*。历任安徽石台县黄梅剧团工作人员,合肥橡胶厂团委干事、制帮分厂工作人员,合肥市青年俱乐部培训部部长,合肥市团市委《合肥青年》编辑部编辑,合肥市团校副校长,市纪委、监察局纠风办副科级、正科级纪检监察员,市纪委监察局纠风室(市政府纠风办)副主任,市纪委、监察局党风廉政建设室副主任,市纪委、监察局机关党委书记,现任市纪委监委机关党委书记。",男,supervisoryCommittee,,1,2018-11-14T00:00:00.000Z,215800,0,合肥百货,监事会主席,2020-12-21T04:18:54.798Z,市纪委、监察局党风廉政建设室副主任,市纪委,纪委,1,3
5f656ff1ade9005a1eca4449,袁卫东,000417,0,58,2020-09-19T02:41:53.511Z,本科,"袁卫东,男,中央党校大学学历,*。历任安徽石台县黄梅剧团工作人员,合肥橡胶厂团委干事、制帮分厂工作人员,合肥市青年俱乐部培训部部长,合肥市团市委《合肥青年》编辑部编辑,合肥市团校副校长,市纪委、监察局纠风办副科级、正科级纪检监察员,市纪委监察局纠风室(市政府纠风办)副主任,市纪委、监察局党风廉政建设室副主任,市纪委、监察局机关党委书记,现任市纪委监委机关党委书记。",男,supervisoryCommittee,,1,2018-11-14T00:00:00.000Z,215800,0,合肥百货,监事会主席,2020-12-21T04:18:54.798Z,市纪委、监察局机关党委书记,市纪委,纪委,1,3
5f656f63ade9005a1eca2358,张宜刚,000166,0,57,2020-09-19T02:39:31.750Z,硕士,"张宜刚,男,汉族,1963年12月出生,*,硕士研究生。于1983年8月至1998年5月先后任职于四川省盐亭县政府多种经营办公室、四川省盐亭县委政策研究室、县委办公室、四川省绵阳市委办公室;1998年5月至2007年12月任四川省委办公厅办公室副处级秘书、正处级秘书(其间:2001年12月至2007年1月挂任四川省国有资产投资管理有限责任公司副总经理);2007年12月至2009年3月任四川省国资委办公室调研员(2007年1月至2009年3月挂任四川省国有资产投资管理有限责任公司董事长、党委书记、纪委书记);2009年3月至2019年7月历任四川发展(控股)有限责任公司副总经理,董事、副总经理,党委委员、董事、副总经理,党委副书记、董事、副总经理;2015年4月至2018年12月任四川晟天新能源发展有限公司董事;2015年12月至2019年8月任四川发展国瑞矿业投资有限公司执行董事;2015年2月至今任四川城乡建设投资有限责任公司董事长;2019年7月至今任四川发展(控股)有限责任公司党委副书记、董事。于1983年8月毕业于西南农学院(2005年更名为西南大学)农学专业,取得农学学士学位,于2005年6月毕业于电子科技大学高级管理人员工商管理专业,取得工商管理硕士学位。",男,board,,1,2020-06-24T00:00:00.000Z,0,0,申万宏源,董事,2020-12-21T04:17:02.222Z,于1983年8月至1998年5月先后任职于四川省盐亭县政府多种经营办公室、四川省盐亭县委政策研究室、县委办公室、四川省绵阳市委办公室,四川省绵阳市委办公室,市委,5,7
