_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt
5f6575c0ade9005a1ecb56c0,李绪鹏,000651,0,,2020-09-19T03:06:40.581Z,硕士,"李绪鹏先生,研究生学历,现任珠海格力集团有限公司党委副书记、珠海格力电器股份有限公司党委书记。1991年7月参加工作,1998年11月*,研究生学历,获国家人事部颁发高级程序员证书、日本计算机应用技术协会颁发高级程序员证书。历任佛山升发发展有限公司研究所副所长;珠海特区金全利发展有限公司工程师;珠海市市委组织部干部信息科(*电教中心)副科长(副主任)、干部监督科副科长;珠海市信息中心常务副主任、主任、信息协会会长、科技局办公室主任、成果与技术市场科科长;珠海市科学技术局、科技工贸和信息化局副调研员;珠海市援建汶川工作小组组员,西部中心城区开发建设指挥部筹建组组员;珠海市港口管理局副局长、党组成员;珠海市交通运输局总工程师、党组成员;珠海市科技和工业信息化局(市知识产权局、市民营经济发展服务局)副局长、党组成员。现任珠海格力集团有限公司党委副书记、格力电器股份有限公司党委书记。",男,supervisoryCommittee,,1,2019-01-17T00:00:00.000Z,0,0,格力电器,监事会主席,2020-09-19T03:06:40.581Z
5f6575ceade9005a1ecb59c9,宁革,000655,0,53,2020-09-19T03:06:54.106Z,本科,"宁革,男,1967年12月出生,汉族,*,1991年7月毕业于重庆大学采矿工程专业,大学学历,高级工程师。1991年7月在山东金岭铁矿参加工作,历任金岭铁矿召口矿技术组助理工程师;金岭铁矿铁山矿技术组助理工程师、工程师、技术组组长;金岭铁矿铁山矿副矿长、矿长、党总支书记;金岭铁矿副总工程师。现任山东金岭矿业股份有限公司计划设计部部长。",男,board,,1,2017-06-10T00:00:00.000Z,179500,0,金岭矿业,职工董事,2020-12-21T04:32:36.612Z
5f6575c5ade9005a1ecb580c,孙国强,000652,0,55,2020-09-19T03:06:45.481Z,本科,"孙国强,男,*,本科学历,高级政工师、工程师、注册监理工程师、注册设备工程师、注册安全工程师。历任天津碱厂基建团委书记、基建工会主席、工程项目负责人,天津开发区建设工程监理公司工程项目总监、工程部部长,天津泰达集团有限公司党群工作部副部长、集团本部党支部副书记、部长,天津泰达股份有限公司党委书记,现任天津泰达股份有限公司党委副书记、常务副总经理。",男,manager,,1,2018-04-10T00:00:00.000Z,660000,0,泰达股份,常务副总经理,2020-12-21T04:32:29.162Z
5f6575cdade9005a1ecb5994,戴汉强,000655,0,52,2020-09-19T03:06:53.919Z,本科,"戴汉强,男,1968年11月出生,汉族,*,1991年7月毕业于中南工业大学地质探矿工程专业,大学学历,高级经济师。1991年7月在山东金岭铁矿参加工作,在地质工程处从事探矿技术管理工作;1993年7月至1994年7月在山东大学市场营销专业学习;历任山东金岭铁矿供销处副处长、处长、党支部书记;企业管理处处长,山东金岭铁矿矿长助理、兼企业管理处处长;山东金岭铁矿矿长助理;山东金岭矿业股份有限公司董事、总经理;淄博张钢总厂有限公司总经理、党委副书记;现任山东金岭铁矿有限公司党委副书记,山东金岭矿业股份有限公司副董事长。",男,board,,1,2017-07-10T00:00:00.000Z,0,0,金岭矿业,"副董事长,董事",2020-12-21T04:32:36.431Z
5f6575c0ade9005a1ecb56a0,王晓华,000651,0,59,2020-09-19T03:06:40.440Z,硕士,"王晓华先生,研究生学历,广东广信君达律师事务所主任。王晓华先生系广东广信君达律师事务所主任,曾先后赴中央民族学院、北京大学、武汉大学,日本法思株式会社及英国东伦敦大学学习法律,2003年获东伦敦大学法学硕士学位;1988年从事兼职律师工作迄今,主办及带领团队共同办理各类诉讼及非诉讼案件、项目过千宗,协助企业从境内外证券市场融资数百亿元人民币。1998年开始担任省政协委员,至今共提交提案约50个;出版专著《企业上市法律问题》等著作四本,发表《国家兴亡匹夫有责法治进步律师有责》等文章二十余篇,曾担任广州市律师协会会长,目前任广东省政协常委、广东省法官检察官遴选委员会委员、广州市人民政府法律咨询专家,广东省委警卫局、广东省公安厅、广东省税务局等单位法律顾问;曾担任广州亚运会火炬手;荣获“广东省优秀律师”、“天河区十大创新领军人才”、“广州市创新创业服务领军人才”等荣誉称号。",男,board,,,2019-01-17T00:00:00.000Z,132500,0,格力电器,独立董事,2020-12-21T04:32:26.222Z
5f6575c4ade9005a1ecb5774,张旺,000652,0,40,2020-09-19T03:06:44.929Z,本科,"张旺,男,*,大学学历环境科学与工程专业,现任天津泰达股份有限公司党委书记。历任天津泰达投资控股有限公司投资管理部职员、资产保全科科长、副经理、经理、党支部书记,天津泰达集团有限公司党委副书记、总经理(兼),天津钢管(泰达)美国有限公司党支部书记、执行董事(兼)。",男,board,,1,2020-07-07T00:00:00.000Z,37500,0,泰达股份,"董事长,董事",2020-12-21T04:32:28.617Z
5f6575cdade9005a1ecb59a0,孙瑞斋,000655,0,52,2020-09-19T03:06:53.965Z,本科,"孙瑞斋,男,1968年9月出生,山东昌邑人,*,本科学历,高级政工师。1989年7月毕业于昌潍师范专科学校,同年7月参加工作,历任山东金岭铁矿团委副书记、政工处副处长、铁山矿副书记、选矿厂副书记、召口矿副书记、侯庄矿矿长、矿长助理;山东金岭矿业有限责任公司董事、山东金岭铁矿副矿长、铁鹰钢铁有限公司执行董事;现任山东金岭矿业股份有限公司董事、总经理",男,manager,,1,2017-07-10T00:00:00.000Z,182700,0,金岭矿业,总经理,2020-12-21T04:32:36.952Z
5f6575feade9005a1ecb6168,程源伟,000656,0,55,2020-09-19T03:07:42.683Z,硕士,"程源伟先生:1965年3月出生,*,研究生学历,高级律师,现任金科地产集团股份有限公司独立董事、重庆源伟律师事务所主任,兼任重庆水务(证券代码:601158)、涪陵榨菜(证券代码:002507)、太极集团(证券代码:600129)独立董事,并担任多家上市公司常年法律顾问。曾就职于湖北省人民检察院、重庆市纪委监察局。2015年5月起,任金科地产集团股份有限公司独立董事。",男,board,,1,2017-05-25T00:00:00.000Z,318400,0,金科股份,独立董事,2020-12-21T04:40:10.905Z
5f6575c0ade9005a1ecb56cc,段秀峰,000651,0,,2020-09-19T03:06:40.626Z,,"段秀峰先生,1999年山东党校毕业,现任山东盛世欣兴格力贸易有限公司总经理。历任山东格力市场营销有限公司副总经理、总经理,现任山东盛世欣兴格力贸易有限公司总经理。",男,supervisoryCommittee,,1,2019-01-17T00:00:00.000Z,0,596700,格力电器,监事,2021-01-21T01:03:12.948Z
5f6575c5ade9005a1ecb57c3,杨鸿雁,000652,0,54,2020-09-19T03:06:45.156Z,博士,"杨鸿雁,女,54岁,无党派人士。法学博士,教授,硕士研究生导师。现任天津工业大学法学院教授。历任贵州大学社会科学研究所助理研究员,贵州大学法学院讲师、副教授、教授。兼任中国法律思想史专业委员会常务理事,天津法理学分会副会长,国家法官学院天津分院、天津法官学院和天津法院党校教授。",女,board,,1,2019-05-28T00:00:00.000Z,53300,0,泰达股份,独立董事,2021-01-21T01:03:13.131Z
5f6575ceade9005a1ecb59aa,张乐元,000655,0,55,2020-09-19T03:06:54.010Z,硕士,"张乐元,男,1965年9月出生,山东寿光人,*,在职研究生学历,高级工程师。1985年7月毕业于山东冶金工业学校,同年7月参加工作,历任山东金岭铁矿选矿厂副厂长、建筑工程处处长、选矿厂厂长、矿长助理、铁鹰钢铁总经理;山东金岭矿业股份有限公司董事、山东金岭铁矿副矿长、塔什库尔干县金钢矿业有限责任公司执行董事、总经理、党支部书记,喀什金岭球团有限公司董事长、党支部书记。现任山东金岭矿业股份有限公司董事。",男,manager,,1,2017-07-10T00:00:00.000Z,182700,0,金岭矿业,副总经理,2020-12-21T04:32:37.045Z
5f6575c5ade9005a1ecb57f8,周京尼,000652,0,60,2020-09-19T03:06:45.390Z,大专,"周京尼,男,*,大专,高级政工师。现任天津泰达股份有限公司工会主席、监事。历任天津泰达股份有限公司团委书记、经营部党支部书记、工厂部部长助理、长丝车间主任兼党支部书记、生态棉生产物流中心副经理、海南西秀海景园实业有限公司副总经理。",男,supervisoryCommittee,,1,2018-04-10T00:00:00.000Z,618800,30800,泰达股份,职工监事,2020-12-21T04:32:29.074Z
5f6575cdade9005a1ecb598a,刘远清,000655,0,56,2020-09-19T03:06:53.874Z,本科,"刘远清:男,1964年5月出生,汉族,*,1984年8月毕业于江西冶金学院选矿专业,大学学历,高级工程师。1984年8月在山东金岭铁矿参加工作,历任山东金岭铁矿技工学校教师;山东金岭铁矿选矿厂助理工程师;山东金岭铁矿计划处工程师;山东金岭铁矿选矿厂副厂长;山东金岭铁矿选矿厂厂长;山东金岭铁矿选矿厂厂长、党总支书记;山东金岭铁矿供销处处长、党支部书记、矿业公司供应销售部部长;淄博铁鹰钢铁有限公司经营部部长、党支部书记;至2011年10月任山东金岭铁矿副矿长、党委委员。现任山东金岭矿业股份有限公司董事长。",男,board,,1,2017-07-10T00:00:00.000Z,0,0,金岭矿业,"董事长,董事",2020-12-21T04:32:36.388Z
