area
其他业务
批发金融业务
零售金融业务
其他
同业业务
零售业务
小企业业务
公司业务
抵销
子公司
其他营业净收入
手续费及佣金净收入
利息净收入
贴现及买入返售/卖出回购票据利息净收入
债券业务利息净收入
金融企业往来利息净收入/支出
存贷利息净收入
贴现利息净收入
金融企业往来利息净收入
信贷业务利息净收入
手续费、佣金及其他业务收入
证券投资利息收入
买入返售证券收入
金融企业往来收入
贷款利息收入
汇兑净收益
投资净收益
债券利息净收入
存贷款利息净收入
债券业务利息收入
债券投资
拆借、存放等同业业务
贷款
金融企业往来
贷款(含贴现)
贴现
其他（补充）
物业服务
房地产开发及相关资产经营业务
房地产及相关业务
物业管理
其他(补充)
房地产
其他(补充）
物业管理等
物业管理及其他
其他业务收入
物业管理和其他
房地产开发
物业管理及其它
商贸
移动网络游戏
移动网络安全
游戏收入
生物医药
房地产行业
生物医药行业
其他行业
软件技术
高新技术行业
租赁
其他(主营)
租赁收入
软件收入
软件
工程及技术服务
房地产咨询
其他房地产业
生物药品制造业
计算机应用服务业
制药业
工程技术及服务
IT业及技术服务
生物制药
生物特征识别
工业
酒店经营、物业管理收入
环保业务收入
不动产权益投资收入
运营及设计服务
环保工程
商品销售
物业出租、客房、餐饮
环保交通及清洁能源基础设施经营
不动产开发管理及工程监理
大型市政设施经营
物业出租、客房收入
物业出租、客房、餐饮收入
其它
房地产销售
物业出租\客房收入
信息服务及其他
酒店、酒店式公寓及度假酒店
房地产管理业
租赁服务业
房地产开发与经营业
信息服务收入
信息传播服务业
旅馆业
旅游业
信息服务及其他收入
物业出租及酒店收入
酒店式公寓及物业出租
房地产业
租赁业务
房产销售业务
房地产销售收入
房产销售收入
服务收入
工业产品销售收入
服务业
公司内部行业间相互抵销
施工行业
建筑施工业
减:行业内相互抵减
行业内相互抵减
物业经营和管理
施工业
行业间相互抵减
合并范围内行业间相互抵减
服务业及其他
减:合并范围内行业间相互抵减
杀菌纸巾
一次性口罩
房屋租赁
物业管理及停车费
软件技术服务
旅游饮食业
商品贸易（矿产品）
商品贸易(钛矿产品)
物业管理和停车费
停车费
典当行
商品贸易(矿产品)
物业租赁及管理
旅游饮食行业
租赁费
旅游餐饮
房地产开发与经营
物业管理行业
租赁行业
典当行业
物业租赁
商品流通业
旅游服务业
电子信息产业
轨道交通
酒店服务
酒店物业
酒店服务业
租赁业
商品贸易
关联交易
房屋出租
其他销售
酒类销售
商业
租赁及管理费
贸易
其他批发业
百货零售业务
超市零售业务
租赁及管理费收入
贸易收入
零售业
产品销售收入
其他产业分部
房地产业分部
生物医药产业分部
高新技术产业分部
其他产业
生物医药产业
高新技术产业
高新技术
医药行业
服务性
租金
服务性收入
租金收入
新能源材料
提供劳务
医药
商业贸易
制药加工
其他项
工业加工收入
投资收入
物业管理收入
提供劳务收入
制药加工收入
商贸行业
工业企业
园林景观业务
隧道业务
园林、市政工程建设
园林设计
苗木销售
燃气销售服务
园林建设
景观设计
燃气设备制造行业
设计
石化及其他工业专用设备制造
公共设施服务业
机械制造
能源
石化及其他工业专设备制造
机械销售
燃气销售
燃气机械
燃汽销售
石化及其他工业专用设备制造业
其他电力、煤气及水的生产和供应业
其他专用设备制造业
期货交易
进出口贸易
电子元件制造业
燃汽机械
天然汽配售
电子产品
期货经纪
咨询
饮食服务
分部间抵销
物业管理分部
其他分部
房地产分部
餐饮分部
物业管理业务
交通运输
房地产业务
物业管理与房屋租赁
餐饮服务
交通运输业务
饮食服务业务
房屋租赁管理业务
房屋租赁和物业管理
处置四会土地
停车场
房屋租赁和管理
抵消
商业销售
其他收入
房屋租赁和管理收入
交通运输收入
饮食服务收入
商业销售收入
旅游饮食服务收入
旅游饮食服务业务
商业销售业务
房屋租赁及物业管理业务
公司内各业务分部间相互抵消
出租车客运
旅游饮食
旅游饮食服务
物业管理及租赁
房屋租赁和管理成本
商业零售
公司内部行业之间抵消
餐饮
公司内行业间抵销
汽车运输业
商贸业
物业租赁业
房地产开发业
太阳能及其他产业
电子玻璃及显示器件产品
玻璃产业
电子玻璃及显示器件产业
太阳能产业
电子及显示器件产业
电子玻璃及显示器产业
工程玻璃产业
平板玻璃产业
精细玻璃产业
平板及工程玻璃产业
精细玻璃和陶瓷
工程玻璃
平板玻璃
销售原材料
各分部间相互抵消
精细玻璃和陶瓷产业
业务分部间相互抵消
精细玻璃
浮法玻璃
玻璃及玻璃制品业
装修装饰业
业务分部间相互抵销
建筑装饰业
代建收入和综合服务费
代建收入和综合服务费（注）
委托代建
出租房屋
出租收入
世纪村二期II(即:王府)
世纪村三期(即:日月府)
半导体业务
工贸业务
环保业务
电子业务
环保行业
电子行业
环保
供应链管理
通讯制造
多媒体制造
手机业务
彩电业务
白电及其他
通信
多媒体
电子制造
通信及相关设备制造业
日用电子器具制造业
家电
手机
彩电
通讯
日用电器制造业
自行车锂电池材料及其他
珠宝黄金
自行车及零配件销售
锂电池材料
自行车及零部件销售
自行车行业
租赁管理
物业、租赁管理
材料销售
水电费
出租固定资产租金
自行车制造及零配件销售
自行车制造业
物业管理服务业
外协加工
制造业
电动自行车制造业
租赁及商业服务
批发与零售业
租赁及商业服务业
租赁及其他
储备及仓储物流服务
制茶业
软饮料制造业
调味品制造业
公司内各业务分部间互相抵销
产品销售
食品饮料
注塑
水电费及其他
视讯
材料收入
EPS
显示器
废料收入
注塑件
EPS产品
保丽龙
材料及废料收入
泡沫件
废料
钢材
液晶显示器
泡沫件(保丽龙)
销售材料
电路板
彩电加工
其他电子设备制造业
计算机、通信和其他电子设备制造业
计算机及相关设备制造业
电子产品制造
合并抵消
石料销售
混泥土销售
混凝土销售
建材业
2.建材业
1、房地产业
发包及租金收入
石料收入
运输业
