_id,name,company,title,href,includes,description
5f66603eade9005a1eeb1e00,裘建华,精工钢构,裘建华,https://baike.baidu.com/item/%E8%A3%98%E5%BB%BA%E5%8D%8E/6693656,2,"裘建华,精工钢构董事。职务 董事 公司 精工钢构  性别 男 学历 硕士裘建华:中国国籍,无境外永久居留权,研究生学历,中欧国际工商管理学院EMBA,高级经济师,上海市..."
5f66603eade9005a1eeb1e14,陈国栋,精工钢构,陈国栋(精工钢构集团副总裁),https://baike.baidu.com/item/%E9%99%88%E5%9B%BD%E6%A0%8B/4978437,100,陈国栋，男，高级工程师，国家一级注册结构工程师，现任浙江精工钢结构建设集团有限公司副总经理，总工程师兼总师办主任。精工空间特钢结构有限公司董事长兼总经理。人...
5f66605bade9005a1eeb239e,陈雄溢,科达制造,,,0,
5f66605bade9005a1eeb23a9,陈环,科达制造,,,0,
5f666068ade9005a1eeb2673,邓在春,航天晨光,,,0,
5f665f1dade9005a1eeae49c,吴亮明,中远海特,,,0,
5f665f21ade9005a1eeae599,郑晓东,三元股份,,,0,
5f665f47ade9005a1eeaed0a,郑文静,瑞贝卡,,,0,
5f665f4eade9005a1eeaee9c,张德友,国机通用,,,0,
5f665f7bade9005a1eeaf6f4,杨军,时代新材,杨军(中车株洲电力机车研究所有限公司党委成员),https://baike.baidu.com/item/%E6%9D%A8%E5%86%9B/2289342,0,"杨军先生,1972年5月出生,中国国籍,无境外居留权,毕业于华南理工大学材料加工工程专业,工学博士,教授级高级工程师。现任中车株洲电力机车研究所有限公司领导班子成员、..."
5f665f83ade9005a1eeaf979,王梓帆,贵研铂业,王梓帆,/item/%E7%8E%8B%E6%A2%93%E5%B8%86,1,"贵研铂业  性别 男 学历 本科王梓帆,男,1973年04月出生。曾在云南省证券有限责任公司上海共和新路营业部、昆明博闻证券投资咨询有限责任公司、海通证券股份有限公司..."
5f665f87ade9005a1eeafa53,郑少波,士兰微,,,0,
5f665f93ade9005a1eeafdba,金铉玉,九有,,,0,
