_id,name,company,title,href,includes,description
5f65a4d2ade9005a1ed33810,李红霞,加加,,,0,
5f65a4dcade9005a1ed339f9,谢庆红,利君股份,,,0,
5f65a4e5ade9005a1ed33ae8,石学娟,扬子新材,石学娟,/item/%E7%9F%B3%E5%AD%A6%E5%A8%9F,2,"石学娟,扬子新材董事。职务 董事 公司 扬子新材  性别 女 学历 硕士石学娟,女,汉族,1962年7月生,1984年9月参加工作,硕士研究生学历,无境外永久居留权。曾..."
5f65a4c5ade9005a1ed3353a,崔朕,仁东控股,,,0,
5f65a4c0ade9005a1ed3342e,卢艳,青青稞酒,,,0,
5f65a4c5ade9005a1ed33524,杜辉强,仁东控股,,,0,
5f65a4c5ade9005a1ed3352e,刘春阳,仁东控股,,,0,
5f65a4cbade9005a1ed336d0,卢卫伟,卫星石化,,,0,
5f65a4ceade9005a1ed33752,宋建波,博彦科技,,,0,
5f65a4ceade9005a1ed33767,宋存智,博彦科技,,,0,
5f65a4bfade9005a1ed333ca,李银会,青青稞酒,"李银会(青青稞酒董事长,董事)",/item/%E6%9D%8E%E9%93%B6%E4%BC%9A/53451991,101,李银会，青青稞酒董事长，董事。李银会先生:中国国籍，无境外永久居留权，生于1966年9月，北京大学理学硕士。曾任青海互助青稞酒有限公司董事、副董事长、董事长...
5f65a4c0ade9005a1ed33424,王德良,青青稞酒,,,0,
5f65a4c4ade9005a1ed334d7,刘长勇,仁东控股,刘长勇(仁东控股董事),/item/%E5%88%98%E9%95%BF%E5%8B%87/53389612,101,"仁东控股  性别 男 学历 硕士刘长勇先生,1985年7月出生,中国国籍,无境外永久居留权,对外经济贸易大学国际法专业,硕士学历。历任北京市中伦律师事务所律师、正东致远..."
5f65a4cbade9005a1ed3365b,王满英,卫星石化,,,0,
5f65a4cbade9005a1ed336c6,高军,卫星石化,,,0,
5f65a4ceade9005a1ed3375c,潘毅,博彦科技,,,0,
5f65a4dcade9005a1ed339b0,林麟,利君股份,林麟(利君股份董事),/item/%E6%9E%97%E9%BA%9F/53390376,102,"林麟,利君股份董事。职务 董事 公司 利君股份  性别 男 学历 硕士林麟先生,中国国籍,无境外永久居留权,1982年出生,硕士学历。2009年9月-2014年1月期间在广发..."
5f65a4ceade9005a1ed33746,白涛,博彦科技,白涛(首开股份独立董事),/item/%E7%99%BD%E6%B6%9B/53392485,1,2002年4月，任北京市君合律师事务所合伙人，律师。兼任国信证券股份有限公司、北京首都开发股份有限公司独立董事及博彦科技股份有限公司独立董事。担任职务 白涛，担任...
5f65a4d2ade9005a1ed33833,唐梦,加加,,,0,
5f65a4ddade9005a1ed33a03,尹红,利君股份,,,0,
5f65a4c4ade9005a1ed334e1,章凯,仁东控股,章凯(仁东控股董事),/item/%E7%AB%A0%E5%87%AF/53453531,101,章凯，仁东控股董事。章凯先生，1981年10月出生，中国国籍，无境外永久居住权。毕业于中国青年政治学院网络技术与软件工程专业和清华大学经管学院工商管理专业，硕士学历...
5f65a4cbade9005a1ed33646,马国林,卫星石化,,,0,
5f65a4cfade9005a1ed33791,杜春艳,博彦科技,,,0,
5f65a4e4ade9005a1ed33ad3,王功虎,扬子新材,王功虎,/item/%E7%8E%8B%E5%8A%9F%E8%99%8E,2,"王功虎,扬子新材董事长,董事。职务 董事长,董事  公司 扬子新材  性别 男 学历 硕士王功虎,男,汉族,1974年7月出生,中国国籍,无永久境外居留权,硕士研究生..."
5f65a4e9ade9005a1ed33bf2,BingshengTeng,海思科,,,0,
5f65a4e9ade9005a1ed33bd4,范秀莲,海思科,范秀莲,/item/%E8%8C%83%E7%A7%80%E8%8E%B2,1,"范秀莲,女,海思科副总经理。 2020年2月26日, 范秀莲、杨飞母女以75亿元人民币财富名列《2020世茂深港国际中心·胡润全球富豪榜》第2476位。 [1] ..."
5f65a4eeade9005a1ed33dba,蔡承荣,万润科技,,,0,
5f65a4eaade9005a1ed33c27,谭红,海思科,,,0,
5f65a4eaade9005a1ed33c1d,YANJONATHANJUN,海思科,,,0,
5f65a4e9ade9005a1ed33be8,申红,海思科,申红(海思科董事),/item/%E7%94%B3%E7%BA%A2/53455857,101,申红，女，1967年出生，中国国籍，无境外永久居留权，高中学历。申红女士曾任职于成都市医药工业公司、四川恒达药业有限公司，2006年至今任海思科医药集团股份有限公司...
5f65a4eaade9005a1ed33bfd,严骏,海思科,严骏(海思科独立董事),https://baike.baidu.com/item/%E4%B8%A5%E9%AA%8F/4236209,101,严骏，男，1963年生，澳大利亚国籍，有境外永久居留权，毕业于悉尼科技大学，管理学硕士。海思科独立董事。人物履历 严骏，1998年至2000年在悉尼科技大学商学院担任...
5f65a4f6ade9005a1ed33f9c,徐勇,摩登,,,0,
