_id,name,company,title,href,includes,description
5f658380ade9005a1ece3dc4,朱志皓,澳洋顺昌,朱志皓,/item/%E6%9C%B1%E5%BF%97%E7%9A%93,1,"朱志皓:男,中国国籍,汉族,生于1981年1月,本科学历。现任江苏澳洋健康产业股份有限公司行政人事总监,江苏澳洋顺昌股份有限公司监事会主席;历任澳洋集团有限公司行政管理..."
5f658387ade9005a1ece3f58,张楚,聚力,张楚(*ST聚力董事),/item/%E5%BC%A0%E6%A5%9A/53385244,101,"*ST聚力  性别 男 学历 硕士张楚,男,出生于1977年2月22日,硕士研究生学历,东北财经大学MBA,主要工作经历:1999年-2006年,诺华制药产品经理、数字化营销中国区负责..."
5f658387ade9005a1ece3f6c,毛时法,聚力,毛时法,/item/%E6%AF%9B%E6%97%B6%E6%B3%95,2,"毛时法,*ST聚力独立董事。职务 独立董事  公司 *ST聚力  性别 男 学历 本科毛时法,男,1964年8月出生,本科学历,高级会计师、注册会计师、资产评估师、税务师,..."
5f65837cade9005a1ece3cf8,陈国灵,滨江集团,陈国灵,https://baike.baidu.com/item/%E9%99%88%E5%9B%BD%E7%81%B5/4964890,1,陈国灵，女，1972年8月出生，本科学历。现任上市公司滨江集团股份有限公司（002244）监事。履历 现任杭州普特股权投资管理有限公司执行总经理，公司监事；2009.11.12起...
5f658380ade9005a1ece3da3,王亚雄,澳洋顺昌,王亚雄(澳洋顺昌独立董事),/item/%E7%8E%8B%E4%BA%9A%E9%9B%84/53388837,101,"独立董事  公司 澳洋顺昌  性别 男 学历 硕士王亚雄:男,中国国籍,生于1974年3月,武汉大学无线电物理学学士,加拿大皇后大学工商管理硕士,具有多年的创业投资与管理..."
5f658384ade9005a1ece3e9d,胡获,北化股份,,,0,
5f658387ade9005a1ece3fa0,魏晓静,聚力,,,0,
5f658387ade9005a1ece3f8a,陈敏,聚力,,,0,
5f658380ade9005a1ece3dd8,虞静珠,澳洋顺昌,,,0,
5f658376ade9005a1ece3c05,成若飞,通产丽星,,,0,
5f65837cade9005a1ece3c99,朱慧明,滨江集团,朱慧明(滨江集团董事),/item/%E6%9C%B1%E6%85%A7%E6%98%8E/53456157,101,朱慧明，滨江集团董事。朱慧明先生:男，1963年出生，研究生学历，工程师、高级经济师，杭州市劳动模范、中国地产百杰，杭州市房地产业协会第八届理事会执行会长，杭州...
5f658380ade9005a1ece3d75,林文华,澳洋顺昌,林文华(澳洋顺昌董事),/item/%E6%9E%97%E6%96%87%E5%8D%8E/53388832,101,"林文华:男,中国国籍,汉族,生于1969年8月,本科学历。现任江苏澳洋顺昌股份有限公司董事、副总经理、财务负责人、董事会秘书,江苏鼎顺创业投资有限公司董事、总经理,..."
5f658387ade9005a1ece3f4e,姜飞雄,聚力,,,0,
5f658387ade9005a1ece3f76,刘梅娟,聚力,,,0,
5f658387ade9005a1ece3f80,徐民,聚力,,,0,
5f658388ade9005a1ece3fdb,杜锡琦,聚力,,,0,
5f658380ade9005a1ece3d6b,陈锴,澳洋顺昌,"陈锴(澳洋顺昌董事长,董事)",/item/%E9%99%88%E9%94%B4/53388834,101,"陈锴(ChenKai):男,澳大利亚国籍,生于1968年3月,硕士学历,现任江苏澳洋顺昌股份有限公司董事、总经理,中国香港吕止有限公司董事,张家港润盛科技材料有限公司董事长,..."
5f658384ade9005a1ece3ea8,步丹璐,北化股份,,,0,
5f65837cade9005a1ece3ccd,贾生华,滨江集团,,,0,
5f658390ade9005a1ece419c,余劲松,大洋电机,,,0,
5f658390ade9005a1ece41a6,郑馥丽,大洋电机,郑馥丽,/item/%E9%83%91%E9%A6%A5%E4%B8%BD,0,"郑馥丽,科瑞技术独立董事。职务 独立董事  公司 科瑞技术  性别 女 学历 本科郑馥丽女士,1973年12月出生,中国国籍,无境外永久居留权,本科学历,中国注册会计师。"
5f658394ade9005a1ece4264,何春,联化科技,,,0,
5f658394ade9005a1ece427a,俞寿云,联化科技,,,0,
5f658395ade9005a1ece428f,蒋萌,联化科技,,,0,
5f658395ade9005a1ece42e0,张建中,联化科技,,,0,
5f658399ade9005a1ece4376,王敬,步步高,,,0,
5f65839dade9005a1ece44a4,郑跃文,上海莱士,,,0,
5f65839eade9005a1ece4526,陆晖,上海莱士,,,0,
5f6583aaade9005a1ece4889,邹雪峰,海陆,,,0,
5f6583aaade9005a1ece489f,陈华,海陆,,,0,
5f658390ade9005a1ece414f,鲁楚平,大洋电机,鲁楚平,https://baike.baidu.com/item/%E9%B2%81%E6%A5%9A%E5%B9%B3/1096782,1,2000年鲁楚平出资270万元，与合作伙伴成立大洋电机公司。10年后，这家公司成为中国空调产业第二大供应商，9年间他的财富从270万到33亿，增加1222倍。
5f658390ade9005a1ece4165,贡俊,大洋电机,,,0,
5f658391ade9005a1ece41d5,彭魏文,大洋电机,,,0,
5f65838bade9005a1ece408e,宋希亮,华东数控,宋希亮(华东数控独立董事),/item/%E5%AE%8B%E5%B8%8C%E4%BA%AE/53455225,101,宋希亮，华东数控独立董事。宋希亮，男，中国国籍，无境外居留权，1965年生，会计学教授，管理学博士，公司理财方向的硕士生导师，山东经济学院学术带头人，现任中国中...
5f658390ade9005a1ece4172,彭惠,大洋电机,,,0,
5f6583a2ade9005a1ece45cc,范自力,川大智胜,范自力(西昌电力独立董事),/item/%E8%8C%83%E8%87%AA%E5%8A%9B/53456551,1,四川明炬律师事务所高级合伙人，四川西部资源控股股份有限公司独立董事，四川金路集团股份有些公司独立董事，四川西昌电力股份有限公司独立董事，四川川大智胜软件股份有限...
5f658390ade9005a1ece4159,徐海明,大洋电机,徐海明(中山大洋电机副董事长、总经理),https://baike.baidu.com/item/%E5%BE%90%E6%B5%B7%E6%98%8E/2209581,101,徐海明，1963年出生，现任中山大洋电机副董事长、总经理。工商管理硕士。1982年起在武汉铁路分局工作， 1992 任职于广州先导技术工程有限公司担任总经理。2001 年加入...
5f65839aade9005a1ece4396,戴晓凤,步步高,,,0,
5f6583aaade9005a1ece4895,王佳仁,海陆,,,0,
5f658395ade9005a1ece42ae,杨毓哲,联化科技,,,0,
5f658395ade9005a1ece42eb,许明辉,联化科技,,,0,
5f65839eade9005a1ece4502,刘峥,上海莱士,,,0,
5f65839eade9005a1ece4530,宋正敏,上海莱士,,,0,
5f6583a1ade9005a1ece45a2,张自力,川大智胜,,,0,
5f6583aaade9005a1ece4827,张郭一,海陆,,,0,
5f6583aaade9005a1ece4853,韩新儿,海陆,韩新儿,/item/%E9%9F%A9%E6%96%B0%E5%84%BF,2,"韩新儿,*ST海陆董事。职务 董事 公司 *ST海陆  性别 男 学历 硕士韩新儿:男,1961年生,汉族,中国国籍,无境外居留权。2007年毕业于浙江大学浙商企业总裁高级..."
5f6583aeade9005a1ece49a0,翟春雷,兆新,,,0,
5f658391ade9005a1ece41fc,刘自文,大洋电机,,,0,
5f658395ade9005a1ece42c3,陈飞彪,联化科技,,,0,
5f65839dade9005a1ece44ba,彭玲,上海莱士,彭玲(宝鹰股份独立董事),/item/%E5%BD%AD%E7%8E%B2/53399591,1,"(中国)文化股份有限公司董事会秘书、副总经理,大禹节水集团股份有限公司独立董事,天水众兴菌业科技股份有限公司独立董事,湖南百利工程科技股份有限公司独立董事,上海莱士..."
5f6583a2ade9005a1ece45c2,李彦,川大智胜,,,0,
5f658395ade9005a1ece4284,金建海,联化科技,,,0,
5f65839aade9005a1ece438c,刘朝,步步高,,,0,
5f6583aaade9005a1ece4835,张卫兵,海陆,张卫兵(*ST海陆董事),/item/%E5%BC%A0%E5%8D%AB%E5%85%B5/53387771,101,"*ST海陆  性别 男 学历 本科张卫兵:男,1968年生,汉族,中国国籍,无境外居留权,本科学历,高级工程师。毕业于镇江船舶学院船舶工程专业,并取得东南大学锅炉专业班结业..."
5f65839dade9005a1ece4484,TommyTrongHoang,上海莱士,,,0,
5f65839dade9005a1ece44c4,杨翠华,上海莱士,杨翠华(上海莱士独立董事),/item/%E6%9D%A8%E7%BF%A0%E5%8D%8E/53395531,101,"上海莱士  性别 男 学历 硕士杨翠华先生:中国国籍,无境外永久居留权,1971年1月出生,工商管理硕士。2003年至2007年先后任职于美国NationalSecurities公司和美林证券公司..."
5f6583a1ade9005a1ece458a,刘应明,川大智胜,,,0,
5f6583a1ade9005a1ece4597,范雄,川大智胜,"范雄(川大智胜副董事长,董事)",/item/%E8%8C%83%E9%9B%84/53390633,101,"范雄,男,57岁,硕士,高级工程师,中国国籍,无境外居留权;2001年3月进入公司,曾任常务副总经理,现任四川川大智胜软件股份有限公司董事、总经理。(公告日期:2019-04-..."
5f6583a2ade9005a1ece45ed,张仰泽,川大智胜,,,0,
5f6583a2ade9005a1ece4645,黎新,川大智胜,,,0,
5f6583aaade9005a1ece483f,王申申,海陆,王申申,/item/%E7%8E%8B%E7%94%B3%E7%94%B3,2,"王申申,*ST海陆董事。职务 董事 公司 *ST海陆  性别 男 学历 本科王申申:男,1981年生,汉族,中国国籍,无境外居留权,本科。2003年-2009年任职于江苏公证天业..."
5f658399ade9005a1ece4355,师茜,步步高,,,0,
5f658399ade9005a1ece4381,郝瑞,步步高,,,0,
5f65839aade9005a1ece43ae,曲尉坪,步步高,,,0,
5f65839aade9005a1ece43bb,陈优明,步步高,,,0,
5f65839aade9005a1ece4441,陈德平,步步高,,,0,
5f65839dade9005a1ece44d9,胡维兵,上海莱士,,,0,
5f65839eade9005a1ece44ee,BinhHoang,上海莱士,,,0,
5f6583a2ade9005a1ece45ac,郑念新,川大智胜,郑念新,/item/%E9%83%91%E5%BF%B5%E6%96%B0,2,"郑念新,女,57岁,硕士,中国国籍,无境外居留权;2004年8月进入公司,四川川大智胜软件股份有限公司财务总监、副总经理、董事会秘书,现任四川川大智胜软件股份有限公司董事..."
5f6583a2ade9005a1ece465a,刘健波,川大智胜,,,0,
5f658391ade9005a1ece4210,伍小云,大洋电机,,,0,
5f65839dade9005a1ece44ce,谭劲松,上海莱士,谭劲松(中山大学管理学院党委书记、副院长),https://baike.baidu.com/item/%E8%B0%AD%E5%8A%B2%E6%9D%BE/55900,1,上海莱士血液制品股份有限公司独立董事 个人作品 谭劲松著有《智力资本会计研究》、《盈利管理研究》、《中级财务会计》等著作共20余部，在《管理世界》、《中国会计...
5f65839eade9005a1ece44e4,李尧,上海莱士,李尧(安德利果汁独立非执行董事),/item/%E6%9D%8E%E5%B0%A7/53473323,1,副总裁；2014年10月至2017年5月任江西九华药业有限公司董事长；2017年9月至今，任宁波药材股份有限公司董事长；2007年2月至今，任上海莱士血液制品股份有限公司监事...
5f6583a2ade9005a1ece4605,宋学勇,川大智胜,,,0,
5f6583a2ade9005a1ece4623,毌攀良,川大智胜,,,0,
5f6583a2ade9005a1ece4639,王洋,川大智胜,,,0,
5f6583a6ade9005a1ece4784,董旭海,泰和新材,,,0,
5f6583aaade9005a1ece4849,姚建军,海陆,姚建军(*ST海陆董事),/item/%E5%A7%9A%E5%BB%BA%E5%86%9B/53387779,101,"*ST海陆  性别 男 学历 硕士姚建军:男,1965年生,汉族,中国国籍,无境外居留权。1986年7月毕业于浙江大学化工系,2003年10月毕业于悉尼科技大学工程管理硕士(MEM)..."
5f65838bade9005a1ece40e1,毛维顺,华东数控,,,0,
5f65838bade9005a1ece4098,刘庆林,华东数控,,,0,
5f658391ade9005a1ece41f0,熊杰明,大洋电机,,,0,
5f65839eade9005a1ece4519,沈积慧,上海莱士,,,0,
5f6583a6ade9005a1ece46fb,周国永,泰和新材,周国永(泰和新材董事),/item/%E5%91%A8%E5%9B%BD%E6%B0%B8/53457610,101,周国永先生，中国籍，无境外永久居留权，1963年出生，汉族，本科学历，高级工程师。曾任烟台光明染织厂技术员，烟台泰和新材料股份有限公司技术科科员、生产技术处副...
5f6583aeade9005a1ece4989,蔡继中,兆新,,,0,
5f658399ade9005a1ece436c,李若瑜,步步高,,,0,
5f65839aade9005a1ece43a1,唐红,步步高,,,0,
5f65839dade9005a1ece448f,徐俊,上海莱士,徐俊(上海莱士董事),/item/%E5%BE%90%E4%BF%8A/53395528,101,"徐俊先生:美国国籍,1964年9月出生,博士。2000年至2003年期间曾任上海莱士血液制品股份有限公司副总经理;2003年至2011年期间曾任美国奥克拉荷马医学研究所助理研究员..."
5f6583a2ade9005a1ece4650,李晓峰,川大智胜,,,0,
5f65838bade9005a1ece40ba,李雪,华东数控,,,0,
5f658390ade9005a1ece417c,张云龙,大洋电机,,,0,
5f658399ade9005a1ece434b,王填,步步高,,,0,
5f658399ade9005a1ece435f,杨芳,步步高,,,0,
5f658390ade9005a1ece4186,侯予,大洋电机,,,0,
5f65839dade9005a1ece4499,DavidIanBell,上海莱士,,,0,
5f6583a2ade9005a1ece45b7,杨红雨,川大智胜,,,0,
5f658395ade9005a1ece429a,冯玉海,联化科技,,,0,
5f6583a2ade9005a1ece45d7,车晓昕,川大智胜,车晓昕,/item/%E8%BD%A6%E6%99%93%E6%98%95,1,"川大智胜  性别 女 学历 硕士车晓昕,女,57岁,硕士,注册会计师,中国国籍,无境外居留权;历任招商证券股份有限公司投资银行部总经理、招商证券股份有限公司财务部总经..."
5f65839aade9005a1ece43c5,陈炳莲,步步高,,,0,
5f6583a2ade9005a1ece45e3,王清云,川大智胜,,,0,
5f6583aaade9005a1ece485d,冯晓东,海陆,冯晓东(*ST海陆独立董事),/item/%E5%86%AF%E6%99%93%E4%B8%9C/53387777,101,"*ST海陆  性别 男 学历 本科冯晓东,男,1966年9月14日出生,中国国籍,无境外居留权,汉族。2000。1-2014。10,任张家港华景会计师事务所合伙人;2014。11至今,任..."
5f6583aaade9005a1ece4867,陆文龙,海陆,,,0,
5f6583a2ade9005a1ece45f8,王安文,川大智胜,,,0,
5f6583a6ade9005a1ece4721,程永峰,泰和新材,程永峰(泰和新材独立董事),/item/%E7%A8%8B%E6%B0%B8%E5%B3%B0/53457615,101,程永峰，中国籍，无境外永久居留权，1968年出生，汉族，硕士学位，经济师、注册会计师、注册资产评估师。泰和新材独立董事。人物履历 程永峰先生，曾任新汶矿务局...
5f65838bade9005a1ece40c4,于永军,华东数控,,,0,
5f658390ade9005a1ece4191,刘奕华,大洋电机,,,0,
5f658394ade9005a1ece4270,GeorgeLanePoe,联化科技,,,0,
5f658395ade9005a1ece42a4,余真颖,联化科技,,,0,
5f65839dade9005a1ece44ae,TomásDagáGelabert,上海莱士,,,0,
5f6583a1ade9005a1ece4580,游志胜,川大智胜,游志胜,https://baike.baidu.com/item/%E6%B8%B8%E5%BF%97%E8%83%9C/5184560,1,游志胜，男，1945年9月生，四川成都人。四川川大智胜软件股份有限公司董事长，四川大学国防科技研究院副院长、计算机学院教授、博士生导师。国家有突出贡献的中青年专家...
5f6583abade9005a1ece48d8,徐冉,海陆,,,0,
5f6583abade9005a1ece48e3,周华,海陆,,,0,
5f6583aeade9005a1ece4995,杨钦湖,兆新,,,0,
5f658391ade9005a1ece4206,张舟云,大洋电机,,,0,
5f658395ade9005a1ece42d6,樊小彬,联化科技,,,0,
5f6583a2ade9005a1ece4618,吴俊杰,川大智胜,,,0,
5f6583a2ade9005a1ece462e,张建伟,川大智胜,,,0,
5f6583a2ade9005a1ece4664,胡清娴,川大智胜,,,0,
5f6583b3ade9005a1ece4afd,谭芬芳,利尔化学,,,0,
5f6583b4ade9005a1ece4b37,李江,利尔化学,,,0,
5f6583bfade9005a1ece4df6,张跃,拓维信息,张跃(拓维信息独立董事),/item/%E5%BC%A0%E8%B7%83/53399220,101,"拓维信息  性别 男 学历 硕士张跃,男,1963年出生,中国国籍,教授级高级工程师,工学硕士。曾任天津市塘沽邮电局局长兼书记、天津邮电管理局市场经营部主任、天津移..."
5f6583aeade9005a1ece49d3,蒋辉,兆新,,,0,
5f6583b3ade9005a1ece4ac5,李小平,利尔化学,,,0,
5f6583b7ade9005a1ece4bab,赖旭日,升达,,,0,
5f6583b7ade9005a1ece4bd4,施运奇,升达,,,0,
5f6583bbade9005a1ece4cce,杨振玲,德奥,,,0,
5f6583c0ade9005a1ece4e0b,许长龙,拓维信息,许长龙(拓维信息独立董事),/item/%E8%AE%B8%E9%95%BF%E9%BE%99/53457416,101,许长龙，男，1962年7月出生，汉族，硕士研究生，注册会计师。拓维信息独立董事。人物履历 许长龙，1981年7月-1986年10月，在湖南省常德市行署审计局工作；1986年...
